Denkmalzone Nieder-Trierweiler Hof (Schulstraße 51),Trierweiler,"historische Park- und Gartenanlage des ehemaligen Rittergutes, terrassiert, mit Mitteltreppe, Anfang des 19. Jahrhunderts, die zugehörigen Gutsgebäude 1944/45 und 1990 zerstört",49.761316,6.559489
"Denkmalzone Ortskern (Beim Kreuzchen, Im Kardel, Kirchstraße)",Trierweiler,"Dorfbild des späten 18. und frühen 19. Jahrhunderts von seltener Einheitlichkeit mit Kirche, Kapelle, Pfarrhaus und mehrzeiliger traufständiger Dorfbebauung",49.761316,6.559489
Beim Kreuzchen 1,Trierweiler,"Quereinhaus, bezeichnet 1830",49.763208,6.558654
Beim Kreuzchen 4,Trierweiler,"barock-klassizistisches Quereinhaus, bezeichnet 1797",49.763248,6.558357
"Beim Kreuzchen, Ecke Im Kordel",Trierweiler,"Steinaltar, Ende des 19. Jahrhunderts",49.76333,6.5586
Brunnenstraße,Trierweiler,"Laufbrunnen, Quellfassung um 1900",49.760397,6.564843
Im Kordel,Trierweiler,"Dorfbrunnen, Brunnenfassung aus der ersten Hälfte des 19. Jahrhunderts",49.763045,6.556911
Im Kordel 14,Trierweiler,"Quereinhaus, bezeichnet 1844 und 1855",49.763178,6.557154
(zwischen) Kirchstraße 11 und 13,Trierweiler,"Kirchhof der 1898 abgebrochenen Pfarrkirche; das Turmuntergeschoss der 1772 erbauten Kirche zu Marienkapelle umgestaltet, am ehemaligen Chor Kreuzaltar mit Steinkreuz, 1900",49.763318,6.559516
Kirchstraße 21,Trierweiler,"Quereinhaus, bezeichnet 1794",49.762847,6.559076
Kirchstraße 25,Trierweiler,"Katholische Pfarrkirche St. Dionysius; neugotische Hallenkirche, 1893/94, Architekt Reinhold Wirtz, Trier",49.762457,6.559103
"Kirchstraße, auf dem Friedhof",Trierweiler,"Säulenkreuz, bezeichnet 1742",48.074934,8.643239
"Schulstraße, Ecke Auf der Steg",Trierweiler,"Prozessionsaltar; Steinaltar, Ende des 19. Jahrhunderts",49.759437,6.556902
am Waldrand nordwestlich der Ortslage an der alten Banngrenze zu Udelfangen,Trierweiler,"Wegekreuz; Nischenkreuz, bezeichnet 1872",49.761316,6.559489
östlich der Ortslage an der Gemarkungsgrenze zu Trier,Trierweiler,Säulenstumpf; römische Säulentrommel,49.761316,6.559489
nordwestlich von Neuhaus auf markantem Höhenpunkt,Trierweiler,"Wegekreuz; Pfeilerkreuz, bezeichnet 1874",49.761316,6.559489
"Herrsthaler Straße, auf dem Friedhof",Trierweiler,"Nischenkreuz, bezeichnet 1853","",""
Zur First 2a,Trierweiler,"Katholische Filialkirche St. Wolfgang; kleiner Saalbau, bezeichnet 1853",49.748355,6.55065
Hauptstraße ohne Nummer,Trierweiler,"Katholische Filialkirche St. Johannes Evangelist; Chor 1436, Saalbau 1681",49.763173,6.596895
Im Wiesengrund 7,Trierweiler,"Streckhof, Wohnteil bezeichnet 1841, Wirtschaftsteil bezeichnet 1871",49.776008,6.547039
Lindenstraße 9,Trierweiler,"Katholische Filialkirche St. Agritius; neugotischer Saalbau, 1885, Architekt Reinhold Wirtz, Trier; zugehörig Kirchhof mit Friedhofskreuz, bezeichnet 1761",49.77709,6.546634
Lindenstraße 13,Trierweiler,"Quereinhaus, im Kern aus dem späten 16. Jahrhundert, Erweiterung gegen Ende des 19. Jahrhunderts",49.77677,6.54597
westlich der Ortslage an der Kreuzung der K 7 mit der Straße Unter den Buchen,Trierweiler,"Brunnen; teils im Boden versunkene Quellfassung, 19. Jahrhundert","",""
westlich der Ortslage an der Kreuzung der K 7 mit der Straße Unter den Buchen,Trierweiler,"Wegekreuz; Schaftkreuz, um 1870","",""
westlich der Ortslage über der Schlucht des Udelfanger Bachs an der K 7,Trierweiler,"Wegekapelle; Sandsteinquaderbau, bezeichnet 1887","",""
