Artenweg 19/21,Trittenheim,"Wohnhaus; Fachwerkhaus, verputzt, Krüppelwalmdach, im Kern wohl aus dem 16. Jahrhundert",49.8226,6.898585
Brückenstraße 9,Trittenheim,"Wohnhaus eines Weingutes; villenartiger Mansarddachbau, Reformarchitektur mit stark historisierenden Elementen, um 1910/20",49.822019,6.902466
Ergeneschstraße,Trittenheim,"Bildstock, bezeichnet 1654",49.823884,6.897301
Ettenstraße 29,Trittenheim,"kleines Quereinhaus, bezeichnet 17[.]1",49.822548,6.899304
Im Hof 6,Trittenheim,"Wohnhaus eines Weingutes; stattlicher villenartiger Bau, Reformarchitektur mit historisierenden Elementen, um 1910/20",49.824535,6.901253
"Kirchgasse, Ecke Moselstraße",Trittenheim,"Bildstock, bezeichnet 1657",49.822687,6.901065
Laurentiusstraße,Trittenheim,"Bildstock, bezeichnet 1654",49.823001,6.89731
(bei) Laurentiusstraße 8,Trittenheim,"Bildstock, bezeichnet 1654 (oder 1657)",49.822989,6.898424
Moselstraße 5a,Trittenheim,"Katholische Pfarrkirche St. Clemens; Saalbau, 1790–93, Turmobergeschoss 1824; Kreuzigungsbildstock, bezeichnet 1643; auf dem Kirchhof Bildstock, bezeichnet 1654 (Reliefplatte original)",49.822978,6.901047
Moselstraße 23,Trittenheim,"stattlicher Massivbau, Fachwerkanbau, 18. und 19. Jahrhundert, im Kern wohl älter",49.822995,6.90261
Moselweinstraße 55,Trittenheim,"sogenanntes Moselkloster; langgestreckter Krüppelwalmdachbau, um 1700",49.823338,6.899924
Schulstraße 1/3,Trittenheim,"Fachwerkhaus, teilweise massiv und verputzt, bezeichnet 1585",49.824965,6.898648
(bei) Spielesstraße 16,Trittenheim,"Bildstock, bezeichnet 1654",49.823786,6.898963
Auf der Acht,Trittenheim,"Wegekreuz; Schaftkreuz, bezeichnet 1683",49.773617,6.782559
im Weiler Dhrönchen,Trittenheim,"Kapelle; Putzbau, zweite Hälfte des 19. Jahrhunderts",49.822437,6.900014
östlich des Ortes an der Mosel,Trittenheim,"drei- bis viergeschossige Fährtürme; unter Zeltdächern, angeblich vom Ende des 18. Jahrhunderts",49.822437,6.900014
westlich oberhalb des Ortes in den Weinbergen,Trittenheim,"Laurentiuskapelle; Chor, bezeichnet 1583, 1920 durch Turm über Vorhalle erweitert",49.822437,6.900014
