Gartenstraße 6 und 7,Wawern (Saar),"dreigeschossige klassizistische Wohnhäuser, Nr. 6 bezeichnet 1814",49.653168,6.548718
Saarburger Straße,Wawern (Saar),"Wegekapelle, Backsteinbau, frühes 20. Jahrhundert",49.650473,6.547236
Saarburger Straße 1,Wawern (Saar),"ehemaliger Pfarrhof; klassizistisches Quereinhaus, bezeichnet 1822",49.653646,6.550335
Saarburger Straße 13,Wawern (Saar),"ehemalige Judenschule und Rabbinerwohnhaus; dreigeschossiger Putzbau mit Ritualbad, bezeichnet 1865",49.653185,6.550659
Saarburger Straße 14,Wawern (Saar),"ehemalige Synagoge; nachbarocker Saalbau, um 1830",49.652375,6.549841
Saarburger Straße 15,Wawern (Saar),"Wohn- und Stallgebäude, Mitte des 19. Jahrhunderts",49.653045,6.550129
(an) Saarburger Straße 15,Wawern (Saar),"Bildstock, neugotisch, bezeichnet 1910",49.653045,6.550129
Saarburger Straße 26,Wawern (Saar),"ehemalige Mühle; Quereinhaus, 1827, Querbau mit ehemaliger Mühleneinrichtung, 1623",49.651599,6.549689
Unterm Herrenberg 1,Wawern (Saar),"ehemaliges Hofgut, heute Weingut; ummauerter barocker Streckhof, bezeichnet 1722, Krüppelwalmdachbau mit eingeschossigem Kelterhaus",49.653996,6.550704
Unterm Herrenberg 10,Wawern (Saar),"Kelterhaus; eingeschossiger Bruchsteinbau mit Walmdach, bezeichnet 1923",49.654748,6.552563
Weinbergstraße 6,Wawern (Saar),"Katholische Pfarrkirche St. Sebastian; Saalbau, 1928, Architekt Christoph Ewen",49.653868,6.549509
(an) Weinbergstraße 21,Wawern (Saar),"Bildstock, 1813",49.654095,6.548161
(bei) Weinbergstraße 21,Wawern (Saar),"Wegekapelle; neugotischer Putzbau, bezeichnet 1893",49.654095,6.548161
"etwa 1,5 km westlich des Dorfes im Wawerner Tal, nahe der B 51",Wawern (Saar),"Kreiswasserwerk; bauliche Gesamtanlage in Parkanlage aus Betriebs- und Wohnbauten, 1911/12",25.528522,84.82776
