"Denkmalzone Burg Welschbillig (Burgstraße 1, Petersplatz 12)",Welschbillig,"ehemalige erzbischöfliche Wasserburg, 13. Jahrhundert, 1673 zerstört, erhalten der gotische Torbau und der Burggraben mit Umfassungsmauern und Eckturm sowie die Grabenbrücke; barockes Amtshaus (Petersplatz 1, Pfarrhaus), 1710/11, Architekt Philipp Honorius Ravensteyn; Brunnen aus dem 18. Jahrhundert, anstelle des Burghauses 1888 die Pfarrkirche erbaut, ehemaliges Amtshaus (Burgstraße 12)",49.854124,6.565903
"Denkmalzone Stadtbefestigung (Mühlenstraße 4, Zollstraße 6, 7, 8, zwischen Burgstraße 7 und 9",Welschbillig,"Burgport (Torturm), Teile des Obersten Tores in der Burgstraße, Trierer oder Schankstor (Zum Schankstor 12)): begonnen im späten 13. Jahrhundert, im 14. und 15. Jahrhundert ausgebessert und ausgebaut, seit 1879 niedergelegt, Reste erhalten","",""
"Denkmalzone ehemaliges Kreuzherrenkloster Helenenberg (Bischof-Korum-Straße, Puricellistraße)",Welschbillig,"1489 Gründung des Konvents zur Leitung eines neuerbauten Spitals, barockes Klostergebäude, 1740 begonnen, barocke Klosterkirche, 1747 begonnen unter Einbeziehung des spätgotischen Chors, 1844 Errichtung eines neuen Herrenhauses (Villa Limbourg), Ökonomiegebäude aus dem 19. Jahrhundert, nach Brand des Klosters 1980 Wiederaufbau",49.854124,6.565903
"Denkmalzone Ehrenfriedhof (Dominikus-Savio-Straße, östlich von Kloster Helenenberg)",Welschbillig,"Friedhof für die 1944/45 in und bei Helenenberg Gefallenen, 1952/53 in Terrassen angelegt, Heckeneinfassung",49.854124,6.565903
(vor) Burgstraße 1,Welschbillig,barockes Bildwerk des heiligen Petrus,49.853997,6.568481
Burgstraße 14,Welschbillig,"Fassade mit Stadtwappen, 1902",49.853666,6.570035
(bei) Burgstraße 16,Welschbillig,"Altarkreuz, bezeichnet 1766, Erneuerung 1906",49.853666,6.570035
(vor) Kapellenstraße 2,Welschbillig,"Marienkapelle, 1908; Nischenkreuz des 17. Jahrhunderts, Erneuerung bezeichnet 1731",49.853079,6.563109
(bei) Kapellenstraße 5,Welschbillig,"Pfeilerkreuz, 1871",49.853398,6.562418
"Kapellenstraße, Ecke Helenenberger Straße",Welschbillig,"Laufbrunnen, bezeichnet 1878",49.852498,6.560468
