"Denkmalzone Burg Wincheringen (Burgstraße 7, 9, 10, Friedhof)",Wincheringen,"Bereich der ehemaligen Wasserburg, erhalten Wehrturm, 15. Jahrhundert; Herrschaftshaus, 16. Jahrhundert; Reste des nördlichen Mauerrings, dazugehörig zwei ehemalige Wirtschaftsgebäude, die später zu Quereinhäusern umgebaut wurden (Burgstraße 7 und 9), und der Friedhof am Platz der abgebrochenen ehemalige Pfarrkirche",49.608566,6.427652
"Denkmalzone Trierer Straße 3, 5, 7, Warbergerstraße 36, 38, Im Weißfeld 2",Wincheringen,kennzeichnendes Straßenbild am Bereich des alten östlichen Dorfrandes und seiner Ausweitung ab der zweiten Hälfte des 19. Jahrhunderts mit ansehnlichen Höfen,"",""
Burgstraße 3,Wincheringen,"Schule; Gebäudegruppe, 1843, 1894, 1953",49.610375,6.426485
Im Weissfeld 2,Wincheringen,"stattliches Quereinhaus, 1870",49.610188,6.429467
"Im Weissfeld, Ecke Trierer Straße",Wincheringen,"Leuckskreuz; Wegekapelle, Schaftkreuz bezeichnet 1841",49.60964,6.432072
Kirchenbergstraße 5,Wincheringen,"Pfarrhof; Quereinhaus, klassizistischer Krüppelwalmdachbau, bezeichnet 1810",48.894194,13.346162
Mühlenweg 3,Wincheringen,"ehemalige Mühle; Krüppelwalmdachbau, 1789, Erneuerung 1877",49.609628,6.423062
Petersberg,Wincheringen,"Wegekreuz; Bildstockaufsatz, bezeichnet 1809",49.606242,6.426071
"Reiterstraße, Ecke Warsbergerstraße",Wincheringen,"Reiterkapelle; Altarkreuz in Mauernische, Ende des 19. Jahrhunderts",49.607772,6.422505
(an) Reiterstraße 3,Wincheringen,"Hauspforte, spätklassizistisch, Mitte des 19. Jahrhunderts",49.609365,6.425667
(bei) Warsbergerstraße 29,Wincheringen,"Schaftkreuz in Wegekapelle, bezeichnet 1631",49.608618,6.427617
Warsbergerstraße 36,Wincheringen,"Parallelhof, Ende des 19. Jahrhunderts",49.609698,6.428218
Warsbergerstraße 38,Wincheringen,"historistischer Streckhof, Ökonomie bezeichnet 1816, Wohnhaus bezeichnet 1906",49.609786,6.428138
"Warsbergerstraße 47, Trierer Straße 5",Wincheringen,Heiligenhäuschen; Schaftkreuz bezeichnet 1864,49.610019,6.427769
Warsbergerstraße 50,Wincheringen,"Katholische Pfarrkirche St. Peter; turmlose dreischiffige neugotische Basilika, 1883/84, Architekt Reinhold Wirtz",49.610323,6.427069
nahe am Bahnhof Wincheringen am Moselufer,Wincheringen,"Grenzstein; Säule, um 1821",49.787466,7.487422
Haus Nr. 15,Wincheringen,"Streckhof, frühes 19. Jahrhundert",54.732376,8.447874
Haus Nr. 33,Wincheringen,"Winkelhof, um 1870",54.730926,8.446472
Haus Nr. 34,Wincheringen,"Streckhof, bezeichnet 1867",54.730947,8.446023
Zum Wetterbrunnen,Wincheringen,"Katholische Filialkirche St. Lucia; Saalbau, 1686, Erweiterung 1856; Steinkreuze des 17. und 18. Jahrhunderts",49.597268,6.450928
"am östlichen Ortsausgang, an der L 134",Wincheringen,"Wegekapelle; Putzbau, 1851",48.465427,8.414304
"am östlichen Ortsausgang, an der L 134",Wincheringen,"Wegekapelle; Putzbau, 1874",48.465427,8.414304
am östlichen Ortsrand,Wincheringen,"Brunnenhaus; Kalkbruchsteinbau, Rundbogenstil, um 1850",49.608566,6.427652
"an der alten Römerstraße, Abzweig der K 111 nach Bilzingen (Lage→49.6015932169446.4643490313889)",Wincheringen,"Helenenkreuz; Schaftkreuz, bezeichnet 1746, Erneuerung bezeichnet 1810. Dieses Kreuz bezeichnet eine Grenzmarke zwischen Bilzingen, Wincheringen und Körrig und trägt seinen Namen bereits mindestens seit 1564. Einer Sage nach hat das Kreuz seinen Namen von Kaiserin Helena, die hier an der Römerstraße während einer Pilgerreise ins Heilige Land Rast gemacht und den Schrein mit dem Heiligen Rock auf die Erde gesetzt hatte, worauf an dieser Stelle ein Rosenstrauch sprießte. Sollte die Sage Wahrheitsgehalt haben, so müsste das Kreuz, von Bilzingern errichtet, aus dem 4. Jahrhundert stammen. Es wurde in einigen Kriegen mehrfach zerstört und wieder errichtet, von seinem ursprünglichen Material ist jedoch vermutlich nichts mehr vorhanden.[1]","",""
gegenüber Hof Nr. 34,Wincheringen,"Wegekreuz; Nischenkreuz, um 1860","",""
östlich der Wegekapellen an der L 134,Wincheringen,"Wegekreuz; Pfeilerkreuz, 1868","",""
südöstlich der Ortslage am Feldweg (Lage→49.5978965047226.4624701441667),Wincheringen,"Wegekreuz; klassizistischer Cippus, 1875",48.034944,10.504477
südlich des Helenenkreuzes an der Kreuzung der alten Römerstraße nach Palzem und der südlichen Wegetangente (L 134) (Lage→49.5978965047226.4624701441667),Wincheringen,"Wegekreuz; Gedenkkreuz, 1899","",""
"westlich der Ortslage, am neuen Friedhof (Lage→49.5972871680566.4467671513889)",Wincheringen,"Wegekapelle; Putzbau, Holzkreuz, 19. Jahrhundert",48.723159,8.29216
Söst 12,Wincheringen,"Katholische Filialkirche St. Bernhard; neugotischer Saalbau, 1890, Architekt Reinhold Wirtz",49.622766,6.457495
(an) Söst 78,Wincheringen,"Kreuzigungsbildstock, bezeichnet 1631",49.626688,6.465013
Söst 63,Wincheringen,"Giebelbau, bezeichnet 1762, Erneuerung bezeichnet 1850",49.62656,6.463684
↑ Ernst Steffny und Clemens Lehnert,Wincheringen,"Merzkirchen - eine Chronik, Hsg.: Ortsgemeinde Merzkirchen, 2012, ISBN 978-3-00-037531-6",49.608566,6.427652
