Denkmalzone Forsthäuser Mülchen (südlich von Zemmer),Zemmer,"Weiher und Reste der Eisenschmelze, eines um 1700 gegründeten Tochterwerkes der Quinter Eisenhütte, zugehörig drei Forsthäuser (kurfürstliches Forsthaus 1786, in dessen Nachfolge preußische Revierförsterei von 1872, in der Nähe 1872 gräflich-kesselstadtsches Forsthaus 1813)",49.891995,6.696375
"Am Schießberg, Ecke Im Oberdorf",Zemmer,"nachbarockes Schaftkreuz, bezeichnet 1829",49.896957,6.69959
Im Dicken Ecken 10,Zemmer,"Quereinhaus, bezeichnet 1812",49.892419,6.696015
Schleidweilerstraße 24,Zemmer,"Katholische Pfarrkirche St. Remigius; neugotische zweischiffige Hallenkirche, 1908/09, Architekt Peter Marx, Trier; zugehörig Vorplatz mit Kriegerdenkmal, 1922, ummauerter Kirchhof",49.891937,6.695153
Schleidweilerstraße 28,Zemmer,"Pfarrhaus, villenartiger Sandsteinbau mit Krüppelwalmdach, 1902",49.891386,6.694659
(bei) Waldstraße 1,Zemmer,"Balkenkreuz, bezeichnet 1702",49.891125,6.697183
Waldstraße 7,Zemmer,"Schule; langgestreckter sandsteingegliederter Walmdachbau, 1952",49.890126,6.696617
am Rand des Walddistrikts Königseiffen,Zemmer,"Haus Königseiffen; Landhaus, Walmdachbau mit Eckturm, bezeichnet 1919",49.891995,6.696375
am Schönfelder Hof,Zemmer,"Wegekreuz; Pfeilerkreuz, bezeichnet 1945",49.891995,6.696375
an der Anhöhe südlich der Ortslage,Zemmer,"Wegekreuz; Pfeilerkreuz, bezeichnet 1635",49.891995,6.696375
an der L 143,Zemmer,"Rothaus; Quereinhaus, Mitte des 19. Jahrhunderts, Ausbau 1903, Instandsetzung 1939",53.975883,10.588352
"an der Straßen nach Orenhofen, nordwestlich der Ortslage",Zemmer,"Wegekreuz; Pfeilerkreuz, bezeichnet 1606, Erneuerung bezeichnet 1833","",""
Mülchenstraße 1,Zemmer,"ehemaliges Gräfliches Forsthaus Kesselstatt; Quereinhaus, bezeichnet 1813; klassizistischer Wappenstein",49.891206,6.697991
westlich der Ortslage an der L 43,Zemmer,"Gedenkstein; Stelenkreuz, bezeichnet 1923","",""
Deimlinger Straße 2,Zemmer,"Stationsgebäude der Kyllbahn; kleiner Typenbau, Rotsandstein, 1871",49.876294,6.640248
"nordwestlich der Ortslage am Hangeinschnitt des Grundbachs, an der Gemarkungsgrenze zu Orenhofen",Zemmer,"Kreuzigungsbildstock; spätbarock, bezeichnet 1777","",""
südöstlich der Ortslage über dem Steilabfall,Zemmer,"Wegekreuz; Pfeilerkreuz, bezeichnet 1900",49.891995,6.696375
Glockenstraße 1,Zemmer,"Katholische Filialkirche St. Michael; kleiner nachbarocker Saalbau, bezeichnet 1818",49.867185,6.665032
"Trierer Straße, Ecke Eichstraße",Zemmer,"Balkenkreuz, bezeichnet 1693",49.86902,6.667673
östlich der Ortslage am Waldrand Friedbüsch,Zemmer,"Wegekreuz; Balkenkreuz, 19. Jahrhundert (?)",48.730297,8.295717
Kapellenstraße,Zemmer,"Stationenweg und Kreuzkapelle; 14 Stationen, um 1875; neugotische Kapelle, bezeichnet 1884; Vorgängerbauten von 1729 und 1849. Die Kreuzkapelle befindet sich auf dem Bergrücken zwischen Schleidweiler und Orenhofen. Als Wallfahrtsstätte wird sie in ihrer Bedeutung neben Klausen/Eifel und Schweich-Heiligenborn genannt. Das Patrozinium der Kapelle ist am 14. September, dem Fest der Kreuzerhöhung. Die Kapelle liegt am Fideier Höhenweg.",49.883399,6.661259
Kapellenstraße 15,Zemmer,"Winkelhof; Quereinhaus, frühes 19. Jahrhundert, Wohnhaus 1885",49.882709,6.660514
Zuckerberg 10,Zemmer,"Katholische Pfarrkirche St. Martin und Thekla; barocker Saalbau, 1751, Erweiterung 1921/22; romanischer Chorflankenturm, 12. Jahrhundert; mit ummauertem Kirchhof (Kriegerdenkmal und Kreuzigungsgruppe, 1927) und gegenüber liegendem Pfarrhaus, Rodter Straße 3 (1751, Kreuzigungsbildstock, 18. Jahrhundert) mit anschließendem Herrengarten",49.880828,6.661223
westlich der Ortslage auf der Feldflur des Höhenrückens,Zemmer,"Wegekreuz; Schaftkreuz, bezeichnet 1651",49.891995,6.696375
