Fachwerkhaus,"Bad Marienberg, Bismarckstraße 4",Bad Marienberg (Westerwald),1650!zweite Hälfte des 17. Jahrhunderts,"Fachwerkhaus, zweite Hälfte des 17. Jahrhunderts",Kein Bild vorhanden,50.650818,7.951847
Fachwerkhaus,"Bad Marienberg, Bismarckstraße 64",Bad Marienberg (Westerwald),1890!um 1890,"langgestrecktes Fachwerkhaus, teilweise massiv und verschiefert, um 1890",Kein Bild vorhanden,50.645502,7.940439
Villa,"Bad Marienberg, Europastraße 6",Bad Marienberg (Westerwald),1909,"ursprünglich Wohn- und Dienstgebäude des Landrats, jetzt „Europa-Villa“ des Europa Hauses Marienberg; eingeschossige Mansarddach-Villa, Einfluss der Reformarchitektur, 1909; jüngerer Terrassenanbau",//commons.wikimedia.org/wiki/Category:Evangelische_Pfarrkirche_(Bad_Marienberg),50.652651,7.954376
Evangelische Pfarrkirche,"Bad Marienberg, Kirchstraße 6",Bad Marienberg (Westerwald),1819!1819 ff.,"querrechteckiger klassizistischer Saal, 1819 ff.",Kein Bild vorhanden,50.650251,7.957241
Brücke,"Bad Marienberg, Langenbacher Straße",Bad Marienberg (Westerwald),1800!19. Jahrhundert,"einbogige Steinbrücke, wohl aus dem 19. Jahrhundert",Kein Bild vorhanden,50.647075,7.952883
Katholische Pfarrkirche Mariä Himmelfahrt,"Bad Marienberg, Nassauische Straße 17a",Bad Marienberg (Westerwald),1931,"Saal mit Turmvorbau, bezeichnet 1931, Architekt Dominikus Böhm",Kein Bild vorhanden,50.648555,7.957196
Hofanlage,"Bad Marienberg, Ringstraße 11",Bad Marienberg (Westerwald),1600!17. Jahrhundert,"Streckhof; Fachwerkbau, 17. Jahrhundert, Scheune, im Kern aus dem 18. Jahrhundert oder älter",Kein Bild vorhanden,50.650634,7.958062
Pfarrhaus,"Bad Marienberg, Wilhelmstraße 4",Bad Marienberg (Westerwald),1859!1859–61,"ehemaliges Evangelisches Pfarrhaus II; klassizistischer Putzbau, 1859–61",Kein Bild vorhanden,50.651406,7.955841
Kurverwaltung,"Bad Marienberg, Wilhelmstraße 10",Bad Marienberg (Westerwald),1788,"ehemals Evangelisches Pfarrhaus I; Fachwerkbau, teilweise massiv, bezeichnet 1788",Kein Bild vorhanden,50.651427,7.953936
Brücke,"Bad Marienberg, südlich des Ortes",Bad Marienberg (Westerwald),1907!um 1907,"Eisenbahnbrücke, dreibogige Talbrücke der Strecke Bad Marienberg–Rennerod über die Schwarze Nister, um 1907",Kein Bild vorhanden,50.644669,7.951266
Quereinhaus,"Langenbach, An der Schmiede 7",Bad Marienberg (Westerwald),1800!um 1800,"kleines Quereinhaus mit Niederlass, um 1800, Wirtschaftsteil im 19. Jahrhundert verlängert",Kein Bild vorhanden,50.635683,7.948991
Bahnhof,"Langenbach, Bahnhofstraße 15",Bad Marienberg (Westerwald),1905!1905/06,"Empfangsgebäude des Bahnhofs Marienberg-Langenbach; Walmdachbau, Quadermauerwerk, 1905/06",Kein Bild vorhanden,50.644232,7.943367
Dorfgemeinschaftshaus,"Langenbach, Schulstraße 15",Bad Marienberg (Westerwald),1912,"ehemalige Schule; Typenbau der Heimatschutzbewegung, bezeichnet 1912",Kein Bild vorhanden,50.636813,7.948243
Quereinhaus,"Langenbach, Westerburger Straße 14",Bad Marienberg (Westerwald),1800!erste Hälfte des 19. Jahrhunderts,"Wohnteil eines Fachwerk-Quereinhauses, Ständerbau, wohl aus der ersten Hälfte des 19. Jahrhunderts",,50.636565,7.947431
Quereinhaus,"Langenbach, Westerburger Straße 26a",Bad Marienberg (Westerwald),1684,"Fachwerk-Quereinhaus mit Niederlass, Ständerbau, bezeichnet 1684; Gesamtanlage mit Schuppenanbau, um 1900, gepflastertem Hof, Hausgarten",,50.634798,7.949569
Kindergarten,"Zinhain, Bismarckstraße 88",Bad Marienberg (Westerwald),1899,"ehemalige Schule; kleiner Typenbau, Ziegelmauerwerk, bezeichnet 1899",,50.644772,7.930739
