Denkmalzone Altstadt,"Alexanderring, Alter Markt, Bogengasse, Ellbogengasse, Färberstraße, Friedrichstraße, Grüner Berg, Herrenstraße, Johann-August-Ring, Judengasse, Kreuzgasse, Laatschen Wende, Mittelstraße, Neugasse, Nottorstraße, Ökonomiestraße, Perlengasse, Salzgasse, Schlossberg, Steinweg, Weberstraße, Wilhelmstraße, Zeitzengasse",Hachenburg,1200!ab dem 13. Jahrhundert,"die gesamte ehemals ummauerte Innenstadt mit ihrem seit dem 13. Jahrhundert entstandenen gitterförmigrn Straßennetz, einschließlich des vorgelagerten Grabens, mit Schloss samt Burggarten, Kirchen, Rathaus, Marktplatz",Kein Bild vorhanden,50.660916,7.824223
Denkmalzone Jüdischer Friedhof,Dehlinger Weg,Hachenburg,1860,"Bestattungen von 1860 bis 1937, von einer neueren Steinmauer umgeben, 98 Gräber, ein Gedenkstein von 1975",Kein Bild vorhanden,50.663915,7.843212
Villa,Alexanderring 5/7,Hachenburg,1890!um 1890/1900,"Doppelvilla, gelbe Klinkerfassaden, Nr. 7 mit bauzeitlicher Treppenhausverglasung, um 1890/1900",//commons.wikimedia.org/wiki/Category:Franziskanerkirche_(Hachenburg),50.662091,7.823258
Katholische Pfarrkirche,Alter Markt,Hachenburg,1729!1729–39,"ehemalige Franziskaner-Klosterkirche; barocker Saalbau, 1729–39, Verlängerung 1906–09, barockisierender Turm",Kein Bild vorhanden,50.661089,7.824098
Marktbrunnen,Alter Markt,Hachenburg,1702,"Marktbrunnen, 1702",//commons.wikimedia.org/wiki/Category:Hotel_zur_Krone_(Hachenburg),50.6609,7.824155
Wohn- und Geschäftshaus,Alter Markt 1,Hachenburg,1910!um 1910,"dreigeschossiges Wohn- und Geschäftshaus, Mischformen aus Späthistorismus und Reformarchitektur, um 1910",Kein Bild vorhanden,50.661082,7.823878
Gasthaus Zur Krone,Alter Markt 3,Hachenburg,1617!1617/18,"viergeschossiger Massivbau, im Kern mittelalterlich, Rollwerkgiebel 1617/18, Umbau um 1800",Kein Bild vorhanden,50.661094,7.824326
Haus,Alter Markt 5,Hachenburg,"",fünfachsiger barocker (barockisierender?) Mansarddachbau,Kein Bild vorhanden,50.661095,7.824461
Wohn- und Geschäftshaus,Alter Markt 10,Hachenburg,1850!Mitte des 19. Jahrhunderts,"dreigeschossiges spätklassizistisches Eckhaus mit Gaststätte, um die oder nach der Mitte des 19. Jahrhunderts",Kein Bild vorhanden,50.660786,7.8239
Uhr,"Alter Markt, in Nr. 16",Hachenburg,1805,"in der Fassade des dreigeschossigen Facherkbaus, bezeichnet 1718, eine Pendeluhr in Messinggehäuse von Friedrich Wilhelm Roetig",Kein Bild vorhanden,50.660794,7.824214
Bahnhof Hachenburg,Bahnhofstraße 14,Hachenburg,1900!um 1900,"Empfangsgebäude des Bahnhofs Hachenburg; Typenbau, Quadermauerwerk, um 1900 (?)",//commons.wikimedia.org/wiki/Category:Schlosskirche_(Hachenburg),50.663825,7.822791
Fachwerkhaus,Färberstraße 3,Hachenburg,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.660079,7.82429
Evangelische Pfarrkirche,Friedrichstraße,Hachenburg,1481,"spätgotischer Chor, Südturm bezeichnet 1481, dreiachsiger Saal 1775/76",Kein Bild vorhanden,50.66089,7.824859
Wohn- und Geschäftshaus,Friedrichstraße 10,Hachenburg,1700!um 1700,"dreigeschossiger Fachwerkbau, teilweise massiv, um 1700",Kein Bild vorhanden,50.660563,7.825095
Wohn- und Geschäftshaus,Friedrichstraße 13,Hachenburg,1600!17. oder 18. Jahrhundert,"dreigeschossiger verschieferter Fachwerkbau, wohl aus dem 17. oder 18. Jahrhundert, Ladeneinbau um 1900 (?)",Kein Bild vorhanden,50.660658,7.825648
Wohn- und Geschäftshaus,Friedrichstraße 15,Hachenburg,1700!um 1700,"stattliches dreigeschossiges Wohn- und Geschäftshaus, um 1700",Kein Bild vorhanden,50.660677,7.825808
Wohn- und Geschäftshaus,Friedrichstraße 30,Hachenburg,1600!17. oder 18. Jahrhundert,"Fachwerkhaus mit Gaststätte, 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.660608,7.825836
Denkmal,"Friedrichstraße, Abzweig Borngasse",Hachenburg,1888,"Denkmal für Kaiser Friedrich III. mit Porträtbüste, 1888",Kein Bild vorhanden,50.660862,7.826855
Denkmal,"Friedrichstraße, Abzweig Alexanderringstraße",Hachenburg,"",Denkmal für Kaiser Wilhelm I. mit Standbild,Kein Bild vorhanden,50.661127,7.826595
Gasthof Hotel Friedrich,Graf-Heinrich-Straße 2,Hachenburg,1800!Anfang des 19. Jahrhunderts,"fünfachsiger Mansarddachbau, identisch gestalteter Seitenflügel, wohl vom Anfang des 19. Jahrhunderts",Kein Bild vorhanden,50.662136,7.821141
Wohnhaus,Graf-Heinrich-Straße 15,Hachenburg,1900!um 1900,"späthistoristisches Wohnhaus, Krüppelwalmdachbau mit bichromen Backsteinfassaden, um 1900",Kein Bild vorhanden,50.663494,7.817961
