Denkmalzone Ortskern,"Kirchstraße 1–4, Schulstraße 1–11 (ungerade Nummern) und 2, Am Gäßchen 4, Mittelstraße 2, 4",Heilberscheid,1600!17. und 18. Jahrhundert,"Ortskern mit Kirche, ehemaliger Schule (Schulstraße 2) und umliegenden Gehöften des 17. und 18. Jahrhunderts",Kein Bild vorhanden,50.411732,7.892952
Fachwerkhaus,Gelbachstraße 9,Heilberscheid,1500!16. Jahrhundert,"Fachwerkhaus eines Streckhofs, im Kern wohl aus dem 16. Jahrhundert",Kein Bild vorhanden,50.41378,7.891952
Fachwerkhaus,Isselbacher Straße 12,Heilberscheid,1800!erste Hälfte des 19. Jahrhunderts,"Fachwerkhaus mit Stallanbau, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.410094,7.892618
Fachwerkhaus,Kirchstraße 1,Heilberscheid,"","Fachwerkwohnhaus, teilweise massiv",Kein Bild vorhanden,50.411461,7.89213
Katholische Pfarrkirche Mariä Himmelfahrt,Kirchstraße 4,Heilberscheid,1889,"neugotischer Backsteinsaal, bezeichnet 1889",Kein Bild vorhanden,50.411746,7.892113
Fachwerkhaus,Kirchstraße 9,Heilberscheid,1663,"Fachwerkhaus mit Niederlass, angeblich von 1663",Kein Bild vorhanden,50.411993,7.89117
Fachwerkhaus,Kirchstraße 10,Heilberscheid,1600!17. Jahrhundert,"Fachwerkhaus mit Niederlass, teilweise massiv und verschiefert, wohl noch aus dem 17. Jahrhundert",Kein Bild vorhanden,50.412062,7.891724
Fachwerkhaus,Kirchstraße 11,Heilberscheid,1700!18. Jahrhundert,"Fachwerkhaus, 18. Jahrhundert",Kein Bild vorhanden,50.412086,7.891555
Hofanlage,Mittelstraße 2,Heilberscheid,1600!17. Jahrhundert,"Hofanlage; Fachwerkhaus mit Niederlass, teilweise massiv, wohl noch aus dem 17. Jahrhundert, ehemalige Fachwerkscheune",Kein Bild vorhanden,50.411755,7.892763
Fachwerkhaus,Mittelstraße 4,Heilberscheid,"","Fachwerkhaus, teilweise massiv",Kein Bild vorhanden,50.41192,7.892833
Fachwerkhaus,Rothbornstraße 1,Heilberscheid,1600!17. oder 18. Jahrhundert,"verputztes Fachwerkhaus mit Niederlass, teilweise massiv, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.414205,7.892483
Hofanlage,Schulstraße 1,Heilberscheid,1600!17. Jahrhundert,"Hofanlage; Fachwerkhaus, im Kern mindestens aus dem 17. Jahrhundert",Kein Bild vorhanden,50.411444,7.892583
Bürgerhaus,Schulstraße 2,Heilberscheid,"",ehemalige Schule; Bruchsteinbau,Kein Bild vorhanden,50.411338,7.892753
Fachwerkhaus,Schulstraße 9,Heilberscheid,1700!um 1700,"Fachwerkhaus, teilweise massiv, wohl um 1700",Kein Bild vorhanden,50.411724,7.893437
Hofanlage,Schulstraße 11,Heilberscheid,1600!17. oder 18. Jahrhundert,"Streckhof; verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert, Fachwerkscheune, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.411756,7.893871
Gasthof,Schulstraße 12,Heilberscheid,"","Gasthof und ehemalige Scheune, Fachwerk, teilweise massiv",Kein Bild vorhanden,50.411705,7.894426
Fachwerkhaus,Spannhecker Straße 1,Heilberscheid,1700!18. Jahrhundert,"Fachwerkhaus mit Niederlass, Ständerbau, 18. Jahrhundert",Kein Bild vorhanden,50.414341,7.891432
Wegekreuz,nordöstlich des Ortes an der K 161; Flur Kalbesteinsgarten,Heilberscheid,1875!Ende des 19. Jahrhunderts,"nachbarockes Kruzifix, Holz, Ende des 19. oder Anfang des 20. Jahrhunderts (?)",Kein Bild vorhanden,50.415565,7.896744
