Denkmalzone Schloss Molsberg,Schlossstraße 16,Molsberg,1760!nach 1760,"unvollendet gebliebener spätbarocker Schlossbau (nach 1760, Architekt Johannes Seiz) mit umgebendem Park und Gärten zu beiden Seiten des Bruchweges, eingefasst von einer Bruchsteinmauer und Gitterzaun mit Wachhäuschen; Wirtschaftshof: Vierflügelanlage; eineinhalbgeschossiges Doppelwohnhaus (um 1800); Wappenstein; Kruzifix",Kein Bild vorhanden,50.482401,7.969204
Quereinhaus,Alte Gasse 1,Molsberg,1700!18. Jahrhundert,"Wohnteil eines Quereinhauses, verputzt und verkleidet, Fachwerk wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.481505,7.967431
Heiligenhäuschen,"Hauptstraße, an der östlichen Einfassungsmauer des Schloßbereichs",Molsberg,"",Heiligenhäuschen,Kein Bild vorhanden,50.482234,7.967137
Hofanlage,Hauptstraße 1,Molsberg,1688,"Streuhof/Zweiseithof; Fachwerkhaus mit Niederlass, teilweise massiv, bezeichnet 1688; Fachwerkscheune, teilweise massiv, bezeichnet 1682",Kein Bild vorhanden,50.482755,7.971611
Fachwerkhaus,Hauptstraße 14,Molsberg,1700!18. Jahrhundert,"Fachwerkhaus, 18. Jahrhundert",Kein Bild vorhanden,50.481809,7.973499
Hofgut Molsberg,Hauptstraße 41,Molsberg,1700!18. Jahrhundert,"kubischer Walmdachbau, teilweise Fachwerk, 18. Jahrhundert, heutiges Erscheinungsbild um 1920/30; Fachwerkscheune, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.482112,7.966305
Wegekapelle,Nussallee 4,Molsberg,1683,"Putzbau mit Welscher Haube, bezeichnet 1683",Kein Bild vorhanden,50.481947,7.967352
Rathaus,Schlossstraße 2,Molsberg,1850!Mitte des 19. Jahrhunderts,ehemals Schule oder Verwaltungsbau; wohl um die Mitte des 19. Jahrhunderts,Kein Bild vorhanden,50.481729,7.967679
Hofanlage,Schlossstraße 8,Molsberg,1700!18. Jahrhundert,"Streckhof; Fachwerkhaus verputzt, teilweise massiv, wohl aus dem 18. Jahrhundert, Wirtschaftsteil eventuell noch aus dem 16. Jahrhundert",Kein Bild vorhanden,50.482119,7.968172
Fachwerkhaus,Schlossstraße 9,Molsberg,1700!18. Jahrhundert,"Fachwerkhaus, verputzt und verkleidet, teilweise massiv, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.482274,7.968149
Quereinhaus,Schlossstraße 11,Molsberg,1600!17. oder 18. Jahrhundert,"Wohnteil eines Fachwerk-Quereinhauses, verputzt, teilweise massiv, wohl aus dem 17. oder 18. Jahrhundert",,nope,nope
