Denkmalzone Altstadt,"Biergasse, Elisabethenstraße, Großer Markt, Hinterer Rebstock, Kirchstraße, Kleiner Markt, Sauertalstraße, Steinweg, Vorderer Rebstock",Montabaur,"","größerer Teil des ehemals ummauerten Stadtgebietes und das Schloss einschließlich Schlossberg, zahlreiche häufig verschieferte Fachwerkhäuser, meist vom Ende des 17. oder dem Anfang 18. Jahrhunderts",Kein Bild vorhanden,50.437053,7.829971
Denkmalzone Schloss Montabaur,"Schlossweg, Schlossberg bis Alleestraße, Bahnhofstraße, Hinterer Rebstock",Montabaur,0900!10. Jahrhundert,"im 10. Jahrhundert angelegte Burg, seit dem frühen 11. Jahrhundert trierisch, der jetzige Bau mit mittelalterlichem Kern unter Kurfürst Johann von Orsbeck von Johann Christoph Sebastiani errichtet, Vierflügelbau mit dreigeschossigen Ecktürme, innen mittelalterlicher Hauptturm und drei vortretende Treppenhäuser, vor der Nordfront zwei spätmittelalterliche Türme; Hauptportal, vier kleinere Portale, bezeichnet 1687 und 1688; ehemaliger Zwinger, ebenfalls barock umgestaltet, Marstall, 1720 (Bahnhofstraße 32); äußerer Torbau, bezeichnet 1588",//commons.wikimedia.org/wiki/Category:Schloss_Montabaur,50.438771,7.826355
Denkmalzone Jüdischer Friedhof,Albertstraße,Montabaur,1800!Anfang des 19. Jahrhunderts,"wohl Anfang des 19. Jahrhunderts angelegt, etwa 80 Grabsteine, einer der ältesten Grabsteine von 1810",Kein Bild vorhanden,50.431614,7.820184
Denkmalzone Kurtrierische Wildbanngrenze,südwestlich der Stadt,Montabaur,1770,"Abschnitte der ehemaligen kurtrierischen Wildbanngrenze zwischen Welschneudorf und Wirges, Wall- und Grabenanlage, 1770 angelegt",Kein Bild vorhanden,50.417209,7.800737
Stadtbefestigung,"
Lage",Montabaur,1291!nach 1291,"nach 1291 begonnen, vollendet in der zweiten Hälfte des 15. Jahrhunderts, Teile erhalten auf der Ostseite der Sauertalstraße und der Judengasse (kleiner Achteckturm), der südöstliche Eckturm an der Ostseite des neuen Finanzamtes (Joseph-Kehrein-Straße 1), der Mauerabschnitt in den Häusern Alois-Jäger-Platz 3 und 5, ein parallel zur Kolpingstraße verlaufender Mauerabschnitt mit rechteckigem Schalenturm östlich der Hospitalstraße, ein langer Mauerabschnitt mit angebauten Häusern an der Biergasse und der Wolfsturm auf der Anhöhe westlich der Stadt (Am Wolfsturm)",//commons.wikimedia.org/wiki/Category:Cultural_heritage_monuments_in_Montabaur,50.435265,7.827808
Fuhrmannkapelle,Alois-Jäger-Platz 4/6,Montabaur,1300!um 1300,"ehemalige Friedhofskapelle St. Anna; in Fachwerkzeile eingebauter, teilweise die Stadtmauer einbeziehender kleiner Bau, um 1300; darüber ehemalige Vikarswohnung, spätgotisches Fachwerk, dendrodatiert 1501, im 17. Jahrhundert Erweiterung und Anbau der Alten Schule",//commons.wikimedia.org/wiki/Category:Fuhrmannkapelle,50.434903,7.833175
Kurfürstlicher Marstall,Bahnhofstraße 32,Montabaur,1768,"elfachsiger Bau, Mittelpavillon unter Mansarddach, 1768, Architekt Johannes Seiz",Kein Bild vorhanden,50.440046,7.825241
Amtsgericht Montabaur,Bahnhofstraße 47,Montabaur,1910,"stattlicher neubarocker Bau, bezeichnet 1910",Kein Bild vorhanden,50.438338,7.824787
Wohnhaus,Bahnhofstraße 51,Montabaur,1914!vor 1914,"Wohnhaus mit Mittelrisalit und Mansarddach, kurz vor 1914, mit Ausstattung",Kein Bild vorhanden,50.438932,7.824628
Villa,Bahnhofstraße 75,Montabaur,1904,"Villa mit Nebengebäude; Klinkerbau, bezeichnet 1904",Kein Bild vorhanden,50.441317,7.825343
