Brunnen,Bergstraße,Rehe (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.635367,8.121447
Hofanlage,Bergstraße 3,Rehe (Westerwald),1875!Ende des 19. Jahrhunderts,"Fachwerk-Streckhof, Ende des 19. Jahrhunderts",Kein Bild vorhanden,50.635225,8.121121
Brunnen,Hauptstraße,Rehe (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.635048,8.121941
Quereinhaus,Hauptstraße 12,Rehe (Westerwald),1700!18. Jahrhundert,"Fachwerk-Quereinhaus, verkleidet, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.634667,8.120952
Rathaus,Hauptstraße 15,Rehe (Westerwald),1741,"Rathaus mit Betsaal; Fachwerkbau, Mansarddach, 1741",Kein Bild vorhanden,50.634556,8.121437
Brunnen,"Hauptstraße, bei Nr. 15",Rehe (Westerwald),1800!Anfang des 19. Jahrhunderts,"Laufbrunnen, Sandstein, wohl vom Anfang des 19. Jahrhunderts",Kein Bild vorhanden,50.634602,8.120828
Quereinhaus,Hauptstraße 20,Rehe (Westerwald),1600!17. Jahrhundert,"Quereinhaus, verputzt und verkleidet, teilweise Fachwerk, eventuell noch aus dem 17. Jahrhundert",Kein Bild vorhanden,50.634153,8.118838
Quereinhaus,Hauptstraße 30,Rehe (Westerwald),1700!erste Hälfte des 18. Jahrhunderts,"Fachwerk-Quereinhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.635589,8.122345
Fachwerkhaus,Querstraße 3/5,Rehe (Westerwald),1700!um 1700,"stattliches Fachwerkhaus mit Niederlass, teilweise massiv, um 1700",Kein Bild vorhanden,50.634412,8.122083
Brunnen,Rathausstraße,Rehe (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseisernes Becken eines Laufbrunnens, zweite Hälfte des 19. Jahrhunderts",,50.636423,8.125404
Quereinhaus,Windlück 1,Rehe (Westerwald),1700!18. Jahrhundert,"Fachwerk-Quereinhaus mit Niederlass, teilweise massiv, im Kern aus dem 18. Jahrhundert",,nope,nope
Brunnenkammern,östlich des Ortes an der B 255,Rehe (Westerwald),1800!19. Jahrhundert,"zwei ummauerte, überwölbte Quellfassungen, wohl aus dem 19. Jahrhundert",,nope,nope
