Hexengericht,"Rennerod, Bahnhofstraße",Rennerod,1500!16. Jahrhundert,"durch Linden gekennzeichnete, im 16. Jahrhundert erwähnte Gerichtsstätte",Kein Bild vorhanden,50.618072,8.070538
Bahnhof,"Rennerod, Bahnhofstraße 60",Rennerod,1905!um 1905,"Empfangsgebäude, späthistoristischer Basaltbruchsteinbau, um 1905",Kein Bild vorhanden,50.618497,8.071745
Quereinhaus,"Rennerod, Friedhofsweg 2",Rennerod,1700!18. Jahrhundert,"Wohnteil eines ehemaligen Quereinhauses, verkleidet, Fachwerk des 18. Jahrhunderts",Kein Bild vorhanden,50.606849,8.065689
Forstamt,"Rennerod, Hauptstraße 21",Rennerod,1800!erste Hälfte des 19. Jahrhunderts,"Zeltdachbau, erste Hälfte des 19. Jahrhunderts, Wirtschaftsgebäude",Kein Bild vorhanden,50.604803,8.065202
Wegekreuz,"Rennerod, Hauptstraße, bei Nr. 51",Rennerod,1794,"Wegekreuz, bezeichnet 1794",Kein Bild vorhanden,50.607368,8.065992
Verbandsgemeindeverwaltung,"Rennerod, Hauptstraße 55",Rennerod,1905!um 1905,"ehemaliges Amtsgericht; stattlicher Putzbau, teilweise Fachwerk, Mischformen Späthistorismus und Reformarchitektur, um 1905",Kein Bild vorhanden,50.607807,8.065899
Brunnen,"Rennerod, Hauptstraße, bei Nr. 65",Rennerod,"",zwei gemauerte Tiefbrunnen,Kein Bild vorhanden,50.608716,8.066242
Hofanlage,"Rennerod, Holzbachstraße 9",Rennerod,1700!um 1700,"Zweiseithof; Wohnhaus mit Niederlass, Scheune, wohl um 1700",Kein Bild vorhanden,50.604018,8.066768
Fachwerkhaus,"Rennerod, Holzbachstraße 19",Rennerod,1850!Mitte des 19. Jahrhunderts,"Fachwerkhaus, teilweise massiv, wohl aus der Mitte des 19. Jahrhunderts und jünger",Kein Bild vorhanden,50.606073,8.067241
Quereinhaus,"Rennerod, Holzbachstraße 21",Rennerod,1750!zweite Hälfte des 18. Jahrhunderts,"Fachwerk-Quereinhaus, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.60627,8.067287
Katholische Pfarrkirche St. Hubertus,"Rennerod, Kirchgasse 5",Rennerod,1875!1875/76,"Saalbau mit querhausartigen Anbauten, 1875/76",Kein Bild vorhanden,50.607238,8.067684
Quereinhaus,"Rennerod, Kurzgasse 1",Rennerod,1750!zweite Hälfte des 18. Jahrhunderts,"Fachwerk-Quereinhaus, teilweise massiv, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.605012,8.066503
Fachwerkhaus,"Rennerod, Mühlenstraße 5",Rennerod,"","Fachwerkhaus, verputzt und verschiefert",Kein Bild vorhanden,50.603548,8.067493
Hofanlage,"Rennerod, Rote Schmiede 7",Rennerod,1600!17. oder 18. Jahrhundert,"Gehöft aus Wohnhaus und quer dazu stehender Scheune, 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.604132,8.06648
Evangelische Pfarrkirche,"Emmerichenhain, Kirchstraße",Rennerod,1744,"Saalbau, 1744; Gesamtanlage mit

Mengelshainer Straße 5: Evangelisches Pfarrhaus, verschiefert, wohl vom Anfang des 19. Jahrhunderts;
Mengelshainer Straße 7: Lutherhaus; Gemeindesaal, um 1910/20;
Siegener Straße 20: ehemaliges Schulhaus, 1912

",Kein Bild vorhanden,50.63082,8.068638
Quereinhaus,"Emmerichenhain, Kirchstraße 9",Rennerod,1700!18. Jahrhundert,"Fachwerk-Quereinhaus, teilweise massiv und verputzt, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.630697,8.069457
Denkmal,"Emmerichenhain, Siegener Straße, Ecke Wilhelm-Albrecht-Straße",Rennerod,1879,"Denkmal für Wilhelm Albrecht, 1879 errichtet",Kein Bild vorhanden,50.628329,8.070271
Quereinhaus,"Emmerichenhain, Siegener Straße 9",Rennerod,1700!18. Jahrhundert,"verputzter und verschieferter Fachwerk-Wohnteil eines Quereinhauses mit Niederlass, teilweise massiv, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.629207,8.069701
Hofanlage,"Emmerichenhain, Siegener Straße 10",Rennerod,1800!Anfang des 19. Jahrhunderts,"Streckhof, wohl vom Anfang des 19. Jahrhunderts; teilweise Ziegelmauerwerk, teilweise verkleidet, um 1900, Fachwerkscheune",Kein Bild vorhanden,50.628897,8.070131
Historischer Straßenzug,"Emmerichenhain, südlich des Ortes in Verlängerung der Wilhelm-Albrecht-Straße",Rennerod,"",etwa 250 m langer gepflasterter Abschnitt der Fernstraße Limburg–Siegen,,50.626217,8.070298
