Kindergarten,Adelphusweg 2,Salz (Westerwald),1910!um 1910/20,"ehemalige Schule; eingeschossiger Bruchsteinbau, Mansarddach, um 1910/20",Kein Bild vorhanden,50.508842,7.961028
Hofanlage,Hainstraße 9,Salz (Westerwald),1800!19. Jahrhundert,"Hofanlage; verputztes Fachwerkhaus, wohl aus dem 19. Jahrhundert, Fachwerkscheune, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.508389,7.957529
Fachwerkhaus,Hauptstraße 7,Salz (Westerwald),1750!Mitte des 18. Jahrhunderts,"Fachwerkhaus, Mitte oder zweite Hälfte des 18. Jahrhunderts, rückwärtig erweitert im 19. Jahrhundert",Kein Bild vorhanden,50.508967,7.958396
Hofanlage,Hauptstraße 10/12,Salz (Westerwald),"","Hofanlage; Baugruppe aus:

ehemaliger Scheune, jetzt Einfirstanlage (Nr. 10)
kleinem Fachwerkhaus, im 19. Jahrhundert straßenseitig erweitert (Nr. 12)

","//commons.wikimedia.org/wiki/Category:Saint_Adelphus_Church_(Salz,_Westerwald)",50.5094,7.957298
Katholische Pfarrkirche St. Adelphus,Hauptstraße 22,Salz (Westerwald),"","romanische Pfeilerbasilika, spätgotischer Chor",Kein Bild vorhanden,50.508482,7.959047
Hofanlage,Jahnstraße 14,Salz (Westerwald),1650!zweite Hälfte des 17. Jahrhunderts,"Streckhof; Fachwerkhaus, zweite Hälfte des 17. Jahrhunderts, Fachwerkscheune, teilweise massiv, um 1900, mit älteren Resten",Kein Bild vorhanden,50.509713,7.96573
Hofanlage,Untergasse 4,Salz (Westerwald),1700!um 1700,"Hofanlage; Fachwerkhaus, teilweise massiv und verkleidet, Ende des 17. oder Anfang des 18. Jahrhunderts, Fachwerkscheune, 17. oder Anfang des 18. Jahrhunderts",Kein Bild vorhanden,50.508487,7.95859
Fachwerkhaus,Untergasse 6,Salz (Westerwald),1600!17. Jahrhundert,"Fachwerkhaus, teilweise massiv und verkleidet, 17. Jahrhundert (?), in der ersten Hälfte des 18. Jahrhunderts erweitert",Kein Bild vorhanden,50.508279,7.958828
Fachwerkhaus,Untergasse 12,Salz (Westerwald),1600!17. oder 18. Jahrhundert,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.508115,7.95902
Heiligenhäuschen,südwestlich des Ortes an der K 96,Salz (Westerwald),1764,"Sandsteinbau, Marmorrelief, bezeichnet 1764",,50.506052,7.954222
Kreuzweg,nördlich des Ortes an der K 96,Salz (Westerwald),"","Kreuzweg vom Ortsausgang zur St.-Leonhard-Kapelle; Stationen in Form von giebelförmig geschlossenen Heiligenhäuschen, kurz nach 1850",,50.513677,7.955419
