Rathaus,Brunnenstraße 2,Stahlhofen (Westerwald),1855!1855/56,"ehemaliges Rathaus und Backhaus; Bruchsteinbau, 1855/56; straßenseitig: Kruzifix, bezeichnet 1855",Kein Bild vorhanden,50.393795,7.858666
Scheune,"Brunnenstraße, zu Nr. 4",Stahlhofen (Westerwald),1900!um 1900,"Fachwerkscheune, um 1900",Kein Bild vorhanden,50.393943,7.859242
Fachwerkhaus,Brunnenstraße 9,Stahlhofen (Westerwald),1500!16. Jahrhundert,"Fachwerkhaus, teilweise massiv und verkleidet, 16. Jahrhundert",Kein Bild vorhanden,50.394508,7.859358
Schulhaus,Brunnenstraße 14,Stahlhofen (Westerwald),1823,"ehemalige Schule mit Nebengebäude; Fachwerk-Schulhaus, teilweise massiv, bezeichnet 1823, Fachwerk-Toilettenhäuschen, wohl bauzeitlich",Kein Bild vorhanden,50.393724,7.860839
Katholische Pfarrkirche St. Wendelin,Kirchstraße,Stahlhofen (Westerwald),1913,"kreuzförmiger neubarocker Basaltbau, bezeichnet 1913",Kein Bild vorhanden,50.395586,7.857879
Fachwerkhaus,Ringstraße 13,Stahlhofen (Westerwald),1700!18. Jahrhundert,"Fachwerkhaus eines Streckhofs, 18. Jahrhundert",Kein Bild vorhanden,50.394627,7.858254
Fachwerkhaus,Ringstraße 15,Stahlhofen (Westerwald),1600!17. oder 18. Jahrhundert,"Fachwerkhaus, teilweise massiv und verkleidet, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.394468,7.858218
Fachwerkhaus,Ringstraße 18a/20,Stahlhofen (Westerwald),1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv und verputzt, 18. Jahrhundert",Kein Bild vorhanden,50.393937,7.857939
Fachwerkhaus,Ringstraße 19,Stahlhofen (Westerwald),1700!18. Jahrhundert,"Fachwerkhaus mit Niederlass, teilweise massiv und verkleidet, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.39401,7.858279
Hofanlage,Ringstraße 24,Stahlhofen (Westerwald),1700!18. Jahrhundert,"Streckhof; Fachwerkhaus mit Niederlass, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.393616,7.858204
Katholische Kapelle St. Wendelin,nordwestlich des Ortes an der K 166,Stahlhofen (Westerwald),1885,"Wegekapelle; Bruchsteinbau, 1885, bauzeitlicher Wendelinus-Altar",Kein Bild vorhanden,50.399522,7.851034
