Denkmalzone Hachenburger Straße,"Korb, Hachenburger Straße 8, 10, 12, 13, 14, 16",Unnau,1800!19. Jahrhundert,"Gruppe von Quereinhäusern des 19. Jahrhunderts, bis auf Nr. 16 giebelständig, Fachwerk, zum Teil verkleidet",Kein Bild vorhanden,50.656692,7.890953
Bahnhof,"Korb, Bahnhofstraße 10",Unnau,1885!um 1885,"Empfangsgebäude mit Güterschuppen; Typenbau, kleines Nebengebäude, um 1885",Kein Bild vorhanden,50.654261,7.889115
Quereinhaus,"Korb, Hachenburger Straße 13",Unnau,1850!Mitte des 19. Jahrhunderts,"langgestrecktes Fachwerk-Quereinhaus, verkleidet, wohl aus der Mitte des 19. Jahrhunderts",Kein Bild vorhanden,50.65668,7.890389
Quereinhaus,"Korb, Wiesenweg 2",Unnau,1700!18. Jahrhundert,"langgestrecktes Fachwerk-Quereinhaus, verkleidet, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.656833,7.88879
Schulhaus,"Korb, Wiesenweg 3",Unnau,1878,"ehemalige Schule; eingeschossiger verschieferter Fachwerkbau, 1878",Kein Bild vorhanden,50.656636,7.888406
Dorfgemeinschaftshaus,"Stangenrod, Jahnstraße 1",Unnau,1926,"ehemalige Schule; Typenbau der Heimatschutzbewegung, 1926",Kein Bild vorhanden,50.659163,7.901839
Quereinhaus,"Stangenrod, Jahnstraße 13",Unnau,1800!um 1800,"Fachwerk-Quereinhaus mit aufgestocktem Niederlass, verkleidet, wohl um 1800",Kein Bild vorhanden,50.660511,7.901703
Quereinhäuser,"Stangenrod, Ringstraße 3/5",Unnau,1700!um 1700,"zwei aneinandergebaute Fachwerk-Quereinhäuser, teilweise massiv, um 1700, Ende des 18. und Anfang des 19. Jahrhunderts",Kein Bild vorhanden,50.659609,7.901773
Quereinhaus,"Stangenrod, Talstraße 37",Unnau,1700!18. Jahrhundert,"kleines Fachwerk-Quereinhaus mit Niederlass, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.659685,7.900765
Brunnen,"Unnau, Brunnenstraße",Unnau,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.64822,7.908539
Quereinhaus,"Unnau, Erbacher Straße 36",Unnau,"",verschiefertes Fachwerk-Quereinhaus mit Niederlass,Kein Bild vorhanden,50.645447,7.904621
Brunnen,"Unnau, Erbacher Straße, bei Nr. 36",Unnau,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.645642,7.904811
Quereinhaus,"Unnau, Erbacher Straße 46",Unnau,"","Fachwerk-Quereinhaus mit Niederlass, teilweise massiv, verkleidet",Kein Bild vorhanden,50.644376,7.903928
Quereinhaus,"Unnau, Gartenstraße 5",Unnau,1800!frühes 19. Jahrhundert,"langgestrecktes Fachwerk-Quereinhaus mit aufgestocktem Niederlass, teilweise massiv, frühes 19. Jahrhundert",Kein Bild vorhanden,50.648331,7.906937
Quereinhaus,"Unnau, Gartenstraße 14",Unnau,"","Fachwerk-Quereinhaus mit Niederlass, verkleidet",,50.648274,7.906574
