Denkmalzone Ortskern,"Frankfurter Straße 20/21/23, Gerichtsstraße 1",Wallmerod,1831!nach 1831,"nach der Verlegung des Amtssitzes nach Wallmerod im Jahr 1831 neu entstandenes Ortszentrum in Form eines rechteckigen, von drei Gebäuden umstandenen Platzes: im Norden die Forstverwaltung (Frankfurter Straße 20), im Westen die Amtsverwaltung (heute zum Komplex Gerichtsstraße 1 gehörend) und im Süden das Gefängnis (ebenfalls zu Gerichtsstraße 1); ferner die ehemalige Post (Frankfurter Straße 21/23)",Kein Bild vorhanden,50.483787,7.954324
Back- und Gemeindehaus,Bahnhofstraße 1,Wallmerod,1875!Ende des 19. Jahrhunderts,"Fachwerk mit Backsteinausfachung auf Bruchstein-Erdgeschoss, Ende des 19. Jahrhunderts",Kein Bild vorhanden,50.485202,7.951804
Hofanlage,Eckengasse 7,Wallmerod,1700!erste Hälfte des 18. Jahrhunderts,"Fachwerk-Streckhof, teilweise massiv, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.484466,7.950931
Evangelische Christuskirche,Frankfurter Straße 1,Wallmerod,1875!Ende des 19. Jahrhunderts,"neugotischer Basaltsaal, wohl gegen Ende des 19. Jahrhunderts",Kein Bild vorhanden,50.484831,7.952036
Fachwerkhaus,Frankfurter Straße 3/5,Wallmerod,1709,"stattliches Fachwerkhaus, teilweise massiv, bezeichnet 1709; Bruchstein-Scheune, wohl aus dem 19. Jahrhundert",Kein Bild vorhanden,50.484714,7.952386
Fachwerkhaus,Frankfurter Straße 12,Wallmerod,1700!18. Jahrhundert,"Fachwerkhaus, verkleidet und verputzt, teilweise wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.484517,7.953414
Wohnhaus,Frankfurter Straße 20,Wallmerod,1834,"ursprünglich herzoglich-nassauische Receptur, dann Forsthaus; stattlicher klassizistischer Massivbau, bezeichnet 1834, langgestrecktes Nebengebäude",Kein Bild vorhanden,50.483948,7.95452
Wohnhaus,Frankfurter Straße 21/23,Wallmerod,1890,"ehemalige Post, jetzt Doppelwohnhaus; Putzstuckfassade, bezeichnet 1890",Kein Bild vorhanden,50.48357,7.954419
Gefängnis,Gerichtsstraße 1,Wallmerod,1831!nach 1831,"ehemaliges Gefängnis; kubusartiger Zeltdachbau, wohl unmittelbar nach 1831",Kein Bild vorhanden,50.483585,7.954036
Wohnhaus,Kirchstraße 1,Wallmerod,1750!zweite Hälfte des 18. Jahrhunderts,"Pseudomansarddachbau mit Halbwalm, wohl aus der zweiten Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.484892,7.951761
Hofanlage,Kirchstraße 2,Wallmerod,1600!17. oder 18. Jahrhundert,"Zweiseithof; Fachwerkhaus, verputzt und verkleidet, teilweise massiv, wohl aus dem 17. oder 18. Jahrhundert, Fachwerkscheune 18. Jahrhundert",,50.484661,7.951851
Wohnhaus,Kirchstraße 3,Wallmerod,1500!16. Jahrhundert,"Wohnhaus mit polygonalem haushohem Standerker, wohl aus dem 16. Jahrhundert",,50.484735,7.951611
Fachwerkhaus,Konrad-Adenauer-Straße 9,Wallmerod,1700!18. oder 19. Jahrhundert,"Fachwerkhaus mit Niederlass, verkleidet, wohl aus dem 18. oder 19. Jahrhundert",,50.485141,7.950276
Heiligenhäuschen,südwestlich des Ortes am Waldrand,Wallmerod,1775!spätes 18. Jahrhundert,"giebelförmig abschließender Mauerblock, eventuell noch aus dem 18. Jahrhundert",,50.481305,7.94574
