Kirchweg 8, Almersbach,"Evangelische Pfarrkirche, spätromanische Pfeilerbasilika, zweites Viertel des 13. Jahrhunderts"
Hoffnungsthal 1, Almersbach,"Haus Hoffnungsthal, spätklassizistische Villa, erste Hälfte des 19. Jahrhunderts; Gesamtanlage mit Park und straßenseitiger Einfriedung"
Am Höfgen 3, Alsdorf (Westerwald),"Fachwerk-Quereinhaus, 18. Jahrhundert, wohl um 1900 erweitert"
Geishardtstraße 13/15, Alsdorf (Westerwald),"Fachwerk-Quereinhaus, teilweise massiv, teilweise verschiefert, im Kern wohl aus dem 17. Jahrhundert"
Hauptstraße 53, Alsdorf (Westerwald),"Schule, Klinker- bzw. Putzbau, teilweise expressionistische Motive, um 1920/30"
Hauptstraße 75/77, Alsdorf (Westerwald),"ehemalige Schule, ein- bzw. zweigeschossiger Bruchsteinbau, bezeichnet 1866"
Hauptstraße 92, Alsdorf (Westerwald),"Fachwerkhaus, teilweise verschiefert, Krüppelwalmdach, wohl aus dem 18. Jahrhundert"
Hölzerne Ecke 2, Alsdorf (Westerwald),"Fachwerkhaus, verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Hölzerne Ecke 9/11, Alsdorf (Westerwald),"stattliches Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Hölzerne Ecke 16, Alsdorf (Westerwald),"Fachwerkhaus, verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Hölzerne Ecke 17, Alsdorf (Westerwald),"Fachwerk-Quereinhaus, teilweise massiv, verschiefert, wohl aus dem 17. oder 18. Jahrhundert"
Lindenstraße 6/8, Alsdorf (Westerwald),"Fachwerkhaus, teilweise verkleidet bzw. verschiefert, wohl aus dem 17. Jahrhundert"
Schützenstraße 5, Alsdorf (Westerwald),"Fachwerkhaus, verkleidet, wohl 17./18. Jahrhundert, Fachwerkscheune"
Schützenstraße 7, Alsdorf (Westerwald),"das sogenannte „Hüttenschulzenhaus“, Fachwerkbau mit Laube und Niederlass, um 1680, Fachwerkscheune 18. oder 19. Jahrhundert"
Schützenstraße 8/10, Alsdorf (Westerwald),"Fachwerkhaus, teilweise verschiefert, 17./18. Jahrhundert, teilweise im 19. Jahrhundert erneuert"
nördlich der Ortslage im Wald, Alsdorf (Westerwald),Kriegerdenkmal 1866 und 1870/71; Obelisk
Hauptstraße 10, Bachenberg,"Hofanlage; Fachwerkhaus, teilweise massiv, 18. Jahrhundert, stattliche Fachwerkscheune, 18. oder 19. Jahrhundert"
Denkmalzone Jüdischer Friedhof (Engelsteinstraße), Betzdorf,etwa 15 Grabsteine ab 1921
Bahnhofstraße 9, Betzdorf,"Wohn- und Geschäftshaus, um 1920/30 (?)"
Bergstraße 24, Betzdorf,"Evangelische Kreuzkirche, neufrühgotische Bruchsteinhalle, 1894/95; zugehörig Baumbestand und bauzeitliche Einfriedung"
Burgstraße 5/7, Betzdorf,"Fachwerkhaus, teilweise verputzt, 16. Jahrhundert"
Decizer Straße 16, Betzdorf,"Wohn- und Geschäftshaus; dreigeschossiger Mansarddachbau, um 1920/30; stadträumlich bedeutende Lage"
Decizer Straße 17, Betzdorf,"Wohn- und Geschäftshaus; dreigeschossiger Klinkerbau mit Stuckgliederung, bezeichnet 1901"
Freiherr-vom-Stein-Straße 7, Betzdorf,"Villa Godesburg, villenartiger Mansarddachbau, teilweise verschiefert, barockisierender Schweifgiebel, Anfang der 1910er Jahre"
Friedhofsweg, Betzdorf,"Friedhofshalle, expressionistische Formen, 1930er Jahre"
Friedrichstraße 21, Betzdorf,"ehemalige Krupp’sche Bergverwaltung, neuklassizistischer Walmdachbau, 1922"
Friedrichstraße 95, Betzdorf,"Fachwerkhaus, teilweise massiv, 1910er Jahre"
Hellerstraße 2, Betzdorf,"Rathaus, Putzbau, Arkaden-Vorhalle, Neugotik und Neurenaissance, Eduard Endler, 1900"
Hellerstraße 33, Betzdorf,"spätklassizistischer Typenbau, bezeichnet 1861"
Im Höfergarten, Betzdorf,"Lokomotiv- und Wagenhallen des ehemaligen Eisenbahnausbesserungswerks Betzdorf, wohl kurz nach 1861"
Kirchener Straße 46, Betzdorf,"ehemaliges Realgymnasium, 1906, erweitert 1928/29"
Kirchstraße 15, Betzdorf,"kleines schieferverkleidetes Fachwerkhaus, ausgehendes 18. Jahrhundert"
Kirchstraße 16, Betzdorf,"Katholische Pfarrkirche St. Ignatius, dreischiffige neugotische Bruchsteinbasilika, 1879–81, Architekt Vincenz Statz; neugotisches Missionskreuz, bezeichnet 1906"
Moltkestraße 13, Betzdorf,"Putzbau, Reformarchitektur, um 1910/20"
Rainstraße, Betzdorf,"Kriegerdenkmal 1914/18, gestufte Anlage"
Rainstraße 1, Betzdorf,"Wohn- und Geschäftshaus; dreigeschossiger Eckbau, Klinker- und Stuckfassade, bezeichnet 1900"
Rainstraße 26, Betzdorf,"ehemaliges Feuerwehrhaus, Stahlbetonbau, teilweise verschiefert, Walmdach, Steigerturm, 1926"
Schützenstraße, Betzdorf,"Kriegerdenkmal 1871, Findling in umfriedeter Anlage, bezeichnet 1881"
Schützenstraße 1, Betzdorf,"spätklassizistischer Putzbau, um 1870"
Viktoriastraße 22, Betzdorf,"Zeilenwohn- und Geschäftshaus, Anfang des 20. Jahrhunderts"
östlich der Stadt im Wald, Betzdorf,"Kriegerdenkmal; Obelisk, bezeichnet 1925"
Grubenstraße 2/4, Betzdorf,"Fachwerk-Quereinhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Schulgasse 18, Birkenbeul,"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Eisenhardtstraße 11, Birken-Honigsessen,"Fachwerkhaus, teilweise massiv bzw. verschiefert, erste Hälfte des 19. Jahrhunderts"
Hauptstraße 201, Birken-Honigsessen,"ehemaliges Pfarrhaus; verschiefertes Wohnhaus, teilweise Fachwerk, Anklänge an Schweizerstil, vor 1899"
Hauptstraße 203, Birken-Honigsessen,"Katholische Pfarrkirche St. Elisabeth (Zeltkirche), quadratischer Bruchsteinbau, 1929/30, Architekt Dominikus Böhm, unter Einbeziehung der Längswand der Kapelle von 1723 und der Apsis von 1884"
Hauptstraße 205, Birken-Honigsessen,"Gasthaus; Fachwerkbau, um 1800 oder aus der ersten Hälfte des 19. Jahrhunderts"
Talstraße 12, Birken-Honigsessen,"Fachwerkhaus, Mitte des 19. Jahrhunderts"
"gegenüber Euebach 2, nordwestlich von Birken-Honigsessen im Tal des Wisser Bachs", Birken-Honigsessen,"stattliches Fachwerkhaus, Krüppelwalmdach, um 1800"
Unterbirkholz 3, Birken-Honigsessen,"Fachwerkhaus, eventuell noch aus dem 18. Jahrhundert"
