Hofanlage,Alzeyer Pforte 2,Albig,1700!18. Jahrhundert,barocke Hofanlage,Kein Bild vorhanden,49.773363,8.123077
Hofanlage,Alzeyer Pforte 3,Albig,1707,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, bezeichnet 1707",Kein Bild vorhanden,49.773268,8.12301
Vierseithof,Alzeyer Pforte 6,Albig,1776,"Vierseithof; spätbarockes Wohnhaus, teilweise Fachwerk, bezeichnet 1776, Gewölbestall, Keller bezeichnet 1778, Umbau im 19. Jahrhundert",Kein Bild vorhanden,49.773074,8.123273
Schule,Alzeyer Pforte 30,Albig,1885,"spätklassizistischer Sandsteinquaderbau, bezeichnet 1885",Kein Bild vorhanden,49.77189,8.12281
Scheune,Bachgasse 8,Albig,1903,"ehemalige Bruchsteinscheune, bezeichnet 1903",Kein Bild vorhanden,49.774186,8.125039
Hofanlage,Hintergasse 22,Albig,1749,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, bezeichnet 1749, Gewölbestall",Kein Bild vorhanden,49.772647,8.122529
Dreiseithof,Hintergasse 30,Albig,1775!Ende des 18. Jahrhunderts,"Dreiseithof; eingeschossiges spätbarockes Wohnhaus, teilweise Fachwerk, Ende des 18. Jahrhunderts",Kein Bild vorhanden,49.772961,8.123091
Evangelische Liebfrauenkirche,Kirchgasse 1,Albig,1175!Ende des 12. Jahrhunderts,"romanischer Westturm, Ende des 12. Jahrhunderts, spätbarocker Saalbau, bezeichnet 1781, auf romanischen Fundamenten; Grabsteine, gründerzeitlich; Kriegerdenkmal 1870/71, drittes Drittel des 19. Jahrhunderts; Kriegerdenkmal 1914/18, Soldat, Kunststein, um 1930",Kein Bild vorhanden,49.774184,8.121278
Fachwerkhaus,Langgasse 32,Albig,1800!um 1800,"zwei- bis dreigeschossiges Fachwerkhaus, teilweise massiv, um 1800",Kein Bild vorhanden,49.773187,8.119387
Dreiseithof,Langgasse 51,Albig,1699,"Dreiseithof; barockes Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1699 und 1801",Kein Bild vorhanden,49.77355,8.121211
Fachwerkhaus,Langgasse 57,Albig,1695,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1695",Kein Bild vorhanden,49.773427,8.121823
Rathaus,Langgasse 58,Albig,1766,"spätbarocker Krüppelwalmdachbau, 1766; im Erdgeschoss katholische Kapelle",Kein Bild vorhanden,49.773801,8.121862
Fachwerkhaus,Langgasse 59,Albig,1700,"stattliches barockes Fachwerkhaus, teilweise massiv, bezeichnet 1700",Kein Bild vorhanden,49.773779,8.122183
Hofanlage,Langgasse 62,Albig,1725,"Hofanlage; barockes Fachwerkhaus, teilweise massiv, bezeichnet 1725 und 1765",Kein Bild vorhanden,49.77392,8.12245
Barockbau,Langgasse 82,Albig,1750!um 1750,"Barockbau, um 1750; Hofflügel, 19. Jahrhundert",Kein Bild vorhanden,49.774912,8.124559
Fachwerkhaus,Saalgässchen 5,Albig,1700!erste Hälfte des 18. Jahrhunderts,"barockes Fachwerkhaus, teilweise massiv, abgewalmtes Mansarddach, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.772998,8.121272
Wasserbehälter,Gewann Mittelweg,Albig,1902,"historisierender Sandsteinquaderbau, bezeichnet 1902",Kein Bild vorhanden,49.772792,8.130052
Weinbergshaus,Gewann Hundskopf,Albig,1800!erste Hälfte des 19. Jahrhunderts,"tonnengewölbter Bruchsteinbau, erste Hälfte des 19. Jahrhunderts; Türsturz bezeichnet (17)74, wohl zweitverwendet",Kein Bild vorhanden,49.782957,8.11354
Denkmalzone Bachstraße 39,"Alsheim, Bachstraße 39[1]",Alsheim,1830!um 1830/40,klassizistischer Vierseithof,Kein Bild vorhanden,49.76555,8.340175
Denkmalzone Jüdischer Friedhof,"Alsheim, L 438, Gimbsheimer Straße",Alsheim,1850!Zweite Hälfte des 19. Jahrhunderts,"eingefasstes Areal mit zwei Toren, Grabsteine aus der zweiten Hälfte des 19. und der ersten Hälfte des 20. Jahrhunderts",Kein Bild vorhanden,49.767167,8.351982
Denkmalzone Alter Friedhof,"Alsheim, Raiffeisenstraße",Alsheim,1850!Zweite Hälfte des 19. Jahrhunderts,"Lindenallee, Grabsteine aus der zweiten Hälfte des 19. Jahrhunderts bis um 1930",Kein Bild vorhanden,49.767393,8.342617
Katholische Pfarrkirche Mariä Himmelfahrt,"Alsheim, Bachstraße 2",Alsheim,1500!Anfang des 16. Jahrhunderts,"barocker Saalbau, spätgotischer Chor, Anfang des 16. Jahrhunderts; klassizistische Grabmäler; Kriegerdenkmal 1914/18, Kreuzigungsgruppe",Kein Bild vorhanden,49.767645,8.342039
Mansarddachbau,"Alsheim, Bachstraße 12",Alsheim,1700!18. Jahrhundert,"eingeschossiger barocker abgewalmter Mansarddachbau, 18. Jahrhundert; Hofpforte, bezeichnet 1715",Kein Bild vorhanden,49.766769,8.341457
Mansardwalmdachbau,"Alsheim, Bachstraße 20",Alsheim,1750!Mitte des 18. Jahrhunderts,eingeschossiger barocker Mansardwalmdachbau,Kein Bild vorhanden,49.76617,8.34083
Mansardwalmdachbau,"Alsheim, Bachstraße 33",Alsheim,1807,"stattlicher neubarocker Mansardwalmdachbau, bezeichnet 1807",Kein Bild vorhanden,49.766067,8.340506
Walmdachbau,"Alsheim, Bachstraße 34",Alsheim,1860!um 1860,Walmdachbau,Kein Bild vorhanden,49.765217,8.340202
Mansarddachbau,"Alsheim, Bachstraße 36",Alsheim,1911,"neubarocker Mansarddachbau, bezeichnet 1911; Backhaus-Keilstein, bezeichnet 1779",Kein Bild vorhanden,49.765051,8.340153
Rathaus,"Alsheim, Bachstraße 37",Alsheim,1700!18. Jahrhundert,"barocker Mansardwalmdachbau, teilweise Fachwerk",Kein Bild vorhanden,49.765775,8.340265
Hakenhof,"Alsheim, Bachstraße 40",Alsheim,1860,"spätklassizistische Wohnhaus, um 1860; Scheune, 17. Jahrhundert",Kein Bild vorhanden,49.764781,8.34011
Vierseithof,"Alsheim, Bachstraße 42",Alsheim,1700!18. Jahrhundert,"Fachwerkhaus, Walmdach, im Kern aus dem 18. Jahrhundert; Hofpforte, bezeichnet 1719; Wirtschaftsgebäude, 19. Jahrhundert",Kein Bild vorhanden,49.764525,8.340072
Fachwerkhaus,"Alsheim, Bachstraße 51",Alsheim,1764,"barockes Fachwerkhaus, teilweise massiv, bezeichnet 1764",Kein Bild vorhanden,49.764368,8.3399
Krüppelwalmdachbau,"Alsheim, Bachstraße 53",Alsheim,1788,"spätbarocker Krüppelwalmdachbau, bezeichnet 1788",Kein Bild vorhanden,49.764231,8.339873
Mansardwalmdachbau,"Alsheim, Kesselgasse 1",Alsheim,1700!18. Jahrhundert,eingeschossiger barocker Mansardwalmdachbau,Kein Bild vorhanden,49.766826,8.340677
Hofanlage,"Alsheim, Kesselgasse 12",Alsheim,1920!1920er Jahre,neubarocke Hofanlage; herrschaftlicher Ziegelbau,Kein Bild vorhanden,49.767384,8.339661
Domhof,"Alsheim, Langgasse 1",Alsheim,1760,"eingeschossiger barocker Krüppelwalmdachbau, bezeichnet 1760; Wirtschaftsgebäude, 19. Jahrhundert",,49.767102,8.337306
Kelterhaus,"Alsheim, Mehlpfortstraße 14",Alsheim,1700!18. Jahrhundert,"barocker Mansarddachbau, teilweise Fachwerk",,49.768087,8.336514
Krüppelwalmdachbau,"Alsheim, Mittelgasse 5",Alsheim,1750!um 1750/60,"spätbarocker Krüppelwalmdachbau, teilweise Fachwerk",,49.76578,8.339957
Neidkopf,"Alsheim, Mühlstraße 16",Alsheim,1650!wohl aus dem 17. Jahrhundert,barocker Neidkopf,,49.763991,8.334965
Evangelische Pfarrkirche,"Alsheim, Mühlstraße 35",Alsheim,1200!um 1200,"ehemals St. Bonifatius; romanischer Saalbau, um 1200, im 18. Jahrhundert barock überformt, 1874 verändert; Friedhof mit Grabsteinen des 18. und 19. Jahrhunderts, Kriegerdenkmal 1914/18, neuklassizistische Anlage, 1920er Jahre",,49.763022,8.33434
Hofanlage,"Alsheim, Oberdorfstraße 43",Alsheim,1700!18. Jahrhundert,"herrschaftlicher barocker Mansardwalmdachbau, 18. Jahrhundert; Wirtschaftsgebäude, 19. Jahrhundert",,49.762937,8.335684
Kirche St. Magdalena,Hangen-Wahlheim,Alsheim,1200!13. Jahrhundert,"Kirchenruine, Reste eines spätgotisch überformten Saalbaus des 13. Jahrhunderts; auf dem Kirchhof Grabkreuze, frühes 18. Jahrhundert",,49.780705,8.335608
Wasserbehälter,"Hangen-Wahlheim, Gewann An der Kühhohl",Alsheim,1905!um 1905,neuklassizistisch gefärbter Jugendstiltypenbau,,49.780001,8.330896
Denkmalzone Älterer Jüdischer Friedhof,"Alzey, Berliner Straße, am christlichen Friedhof",Alzey,1700!18. Jahrhundert,"etwa 200 Grabsteine, 18. bis Anfang des 20. Jahrhunderts",Kein Bild vorhanden,49.750141,8.113819
