Bahnhofstraße,Arzfeld,"ehemaliger Bahnhof; Bahnhofsbauten in ländlichem Stil, Fachwerk-Güterschuppen, 1907; bauliche Gesamtanlage",50.092061,6.279718
Hauptstraße/Einmündung Luxemburger Straße,Arzfeld,"Wegekapelle; nachbarocker Putzbau mit Dachreiter, bezeichnet 1899; in der Westwand Wegekreuz, bezeichnet 1857",50.088275,6.275208
Schulstraße 1,Arzfeld,"Katholische Pfarrkirche St. Maria Magdalena; spätgotischer Bruchsteinbau, Erweiterung durch Querbau und Aufstockung des Westturms, 1911, Architekt Peter Marx, Trier; Ausstattung; auf dem Kirchhof Denkmal für die Streiter des sogenannten Klöppelkriegs, Granitquaderwand, reliefierte Metallplatte, 1908; vor der Ostwand der Kirche Schiefer-Grabkreuze, 18. und 19. Jahrhundert",50.092726,6.262731
"südlich des Ortes, am Weg Richtung ‚Auf der Kehr‘ (alter Weg nach Emmelbaum)",Arzfeld,"Wegekreuz; aufwändige neugotische Stele, wohl spätes 19. Jahrhundert","",""
Hölzchen 4,Arzfeld,"Katholische Filialkirche St. Luzia; zweiachsiger Saalbau mit Chorturm, spätestens aus dem 15. Jahrhundert",50.080316,6.311294
(in) Kapellenstraße,Dackscheid,"Katholische Filialkirche St. Celsus; barocker Säulenaltar, 18. Jahrhundert; Missionskreuz, 1735; Steinrelief, bezeichnet 1585",50.120301,6.393202
Kapellenstraße 14,Dackscheid,"Streckhof; Wohnhaus, bezeichnet 1855, Stallgebäude, bezeichnet 1881",50.118719,6.391441
Daleidener Straße 1,Dahnen,"Kapelle St. Kosmas und St. Damian; Saalbau mit Spitzhelmdachreiter, bezeichnet 1741, wohl 1808 erneuert",50.074824,6.149067
Hauptstraße 15,Dahnen,"Quereinhaus, bezeichnet 1733, Erweiterung im 19. Jahrhundert, Stallscheune bezeichnet 1731; baufeste Ausstattung",50.07257,6.143704
Hauptstraße 16,Dahnen,"Katholische Pfarrkirche St. Servatius und St. Matthias; mittelalterlicher Chorturm, eventuell aus dem 14. Jahrhundert, Zeltdach 1829; spätestgotisches zweischiffiges Langhaus, frühes 16. Jahrhundert, barocker Umbau bezeichnet 1732, 1954/55 Erweiterung durch Querbau",50.071789,6.14339
(an) Kobeneck 1,Dahnen,"Eingangsachse des ehemaligen Wohnhauses, bezeichnet 1846",50.071026,6.143596
"südlich des Ortes, an der Straße nach Dasburg",Dahnen,"Wegekreuz; kleines Schiefer-Balkenkreuz, Mitte des 19. Jahrhunderts",51.9335,12.225388
südöstlich des Ortes am Mühlbach,Dahnen,"Steinkaulsmühle; technische Einrichtung im Mühlengebäude, 19. Jahrhundert, im Holzschuppen Schaufelrad",48.034944,10.504477
"westlich des Ortes im Ourtal, in der Nähe der ehemaligen Lorenzmühle",Dahnen,"Wegekreuz; großes neugotisches Kruzifix auf Stufenunterbau, wohl vom Anfang des 20. Jahrhunderts","",""
(an) Dahner Straße 7,Daleiden,"barockes Oberlichtportal, bezeichnet 1782",50.068846,6.181864
Hauptstraße,Daleiden,"Willibrorduskapelle; kleiner Putzbau, 1683, Werksteineinfassungen wohl aus der zweiten Hälfte des 18. Jahrhunderts",50.06688,6.1857
(an) Hauptstraße 12,Daleiden,"Nischenkreuz auf kannelierter Säule, bezeichnet 1623",50.070378,6.186455
(bei) Hauptstraße 22,Daleiden,"Vollnischenkreuz auf kannelierter Säule, bezeichnet 1623",50.070026,6.185592
Hauptstraße 25,Daleiden,"Quereinhaus, wohl um die oder kurz nach der Mitte des 18. Jahrhunderts (bezeichnet 1787, wohl verfälscht)",50.070534,6.184443
Schulstraße 4,Daleiden,"Katholische Pfarrkirche St. Matthäus; malerischer Komplex; Saalbau, 1933, Architekten Ludwig Becker und Anton Falkowski, Mainz, unter Verwendung älterer Teile, spätestgotischer Chor, 1613 (oder 1634?), im Kern wohl romanischer Turm, oberstes Geschoss und Spitzhelm frühes 17. Jahrhundert; teilweise Ausstattung; auf dem Kirchhof: Schiefer-Grabkreuz, um 1790; Vollnischenkreuz auf kannelierter Säule, bezeichnet 1623; Kreuzigungsbildstock, bezeichnet 1782; Schiefer-Grabplatte, um 1797",50.069997,6.182197
(an) Unterstraße 1,Daleiden,"Aloysiuskapelle; historisierender Saalbau mit Dachreiter, um 1900; in der Rückwand Priestergrabstein, bezeichnet 1763",50.067678,6.184029
(an) Unterstraße 1,Daleiden,"Oberlichtportal, bezeichnet 1717",50.067678,6.184029
(zu) Weiherstraße 9,Daleiden,"ehemalige Schule; neunachsiger Walmdachbau auf hohem Bruchsteinsockel, expressionistische Motive, 1929",50.070459,6.181954
