Andreasstraße,Altrich,"neugotisches Altarkreuz, Ende des 19. Jahrhunderts",49.95856,6.910515
Andreasstraße 31,Altrich,"ehemalige Schule mit Turnhalle und Lehrerwohnhaus (?); winkelförmige Anlage, Reformarchitektur, kurz vor oder nach dem Zweiten Weltkrieg",49.956659,6.911467
(zu) Andreasstraße 55,Altrich,"Fachwerkscheune, 19. Jahrhundert",49.955216,6.908781
Andreasstraße 71,Altrich,"spätklassizistisches Wohnhaus, bezeichnet 1867",49.954869,6.907155
Borschrech 12,Altrich,"Hofanlage; repräsentativer Krüppelwalmdachbau, bezeichnet 1888, Nebengebäude mit Backhaus und Scheune oder Remise",49.958856,6.909257
Büscheid 9,Altrich,"Katholische Filialkirche St. Quirinus; dreiachsiger gotisierender Saalbau, Ende des 19. Jahrhunderts",49.961458,6.907649
Büscheider Weg,Altrich,"Wegekreuz; barockes Schaftkreuz, wohl nachträglich bezeichnet 1848",49.961238,6.910874
(bei) Büscheider Weg 2,Altrich,"Wegekreuz; Schaftkreuz, Rotsandstein, bezeichnet 1659",49.961093,6.911314
Schulstraße 1a,Altrich,"Katholische Pfarrkirche St. Andreas; fünfachsiger gotisierender Saalbau, 1873",49.957419,6.9110000
Schneitkaul,Altrich,"Altarkreuz; Altarunterbau mit Kreuzigungsbildstock, 18. Jahrhundert, Kruzifix eventuell jünger",49.95677,6.910874
(bei) Zum Brühl 7,Altrich,"Wegekreuz; Schaftkreuz, Rotsandstein, bezeichnet 1703, Abschlusskreuz bezeichnet 1866",49.956115,6.913443
"Andreasstraße 1–5, nordöstlich der Ortslage an der Straße nach Wittlich",Altrich,"Gut Kirchhof; ehemals kurfürstliches Gut; langgestreckter L-förmiger Bau (Nr. 2 und 3), kleiner kubischer Mansardwalmdachbau, Haupthaus, eingeschossiges Wirtschaftsgebäude, spätklassizistisches Wohnhaus und Fachwerkscheune, zweite Hälfte des 19. Jahrhunderts; Wegekreuz bei Gut Kirchhof; Kreuzigungsbildstock, bezeichnet 1714",49.961568,6.913228
bei Neuenhof südlich der Ortslage,Altrich,"Kapelle; Putzbau, 19. Jahrhundert (?)",49.95677,6.910874
"(gegenüber) Haardt 9, südwestlich der Ortslage bei Hof Haardt",Altrich,"Kapelle; Putzbau, wohl von 1720",49.943084,6.895675
"nördlich der Ortslage an der Straße nach Wittlich, nahe der Lieserbrücke",Altrich,"Wegekreuz; barocker Kreuzigungsbildstock, 18. Jahrhundert",52.866262,14.057547
nordöstlich der Ortslage an einem Wirtschaftsweg,Altrich,"Wegekreuz; barockes Schaftkreuz, bezeichnet 1744",49.95677,6.910874
nördlich der Ortslage im Wald,Altrich,"Villa Altrich; historistisches Wohnhaus, Fachwerk auf Quadersockel, wohl vom Ende des 19. oder aus dem 20. Jahrhundert",52.866262,14.057547
"nördlich der Ortslage im Wald, in der Nähe der Villa Altrich",Altrich,"Wegekreuz; barockes Schaftkreuz, bezeichnet 1760, angeblich 1855 erneuert",52.866262,14.057547
"östlich der Ortslage, auf einem Feld jenseits der Eisenbahnlinie",Altrich,"Wegekreuz; neugotisches Altarkreuz, Rotsandstein, Ende des 19. Jahrhunderts",48.730297,8.295717
(bei) Im Haussauer Tal 6,Arenrath,"Kreuzigungsbildstock, bezeichnet 1713","",""
"Kirchstraße, auf dem Friedhof",Arenrath,"Schaftkreuz, bezeichnet 1742; Heiligenhäuschen, Rotsandstein, 18. Jahrhundert",48.074934,8.643239
Kirchstraße 3,Arenrath,"Wohnhaus, zweite Hälfte des 19. Jahrhunderts",49.952805,6.741578
Kirchstraße 5,Arenrath,"Katholische Pfarrkirche St. Alexius; vierachsiger klassizistischer Saalbau, 1855; Kriegerdenkmal, Erster und Zweiter Weltkrieg",49.952486,6.741578
"(neben) Hof Hütt 9, in Hütt nördlich der Ortslage",Arenrath,"Kapelle; Putzbau mit Dachreiter, bezeichnet 1910",49.966366,6.745979
nordöstlich der Ortslage,Arenrath,"Oberer Hof Mellich; Hofhaus, bezeichnet 1792, Umfassungsmauern und Hofgebäude älter",49.952956,6.742126
südlich der Ortslage an der Straße nach Niersbach,Arenrath,"Wegekapelle; Putzbau, bezeichnet 1894; Kreuzigungsbildstock, Rotsandstein, bezeichnet 1695",51.9335,12.225388
Koblenzer Straße,Bausendorf,"Wegekapelle; Putzbau, 19. Jahrhundert",50.012734,6.999457
(bei) Koblenzer Straße 16,Bausendorf,"Heiligenhäuschen; rund geschlossener Mauerblock, 18. oder 19. Jahrhundert",50.012618,6.999304
Kondelstraße 1,Bausendorf,"Katholische Pfarrkirche St. Servatius; vierachsiger Saalbau, 1865",50.013828,6.996654
Wyttenbachstraße 6,Bausendorf,"Pfarrhaus; barocker Krüppelwalmdachbau, um 1800",50.014389,6.995226
Am Hohlberg 10,Bausendorf,"Fachwerkhaus, teilweise massiv, Backofenvorbau, erste Hälfte des 19. Jahrhunderts",50.019986,6.984096
Heinzerather Straße,Bausendorf,"Katholische Filialkirche; kleiner Saalbau, wohl kurz nach 1945",50.02207,6.977502
bei der Heinzerather Mühle nordwestlich des Ortes,Bausendorf,"Katholische Kirche St. Bartholomäus; gotisierender Saalbau, 17. Jahrhundert; Gesamtanlage mit umfriedetem Kirchhof und Kirchhofskreuz, bezeichnet 1657 und 1960",50.012867,6.995298
"





Bausendorf, Kondelstraße 1",Bausendorf,"Katholische Pfarrkirche St. Servatius


",50.013828,6.996654
"





Olkenbach, Heinzerather Straße",Bausendorf,"Katholische Filialkirche


",50.02207,6.977502
"





Olkenbach, bei der Heinzerather Mühle",Bausendorf,"Katholische Kirche St. Bartholomäus


",50.012867,6.995298
"Denkmalzone ehemaliges Augustiner-Chorherrenstift Springiersbach (Karmelitenstraße 2, nördlich der Ortslage)",Bengel (Mosel),"heute Karmeliterkloster

Kirche St. Abrunculus; Säulenbasen des Gründungsbaus, 1127–36, pilastergegliederter Saalbau, 1769–72;
vierflügelige Klosteranlage: Ostflügel 1680, Wiederaufbau nach Brand von 1940, Nordflügel 1720; ehemaliges Abtshaus, 1629; Rokokoportal der ehemaligen Gerberei;
Kreuzigungsbildstock, bezeichnet 1691

",50.015367,7.062231
vierflügelige Klosteranlage,Bengel (Mosel),"Ostflügel 1680, Wiederaufbau nach Brand von 1940, Nordflügel 1720; ehemaliges Abtshaus, 1629; Rokokoportal der ehemaligen Gerberei;",50.015367,7.062231
südlich von Kloster Springiersbach,Bengel (Mosel),"Springiersbacher Hof; ehemaliger Wirtschaftshof; Massivbau, später um vier Achsen erweitert",50.015367,7.062231
(bei) Moselstraße 14,Bengel (Mosel),"Schaftkreuz in spätbarocken Formen, Rotsandstein",50.015981,7.056464
Trierer Straße 2,Bengel (Mosel),"Katholische Pfarrkirche St. Quirinus; neuspätgotische Hallenkirche, 1901/02",50.0159,7.064064
(hinter) Trierer Straße 8,Bengel (Mosel),"eingeschossiges, aufwendig gestaltetes Wirtschaftsgebäude (Fabrikationshalle, Werkstatt?), Anfang des 20. Jahrhunderts",50.015639,7.06366
(bei) Zum Wiesental 22,Bengel (Mosel),"Wegekreuz; Schaftkreuz, um 1700 (?)",50.015981,7.056464
"an der B 49 (Koblenzer Straße), südöstlich von Kloster Springiersbach",Bengel (Mosel),"Springiersbacher Mühlen; nahe der Alf zwei Mühlen mit Mühlenteich und Gräben;

ehemalige Klostermühle; Krüppelwalmdachbau, bezeichnet 1731, Mühlentechnik; Sockelkreuz, Sandstein, bezeichnet 1767, Kreuz um 1850;
Ölmühle: Ende des 19. Jahrhunderts, Mühlentechnik

",52.603269,8.071731
Ölmühle,Bengel (Mosel),"Ende des 19. Jahrhunderts, Mühlentechnik",53.780809,10.313746
südlich von Kloster Springiersbach,Bengel (Mosel),"Springiersbacher Hof; ehemaliger Wirtschaftshof; Massivbau, später um vier Achsen erweitert",50.015367,7.062231
"





Trierer Straße 2",Bengel (Mosel),"Katholische Pfarrkirche St. Quirinus


",50.0159,7.064064
"





an der B 49",Bengel (Mosel),"ehemalige Klostermühle


",52.603269,8.071731
"





an der B 49",Bengel (Mosel),"Ölmühle


",52.603269,8.071731
Hauptstraße,Berglicht,"Katholische Pfarrkirche St. Maria; Westturm, Chor und Sakristei der ehemaligen Wallfahrtskirche, um 1470, einbezogen in den Neubau von 1913; Kreuzigungsgruppe, 18. Jahrhundert","",""
Hauptstraße 9,Berglicht,"klassizistisches Quereinhaus, bezeichnet 1843",49.788019,6.970576
Hauptstraße 17/19,Berglicht,"Pfarrhaus; Krüppelwalmdachbau, zweiarmige Freitreppe, angeblich von 1740",49.788537,6.969867
(bei) Am Kaisergarten 7,Bergweiler,"Wegekreuz; Schaftkreuz, bezeichnet 1671",49.969837,6.82858
Kirchstraße,Bergweiler,"Katholische Pfarrkirche St. Johannis; vierachsiger klassizistischer Saalbau, 1834; Kriegerdenkmal 1914/18; neugotisches Friedhofskreuz, bezeichnet 1853",49.965607,6.824582
Kirchstraße 2,Bergweiler,"ehemaliges Gasthaus Uschens; Quereinhaus oder Streckhof, älterer Wohnteil wohl aus dem zweiten Viertel oder der Mitte des 19. Jahrhunderts, Wohnteil mit ehemaligem Gastraum, wohl um 1900",49.965705,6.824438
Poststraße,Bergweiler,"Heiligenhäuschen; Rotsandstein, bezeichnet 1783",49.964622,6.82363
Römerstraße,Bergweiler,"barocker Kreuzigungsbildstock, 18. Jahrhundert",49.966511,6.825265
Römerstraße 3,Bergweiler,"Streckhof, bezeichnet 1839",49.967508,6.827547
Zum Werthelstein,Bergweiler,"Kreuzigungsbildstock, bezeichnet 1717",49.96359,6.821707
Zum Werthelstein 2,Bergweiler,"sogenanntes Beicher Haus; Quereinhaus, bezeichnet 1871",49.965335,6.820342
östlich der Ortslage an der Straße nach Wittlich,Bergweiler,"Wegekreuz; Säulenkreuz, Rotsandstein, bezeichnet 1818",49.998092,8.659454
östlich der Ortslage auf einer Wiese,Bergweiler,"sogenannte Fintenkapelle; Putzbau, bezeichnet 1741; bauzeitlicher Altar; Wegekreuz, barockes Schaftkreuz, Rotsandstein, 18. Jahrhundert",49.96778,6.827825
westlich der Ortslage an der Straße nach Bruch,Bergweiler,"Wegekreuz; klassizistisches Pfeilerkreuz, bezeichnet 1810",49.445299,11.009716
Boorhausstraße 1,Bernkastel-Kues,"Quereinhaus; Fachwerk des 18. Jahrhunderts, massives Erdgeschoss bezeichnet 1835, Wirtschaftsteil etwas jünger",49.909199,7.041543,
Boorhausstraße 7/8,Bernkastel-Kues,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.908909,7.042199,
Goldbachstraße 22,Bernkastel-Kues,"Hofanlage; Fachwerkhaus, teilweise massiv, 18. Jahrhundert, verputzte Fachwerkscheune",49.90935,7.041777,
Goldbachstraße 31a,Bernkastel-Kues,"Evangelische Kirche; kleiner Saalbau, 1717/19, Turm im Kern älter",49.909118,7.042397,
Goldbachstraße 32,Bernkastel-Kues,"Wohnhaus, teilweise Fachwerk, 18. Jahrhundert, massive Erneuerungen, bezeichnet 1813",49.909135,7.042612,
Denkmalzone Ortskern,Bernkastel-Kues,"ehemals ummauerter mittelalterlicher Stadtkern mit ungewöhnlich dichter historischer Substanz; bereits im 16. Jahrhundert weitgehende Überbauung der Grundstücksflächen mit in der Regel drei- und viergeschossigen Wohnhäusern mit reichen Fachwerkfassaden; davon erhalten zahlreiche des 16. und 17. Jahrhunderts, durchsetzt mit Bauten des 18. und des 19. Jahrhunderts sowie wenigen jüngeren; von der Stadtmauer außer dem Graacher Tor nur wenige Reste erhalten, dennoch zeichnet sich die Begrenzung der mittelalterlichen Stadt nach Westen, Norden und Osten deutlich ab; an der Moselfront mehrere repräsentative, zum Teil öffentliche Bauten nördlich und südlich der mittelalterlichen Stadt in die Denkmalzone einbezogen",49.914298,7.069831,
Denkmalzone Jüdischer Friedhof,Bernkastel-Kues,"mit Bruchsteinmauer mit schmiedeeisernem Tor umfriedetes Areal mit etwa 30 Grabsteinen, wohl aus dem 19. und 20. Jahrhundert",49.914298,7.069831,
Alte Römerstraße 1,Bernkastel-Kues,"viergeschossiger Fachwerkbau, ehemaliges Hallenerdgeschoss, teilweise verschiefert, bezeichnet 1588",49.915917,7.076056,
