Denkmalzone Altstadt,Koblenz,"Kernstadt innerhalb des ehemaligen Areals des spätantik-frühmittelalterlichen Kastells (heute innerhalb von Altmeier-Ufer, Kornpfortstraße, Entenpfuhl, Am Plan, Altengraben, An der Moselbrücke); neben römischen Spuren viele Spuren mittelalterlicher Substanz; das Altstadtbild geprägt durch zahlreiche Bauten des 18. Jahrhunderts (oft aufgestockt im 19. Jahrhundert); Zentren die in die Antike zurückreichenden Kirchen Liebfrauen und St. Florin einschließlich deren Umfeld mit platzbildprägenden Bauten (Bürresheim Hof, 1659/60, Altes Kauf- und Tanzhaus, 1419–25, 1724 umgebaut, Schöffenhaus 1528–30); sogenannter Plan mit Stadtkommandantur (1719–22) und städtischer Schule (1776); Münzplatz mit Metternicher Hof (1674 mit älteren Teilen) und ehemaligem Münzmeisterhaus (1763), nordseitige Wohn- und Geschäftshausbebauung 1919–21 des Koblenzer Architekten Conrad Reich; ehemalige kurfürstliche Burg (im Kern um 1277) und mittelalterliche Balduinbrücke",50.360794,7.592767
Denkmalzone Kaiserin-Augusta-Anlagen,Koblenz,siehe Liste der Kulturdenkmäler in Koblenz-Süd,50.360794,7.592767
"Denkmalzone „Vier Türme“ (Am Plan 2, Löhrstraße 2, Marktstraße 1 und 2)",Koblenz,"drei- und viergeschossige Wohn- und Geschäftshäuser mit aufwändigen Eckerkern über tonnengewölbten Bruchsteinkellern, Ende des 17. Jahrhunderts, Architekt wohl Johann Christoph Sebastiani",50.360794,7.592767
Stadtbefestigung,Koblenz,"
Römermauer (Ende des 3. Jahrhunderts); Spuren im Straßenverlauf von der Moselbrücke über den Altengraben, Am Plan, Entenpfuhl, Kornpfortstraße zurück zur Mosel; in der hügelartigen Erhebung des von diesen Straßen umgriffenen Geländes und in der Anpassung von Straßenzügen und Parzellengrenzen an den Verlauf der römischen Ummauerung; erhaltene Teile der Nordmauer unter Burgstraße 3/5/7 (Tiefgarage) sowie Rudimente von Rundtürmen, im Keller der Burg (Burgstraße 1) Reste der Nord- und Westmauer, (Burgstraße 2) Reste der Westmauer, am südlichen Ende von Altenhof 5 Reste von Turm 7, im Bereich der Marktstraße Teile der Befestigung der Südflanke, unter St. Michaelskapelle Teile von Turm 10, unter der Kornpfortstraße (Tiefgarage) Reste von Turm 15 und Maueranschluss, in den Ecktürmen des Pfarrhofs von Liebfrauen (Florinspfaffengasse 14) Reste von Turm 16 und 17, unter dem Chor von St. Florin Turm 18, im Kreuzgarten von St. Florin Turm 19
mittelalterliche Stadtmauer; 1242–59 unter Erzbischof Arnold II. von Isenburg neu befestigt, Fortsetzung seit 1276 unter Erzbischof Heinrich II. von Finstingen; erhaltene Teile in der Schanzenpforte (Rückseiten der Häuser 3-35, ungerade Nummern), Kleinschmittsgäßchen (Rückseiten der Häuser 55-65, ungerade Nummern), Löhrstraße 71 (Rückseite), am ehemaligen Moseleck an der Spitze der Bastion in den unteren Steinlagen, zwischen dem ehemaligen Alten Kaufhaus und Balduinbrücke; Häuser Burgstraße 1, 3, 5 moselseitig auf der Stadtmauer; zwei halbrunde Türme bei Schanzenpforte 15 und 35, zum Wohnhaus umgebauter Turm in Kleinschmittsgäßchen 67; bei der Balduinbrücke halbrunder staufischer Mauerturm (An der Moselbrücke ohne Nummer)
barocke Stadtmauer; Bastionierung im 17. und 18. Jahrhundert, barocke Neubefestigung mit Doppelwallanlage und Graben, ab 1655 durch Festungsbaumeister Johann Lollio, genannt Saddeler, Erweiterung 1734/35, Architekt Balthasar Neumann; erhaltene Mauerteile mit Kordonabschluss an der Mosel zwischen Kaufhaus und Paradies sowie jenseits der Moseleisenbahnbrücke bis zum Ende der Halbbastion, zwei Wappensteine des Erzbischofs Karl Kaspar von der Leyen, um 1660 und bezeichnet 1671, Wappenstein (beschädigt) des Kurfürsten Johann VIII. Hugo von Orsbeck als Spolie an Anwesen Neustadt 2
preußische Befestigung; längstes erhaltenes Teilstück (sogenannte Schlossmauer) der nach 1890 auf Schartenhöhe abgetragenen rheinseitigen krenelierten Kehlbefestigung vom Deutschen Eck bis zum Schloss, mit drei nachträglichen Durchgängen in Schlosshöhe: ein Tor mit schmiedeeisernen Türflügeln des 19. Jahrhunderts sowie zwei Mauerdurchbrüchen (2009) zur Begehung der östlichen Schlossanlagen im Zuge der Bauarbeiten zur Bundesgartenschau 2011

",50.360794,7.592767
"preußische Befestigung; längstes erhaltenes Teilstück (sogenannte Schlossmauer) der nach 1890 auf Schartenhöhe abgetragenen rheinseitigen krenelierten Kehlbefestigung vom Deutschen Eck bis zum Schloss, mit drei nachträglichen Durchgängen in Schlosshöhe",Koblenz,ein Tor mit schmiedeeisernen Türflügeln des 19. Jahrhunderts sowie zwei Mauerdurchbrüchen (2009) zur Begehung der östlichen Schlossanlagen im Zuge der Bauarbeiten zur Bundesgartenschau 2011,"",""
Altengraben 13,Koblenz,"viergeschossiges barockes Zeilenwohn- und Geschäftshaus, drittes Obergeschoss aus dem 19. Jahrhundert; wohl vorbarocker Bruchsteinkeller",50.360835,7.593306
Altengraben 13a,Koblenz,"dreigeschossiges Wohnhaus, Torfahrt, bezeichnet 1749",50.360794,7.593351
Altengraben 17,Koblenz,"dreigeschossiges spätbarockes Zeilenwohn- und Geschäftshaus, spätes 18. Jahrhundert, Erweiterung 1890/91, Fassade 1921 überformt",50.360679,7.593567
Altengraben 25,Koblenz,"dreigeschossiges Zeilenwohn- und Geschäftshaus, Renaissancetradition, wohl um 1700; wohl vorbarocker Bruchsteinkeller",50.36053,7.593935
Altengraben 50,Koblenz,"viergeschossiges Zeilenwohn- und Geschäftshaus, im Kern barock, Umbau und Jugendstil-Überformung bezeichnet 1907",50.360427,7.593917
