Hauptstraße 11,Alterkülz,"Evangelisches Pfarrhaus; Krüppelwalmdachbau, teilweise verschiefertes Fachwerk, bezeichnet 1786",50.028558,7.469276
Hauptstraße 12,Alterkülz,"Evangelische Kirche; bipolarer Saalbau, bezeichnet 1759, mit Kanzel von 1760 und Orgel von Heinrich Ernst Stumm aus Kastellaun von 1779[1]; bauliche Gesamtanlage mit dem Friedhof",50.028615,7.469779
Hauptstraße 28,Alterkülz,"abgewalmter Mansarddachbau, teilweise verschiefertes Fachwerk, bezeichnet 1816, Scheune; bauliche Gesamtanlage",50.030328,7.466994
Hauptstraße 30,Alterkülz,"abgewalmter Mansarddachbau, teilweise verschiefertes Fachwerk, bezeichnet 1811, Scheune; bauliche Gesamtanlage",50.030485,7.466788
Hauptstraße 31,Alterkülz,"Hofanlage; Fachwerkhaus, teilweise massiv, abgewalmtes Mansarddach, um 1900, Fachwerkscheune",50.029877,7.467336
Hauptstraße 46,Alterkülz,"abgewalmter Mansarddachbau, teilweise verschiefertes Fachwerk, Anfang des 19. Jahrhunderts, Scheune, teilweise Fachwerk; bauliche Gesamtanlage",50.031896,7.464263
(bei) Hauptstraße 48,Alterkülz,"Kriegerdenkmal 1914/18; Anlage mit Reliefplatte, Sandstein, 1926",50.032226,7.46394
Hauptstraße 79,Alterkülz,"Katholische Kapelle St. Josef; Schieferbruchsteinsaal, 1920/21, Architekt Marx, Trier; bauliche Gesamtanlage mit dem Friedhof",50.033326,7.459574
Hauptstraße 105,Alterkülz,"abgewalmter Mansarddachbau, teilweise verschiefert, Heimatstil, 1922",50.033939,7.454346
"





Hauptstraße 12",Alterkülz,"Evangelische Kirche


",50.028615,7.469779
"





Hauptstraße 31",Alterkülz,"Hofanlage


",50.029877,7.467336
"





(bei) Hauptstraße 48",Alterkülz,"Kriegerdenkmal 1914/18


",50.032226,7.46394
↑ Dieter Diether,Alterkülz,"Die Gotteshäuser im Evangelischen Kirchenkreis Simmern-Trarbach, Argenthal 1998, S. 13.",50.031989,7.463832
Hauptstraße 1,Altweidelbach,"Krüppelwalmdachbau, teilweise verschiefertes Fachwerk, um 1800",49.995005,7.567435
"Hauptstraße, Ecke Heider Weg",Altweidelbach,"Brunnenbecken, Gusseisen, Stromberger Hütte, bezeichnet 1885",49.996198,7.566411
"Hauptstraße, Ecke Lindenweg",Altweidelbach,"Evangelische Kirche; barocker Saalbau, bezeichnet 1761",49.996198,7.566411
"an der K 53, südöstlich des Ortes",Altweidelbach,"Wasserbehälter; Rundbau mit Kuppelhelm, bezeichnet 1913",49.160943,11.261586
nördlich des Ortes,Altweidelbach,"Hammesmühle (Eselsmühle); Fachwerkhaus, Krüppelwalmdach, bezeichnet 1824, Fachwerkscheune; bauliche Gesamtanlage",49.994536,7.567435
