Feldstraße 4,Allendorf (Rhein-Lahn-Kreis),"Fachwerkhaus einer Hofanlage, verputzt und verkleidet, wohl aus dem 17. oder 18. Jahrhundert",50.268236,7.997809
(bei) Hauptstraße 44,Allendorf (Rhein-Lahn-Kreis),"gusseiserner Pumpbrunnen, angeblich von 1858",50.267994,7.997917
Holzappeler Straße 1,Altendiez,"Rathaus mit ehemaligem Feuerspritzentor; Rundbogenstil, zweite Hälfte des 19. Jahrhunderts",50.370126,7.982582
(bei) Holzappeler Straße 1,Altendiez,Kriegerdenkmal 1870/71,50.370126,7.982582
Holzappeler Straße 6,Altendiez,"Mansarddachbau, teilweise verputzt, verschiefert und mit Fachwerk, 18. Jahrhundert",50.370195,7.981873
Karlstraße 1,Altendiez,"stattliches Fachwerkhaus, verputzt und verkleidet, Mansarddach, bezeichnet 1734",50.369718,7.981522
Karlstraße 3,Altendiez,"Hofanlage; Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Fachwerkscheune, teilweise massiv, 18. Jahrhundert, Stall, um 1900",50.369557,7.981576
Karlstraße 8,Altendiez,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.369367,7.981783
bei der südlichen Gemarkungsgrenze,Altendiez,Tunnelportal der Lahnbahn,50.370689,7.983256
Am Rathaus 2,Arzbach,"ehemaliges Gemeindehaus; stattlicher Fachwerkbau, teilweise massiv, bezeichnet 1710",50.378956,7.74779
Hauptstraße 26,Arzbach,"Fachwerkhaus mit Niederlass, teilweise massiv, um 1700",47.648594,15.574945
Kirchstraße,Arzbach,"Wegekapelle; Putzbau, Nische mit Pietà",50.376043,7.74567
Kirchstraße 19,Arzbach,"Katholische Pfarrkirche St. Peter und Paul; Saalbau, 1751–53, 1860 kreuzförmig erweitert, 1960–63 umgestaltet; etwa 20 Grabkreuze, zwischen 1598 und 1751",50.375049,7.744628
Am Bierhaus 5,Arzbach,"sogenanntes Kloster; fünfachsiger Bruchsteinbau über hohem Kellersockel, Mittelrisalit, um 1860",50.373355,7.740909
(zwischen) Ortsstraße 5 und 7,Attenhausen,"Fachwerkhaus, teilweise massiv und verkleidet, 18. und 19. Jahrhundert",50.293218,7.877318
Ortsstraße 12,Attenhausen,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.29338,7.875359
Hauptstraße,Auel,"Katholische Filialkirche St. Maria; Saalbau, um 1760 mit älteren Teilen; auf dem Kirchhof Grabkreuze des 17. bis 19. Jahrhunderts, barocker Bildstock, bezeichnet 1730",50.17128,7.767454
Hauptstraße 2,Auel,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.930927,7.283945
Hauptstraße 6,Auel,"Fachwerkhaus, teilweise verputzt, 18. Jahrhundert, Fachwerkscheune aus dem 19. Jahrhundert",50.931007,7.284439
Hauptstraße 12,Auel,"Hofanlage; Fachwerkhaus, 18. Jahrhundert, Kniestock aus dem 19. Jahrhundert, Stallscheune, Fachwerkscheune und Remise, 19. Jahrhundert",50.931114,7.285157
Kaiserstraße 1,Auel,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.170466,7.765792
Kaiserstraße 4/6,Auel,"verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert",50.170547,7.765909
Kirchgasse 16,Auel,"Fachwerkhaus, transloziert",50.172526,7.766618
Kirchgasse 20,Auel,"Fachwerkhaus, teilweise massiv, wohl vom Ende des 17. Jahrhunderts; transloziert von Cramberg, Eckerstraße 10",50.172664,7.767068
Rheinstraße 1,Auel,"ehemaliges Rat- und Backhaus; kleiner Fachwerkbau, teilweise massiv, 18. Jahrhundert",50.170876,7.765388
(bei) Rheinstraße 1,Auel,"gusseiserner Pumpbrunnen, zweite Hälfte des 19. Jahrhunderts",50.170876,7.765388
südwestlich der Ortslage im Tal des Bogeler Bachs,Auel,"ehemalige Mühle Schonebeck; stattlicher Putzfachwerkbau, um 1800",51.165109,14.421293
Mühlstraße 1,Aull,"sogenannte Alte Burg; ursprünglich hochmittelalterliche Wasserburg; spätmittelalterlicher Fachwerkbau, teilweise massiv, Krüppelwalmdach, dendrodatiert auf 1463, Anbauten aus der Mitte des 16. und dem 17. Jahrhundert",50.387158,8.002839
Mühlstraße 2,Aull,"ehemaliges Mühlengebäude; verputzter Fachwerkbau, Halbwalmdach, angeblich von 1832/33",50.387336,8.001312
"Denkmalzone Badhausstraße 1–5, Mainzer Straße 7–16, Bahnhofstraße 1–8 und Alexanderstraße 1–5",Bad Ems,"von Mainzer-, Badhaus-, Alexander- und Bahnhofstraße begrenzter Bereich, der in den späten 1820/40er Jahren erschlossen und nach städtebaulichem Konzept der nassauischen Regierung geplant und mit klassizistischen Wohnhäusern bebaut wurde; zugehörig die Grün- und Freiflächen","",""
"Denkmalzone Braubacher Straße 1–9 (alle Nummern), 52–56 (alle Nummern) und 58, Malbergstraße 2 und Wintersbergstraße 1, 2 und 3",Bad Ems,"kurz nach Mitte des 19. Jahrhunderts errichtete Wohnhäuser mit aufwändiger Fassadengliederung (Bauornamente aus Stein oder Stuck, guss- und schmiedeeiserne Balkone und Brüstungsgitter, Sprossenfenster, Klappläden, historische Haustüren etc.) und von städtebaulicher Geschlossenheit","",""
Denkmalzone Grabenstraße 10–26 und 30–32 (gerade Nummern),Bad Ems,"geschlossene, das Straßenbild prägende Blockbebauung, größtenteils klassizistische Häusergruppe, erste Hälfte des 19. Jahrhunderts","",""
Denkmalzone Jüdischer Friedhof (Am Friedhof),Bad Ems,"zwei Gräberfelder auf dem Gelände des christlichen Friedhofs, etwa 200 Grabsteine, frühes 19. Jahrhundert bis 1960",50.335008,7.711408
"Denkmalzone Kirchplatz (Kirchgasse 15–25, 29, Fronhof 1–5, 9, 10, Marktstraße 57–6)",Bad Ems,"über dem Gelände eines römischen Kastells gelegene Platzanlage, gekennzeichnet durch das große ehemalige Friedhofsareal sowie Wohnhäuser des 18. und 19. Jahrhunderts von eher ländlichem Charakter (alter Ortskern)",50.335008,7.711408
"Denkmalzone Kurviertel (Römerstraße 1–56 und 92–97 (jeweils alle Nummern), Kurpark, anschließender östlicher Abschnitt der Viktoriaallee, katholische Pfarrkirche St. Martin, gesamte Nordseite der Viktoriaallee (außer Nr. 15, von Nr. 12 nur das straßenseitige Grundstück), Oranienweg 1)",Bad Ems,"auf der rechten Seite der Lahn gelegener Bereich des Bades mit den historischen Kurgebäuden und dem Kurpark sowie die vor allem durch Bauten des 19. Jahrhunderts geprägte Front der Römerstraße einschließlich der drei Laufbrunnen, Kaiser-Wilhelm-Denkmal, Pavillon über Römerquelle und Ehrenmal an der Rathausstraße ( Bild) sowie der östliche Abschnitt der Viktoriaallee einschließlich der katholischen Pfarrkirche St. Martin und der gesamten Nordseite der Viktoriaallee einschließlich Oranienweg 1","",""
Denkmalzone Lahnstraße 3–18 und 20–38 (alle Nummern),Bad Ems,"das Straßenbild kennzeichnende Wohnhäuser sowie Darmstädter Hof (Nr. 3/4) von 1815–18 (Nr. 3) und 1878 (Nr. 4) mit elfachsiger spätklassizistischer Fassade und der ehemaligen Thurn- und Taxis’schen Posthalterei (Alte Post, Nr. 9) von 1694","",""
denkmalzone Malbergbahn (Villenpromenade),Bad Ems,"Gesamtanlage mit Talstation der Standseilbahn, 1886/87, Bahnstrecke und Bergstation",50.335008,7.711408
"Denkmalzone Römerstraße 95, 96, Viktoriaallee 3",Bad Ems,"zwei siebenachsige klassizistische Wohn- und Logierhäuser, Nr. 95 ehemals Zu den drei Schweizern (Bild), 1836/37, Architekt Bauaccessist Lossen, Nr. 96, ehemals Haus Nizza, 1835/36, wohl ebenfalls von Lossen, rückwärtig gelegen (Viktoriaallee 3) zweigeschossiges Gartenhaus, zweite Hälfte des 19. Jahrhunderts","",""
Denkmalzone Siedlung Am Martinshof (Am Martinshof 1–6 und Wilhelmsallee 51 und 52),Bad Ems,wohl um 1920/30 in Zusammenhang mit den Emser Blei- und Zinkwerken errichtete Wohnsiedlung aus acht Walmdachbauten sowie Begrenzungsmauer an der Wilhelmsallee mit Darstellung des heiligen Martin,"",""
"Am Friedhof, auf dem Friedhof",Bad Ems,"Kriegerdenkmal 1870/71, Obelisk; Familiengräber mit aufwendigen Grabdenkmälern, 19. Jahrhundert; schmiedeeisernes Geländer zur Begrenzung der Terrassen, um 1910",50.339119,7.71377
Am Quellenturm 3,Bad Ems,"dreigeschossige spätklassizistische Mietetagenvilla, um 1870 Bild",50.327999,7.728844
Am Quellenturm 4,Bad Ems,"Villa Nova; dreigeschossiger kubischer Putzbau, turmartige Eckrisalite, Neurenaissance, 1869/70 Bild",50.327999,7.728844
Am Quellenturm 5,Bad Ems,"Villa Kerstin, ehemals Villa Nova II; dreieinhalbgeschossiger Putzbau, Neurenaissance, um 1870/80",50.327999,7.728844
Arzbacher Straße 57,Bad Ems,ehemaliges Zechenhaus; dreigeschossiger Massivbau,50.342505,7.718226
(gegenüber) Arzbacher Straße 57,Bad Ems,"Mundloch des Neuhoffnungsstollens; Quadermauerwerk mit Backsteinrahmung, bezeichnet 1917",50.342505,7.718226
Badhausstraße,Bad Ems,"Straßen- und separate Fußgängerunterführung der Gleisanlagen; Naturstein, spätwilhelminischer Monumentalstil Bild;Bild",50.329063,7.72738
Badhausstraße 2,Bad Ems,"ehemaliges Haus Stadt London; viergeschossiges, sechsachsiges Zeilenwohnhaus, spätklassizistisch, um 1840/50",50.327999,7.728844
Badhausstraße 3,Bad Ems,"Haus Belle Vue; Wohnhaus, die beiden unteren Geschosse aus der zweiten Hälfte des 19. Jahrhunderts, die beiden oberen aus der Nachkriegszeit, Erdgeschoss genutet, im ersten Obergeschoss Balkone mit schmiedeeisernen Geländern",50.327999,7.728844
Badhausstraße 6,Bad Ems,"Staatliches Kurmittelhaus, ehemaliges Neues Badehaus; klassizistische Vierflügelanlage, turmartige Eckrisalite, 1852 ff. Bild",50.327999,7.728844
Bahnhofsplatz 1,Bad Ems,"Bahnhof Bad Ems, Empfangsgebäude; eingeschossiger spätklassizistischer Putzbau, zweieinhalbgeschossige Eckbauten, 1865; nordwestlich Fußgängerunterführung, Anfang des 20. Jahrhunderts",50.327999,7.728844
Bahnhofstraße 1,Bad Ems,"dreizehnachsiges, viergeschossiges Wohnhaus, spätklassizistisch, um 1860/70",50.327999,7.728844
Bahnhofstraße 2,Bad Ems,"siebenachsiges, dreieinhalbgeschossiges Zeilenwohn- und Geschäftshaus, spätklassizistisch, um 1860/70",50.327999,7.728844
Bahnhofstraße 4,Bad Ems,"Wohn- und Geschäftshaus; dreigeschossiger, traufständiger Putzbau in Neurenaissanceformen, ursprünglicher Ladeneinbau, ursprünglicher Fliesenbelag im Flur, zweite Hälfte des 19. Jahrhunderts",50.327999,7.728844
Bahnhofstraße 9,Bad Ems,"Wohn- und Geschäftshaus an der Ecke zur Mainzer Straße; dreigeschossiger Putzbau, die Ecke markant als Turm ausgebildet mit einem vierten polygonalen Geschoss und geschwungener Schieferhaube, Fassade aus dem frühen 20. Jahrhundert Bild",50.327999,7.728844
Bahnhofstraße 11,Bad Ems,"viergeschossiges barockisierendes Wohn- und Geschäftshaus, um 1900",50.327999,7.728844
Bahnhofstraße 12,Bad Ems,"ehemaliges Hotel Guttenberg; dreigeschossiger neubarocker Bau, 1900/01 Bild",50.327999,7.728844
Bleichstraße 3,Bad Ems,"Eckhaus zur Römerstraße; zweigeschossiger spätklassizistischer Putzbau mit Kantenpfeilern und genutetem Erdgeschoss, im Giebelfeld zur Römerstraße Tondo, um 1840",50.335169,7.714911
Bleichstraße 45,Bad Ems,"ehemalige Mühle; Krüppelwalmdachbau, Putzdekoration aus dem frühen 20. Jahrhundert, im Kern älter",50.337527,7.714597
Braubacher Straße,Bad Ems,"Straßen- und separate Fußgängerunterführung der Gleisanlagen; Naturstein, spätwilhelminischer Monumentalstil",50.325722,7.724784
Braubacher Straße 1,Bad Ems,"Haus Rheinstein; ehemals privates Hotel; stattlicher dreigeschossiger Putzbau, spätklassizistisch, 1865/66 Bild",50.327619,7.727919
Braubacher Straße 9,Bad Ems,"Haus Concordia; dreigeschossiger Baukörper, hölzernes Konsoltraufgesims, 1856/57",50.326757,7.727048
Braubacher Straße 48,Bad Ems,"Haus Gastein, ehemaliges Kurlogierhaus; villenartiger spätklassizistischer Bau, 1869, um eine Achse erweitert",50.326418,7.726796
Carl-Heyer-Straße 2,Bad Ems,"ehemaliger Schlachthof, 1904; eingeschossige Schlachthallen, zentraler Wasserturm, Verwaltungsgebäude, Freibank, drei (Stall)-Gebäude, Umfassungsmauer und Fassaden mit gelben Klinkern verblendet, Gliederungselemente in rotem Klinker",50.33502,7.706907
(hinter) Ernst-Born-Straße 6,Bad Ems,"ehemalige Elektrizitätszentrale des Emser Blei- und Silberwerks; eingeschossige Backsteinhalle, 1903",50.331346,7.706539
Fronhof 1,Bad Ems,"traufständiger Putzbau zu zwei Geschossen mit Kniestock, im Kern aus dem 18. Jh, der Kniestock aus der Mitte des 19. Jahrhunderts, Fassade aus dem frühen 20. Jh",50.336589,7.71263
Fronhof 4,Bad Ems,"kleines Fachwerkhaus, teilweise massiv, angeblich von 1724, florale Gefachbemalung 1924",50.336566,7.712926
Grabenstraße 1,Bad Ems,"ehemaliges Haus Sonne; 1682 erwähnt, 1819 umgebaut; siebenachsiger Krüppelwalmdachbau, teilweise mit Zierfachwerk",50.327999,7.728844
Kirchgasse 15,Bad Ems,"eingeschossiger giebelständiger Bau aus verputztem Fachwerk, schiefergedeckt, spätes 17. Jahrhundert",50.335848,7.713276
Kirchgasse 16,Bad Ems,"eingeschossiger giebelständiger Bau aus verputztem Fachwerk, schiefergedeckt, spätes 17. oder frühes 18. Jahrhundert",50.335865,7.713178
Kirchgasse 17,Bad Ems,"Evangelische Pfarrkirche St. Martin; querhauslose Pfeilerbasilika, wohl aus der Mitte oder dem dritten Viertel des 12. Jahrhunderts, Westturm mit spätbarocker Haube; südlich des Chors etwa 20 Grabsteine, 16. bis 20. Jahrhundert; Einfriedung, 19. Jahrhundert; Gemeindesaal mit bewegter Dachlandschaft, um 1910",50.336118,7.712944
Kirchgasse 30,Bad Ems,"Evangelisches Pfarrhaus; spätklassizistischer Putzbau, Giebelrisalit, 1871/72, 1896 oder 1901/02 verlängert, Erdgeschoss um 1925 teilweise verändert",50.335629,7.713636
Koblenzer Straße 22,Bad Ems,"Fachwerkhaus, teilweise massiv, 17. Jahrhundert",50.33828,7.691384
Lahnstraße 3/4,Bad Ems,"Darmstädter Hof; viergeschossiger Bau, teilweise Fachwerk, zwischen 1815 und 1818, Fassade 1878 spätklassizistisch überformt, gleichzeitig Nr. 4 errichtet, ab 1889 mit Nr. 3 zusammengeschlossen",50.319056,7.736695
Lahnstraße 9,Bad Ems,"ehemalige Thurn- und Taxis’sche Posthalterei (Alte Post); dreigeschossiger, fünfachsiger Bau, bezeichnet 1694, wohl vor 1800 erweitert, 1840 erhöht, Fachwerkgeschoss und Mansarddach 1906 Bild",50.319056,7.736695
Lahnstraße 67,Bad Ems,"kleine Villa; werksteingegliederter Putzbau, Fachwerkflächen, frühes 20. Jahrhundert",50.319056,7.736695
Lahnstraße 75,Bad Ems,"kleine Villa; backsteingegliederter Putzbau, teilweise holzverkleidet, frühes 20. Jahrhundert",50.319056,7.736695
(hinter) Ludwigstraße 2,Bad Ems,"Mundloch des Stadtstollens, wohl um 1910/20",50.335968,7.714579
Mainzer Straße,Bad Ems,"Bohrturm mit Pumpenanlage, 1909, Bild",50.328764,7.72968
Mainzer Straße 1,Bad Ems,"Mainzer Haus, ehemaliges Badehaus; dreigeschossiger Massivbau, 1694, im 19. Jahrhundert verändert",50.327826,7.730443
(gegenüber) Mainzer Straße 1,Bad Ems,"Marmorwanne, wohl aus dem 19. Jahrhundert",50.327826,7.730443
Mainzer Straße 2,Bad Ems,"dreigeschossiger klassizistischer Zweiflügelbau, 1839/40",50.328039,7.73021
Mainzer Straße 14,Bad Ems,"Haus Panorama, heute Statistisches Landesamt; Fassadenkopie vor Neubau",50.329345,7.72853
Malbergstraße 5,Bad Ems,"Evangelische Kaiser-Wilhelm-Kirche; neuspätromanischer kreuzförmiger Tuffsteinsaal, 1879–99",50.327999,7.728844
