Denkmalzone Alter Jüdischer Friedhof (Weidegasse/Gilbertstraße),Trier,"um die Mitte des 17. Jahrhunderts angelegt, Mitte und Ende des 19. Jahrhunderts erweitert, Umfassungsmauer ab 1827, Belegung bis 1920; 547 Grabstellen erkennbar, 446 davon mit Grabsteinen oder Resten von Grabsteinen, ältester von 1686",49.757336,6.636196
Denkmalzone Augustastraße 2–8,Trier,"drei Doppelwohnhäuser und eine Villa (Nr. 8), Putzbauten mit großen Zwerchgiebeln im Stil des malerischen Historismus in Vorgärten mit schmiedeeisernen Gitterzäunen, 1902–06","",""
Denkmalzone Bergstraße 16a–20,Trier,"sieben Halb- und Reihenvillen, 1912/13 (Nr. 20 bereits 1907); Fassaden in schlichter Reformarchitektur, nur an Nr. 20 Anklänge an den englischen Landhausstil","",""
"Denkmalzone Bollwerkstraße 2, 2a, 3, 4",Trier,"halboffene Blockrandbebauung mit dreigeschossigen Mietshäusern mit historisierenden Fassaden (Nr. 4 1869/70, Nr. 2/2a Doppelhaus, 1899, Nr. 3 um 1901)","",""
Denkmalzone Brotstraße 25–27,Trier,"geschlossene straßenbildprägende Eckbebauung zur Jesuitenstraße, dreigeschossige Häuser, Mitte des 17. Jahrhunderts bis 1880er Jahre, im Kern 17. und frühes 18. Jahrhundert; Nr. 25 über tonnengewölbtem Keller, wohl frühes 18. Jahrhundert, und Dreifensterhaus, nach 1867; Nr. 26 im Kern wohl aus dem 17. Jahrhundert, Fassade 1854, Architekt J. Weis, Ladenfront um 1900 umgebaut; Nr. 27 wohl frühe 1880er Jahre","",""
"Denkmalzone Bruchhausenstraße 2–8, 10–19",Trier,"1902–14 erfolgte Bebauung der neu angelegten Straße mit zwei- bis viergeschossigen Wohn- und Geschäftshäusern, Fassaden in allen Stilvarianten des frühen 20. Jahrhunderts","",""
"Denkmalzone Christophstraße 8–27, Kochstraße 13",Trier,"repräsentative Zeilenwohnhäuser am Alleenring, geschlossen und lückenlos erhalten, 1892 bis 1912, Nr. 5–20 sandsteingegliederte Klinkerbauten, Neurenaissance, Nr. 21–26 Klinker- und sandsteingegliederte Putzbauten, neugotische, Neurenaissance- und neubarocke Motive, Nr. 27 Eckhaus, Kochstraße 13 Reichsbankfiliale, Nr. 8–12 zwei- bis dreigeschossige halbvillenartige Zeilenwohnhäuser am Übergang vom Späthistorismus zur Reformarchitektur","",""
Denkmalzone Dombezirk,Trier,"ehemalige Domimmunität innerhalb der Domberingmauer um Dom und Liebfrauenkirche, das mittelalterliche Straßensystem erhalten, mit ehemaliger Bischofspfalz und Kurienberingen sowie Hofanlagen der Domkanoniker",49.757336,6.636196
"Denkmalzone Eberhardstraße 1–57 (ungerade Nummern), 2–48 (gerade Nummern), Gilbertstraße 16, 17, 18, Nikolausstraße 34, Südallee 30, 31, 32, Weidegasse 1, 3, 5, 7, 9",Trier,Die Denkmalzone zeigt die Entwicklung des Städtebaus innerhalb von 30 Jahren vom klassizierenden Historismus mit orthogonal verlaufenden Straßen über den ausgeprägten romantischen Historismus mit der gebogenen Straßenführung bis zu den Genossenschaftsbauten aus der Zeit des Ersten Weltkrieges und der zwanziger Jahre im Heimatstil; ebenfalls zugehörig Eberhardstraße 15 in expressionistischen Formen,"",""
"Denkmalzone Fleischstraße 33–37, 40–45, Metzelstraße 19, Nagelstraße 2, 3, 28–32",Trier,"Wohn- und Geschäftshäuser, vorwiegend vom zweiten Viertel des 19. Jahrhunderts bis 1914; die klassizistischen Bauten zweigeschossig, die 1900–09 errichteten dreieinhalb- bis viergeschossige großbürgerliche Häuser, die in der Nagelstraße im ausgehenden 19. und beginnenden 20. Jahrhundert errichteten Bauten späthistoristisch; Fleischstraße 45 und Nagelstraße 31: Jugendstilbauten, Fleischstraße 42/43 und 37 mit Jugendstilmotiven; Fleischstraße 37, Nagelstraße 2, Fleischstraße 34–36: Eisenbeton-Konstruktionen und Massiv- und Eisenbeton-Bauten, letztere Reformarchitektur","",""
"Denkmalzone Franz-Georg-Straße 115, 117, Schinkelstraße 1, 2, 3 und Dr. Altmann-Straße 1–6",Trier,"elf Häuser einer Gruppe von zwölf mit Drei-Zimmer-Wohnungen für Unteroffiziere der französischen Besatzungsarmee; gleichartig gestaltete Mansardwalmdachbauten, neubarocke Motive, 1922","",""
"Denkmalzone ehemalige Gneisenaukaserne (Gneisenaustraße 30, 31, 33/34/35/36/37, 37a, 38/39/40, 41/43, Eurener Straße 6/8, Trierweilerweg 13a/13b/13c, 13d/13e/13f, 49/49a/49b, 51/51a/51b)",Trier,"von ehemals 15 Gebäuden die meisten erhalten: sechs Mannschaftsgebäude, die beiden Exerzierhäuser, Kammer- und Küchengebäude, Eingangs- und Kommandogebäude und Offizierscasino: Putzbauten, Neurenaissancemotive, Mannschaftsunterkünfte mit Eckrisaliten, 1899/1900",49.757336,6.636196
