Quereinhaus,Gartenstraße 2,Ailertchen,1675!Ende des 17. Jahrhunderts,"Fachwerk-Quereinhaus, Ende des 17. Jahrhunderts, Wirtschaftsteil 18. Jahrhundert",Kein Bild vorhanden,50.599341,7.940191
Zisterne,"Hauptstraße, bei Nr. 14",Ailertchen,1775!spätes 18. Jahrhundert,"Zisterne; Brunnendurchmesser ca. 1–1,50 m, Bruchstein, spätes 18. Jahrhundert",Kein Bild vorhanden,50.598547,7.941264
Wegekreuz,südwestlich des Ortes an der B 255,Ailertchen,1868,"Steinkreuz, wohl von 1868",Kein Bild vorhanden,50.59326,7.928311
Evangelische Pfarrkirche,"Alpenrod, Mittelstraße/Am Kirchplatz",Alpenrod,1843!1843/44,"Saalbau, 1843/44, im Kern mittelalterlicher Westturm",Kein Bild vorhanden,50.63185,7.868893
Haus Alpenrod,"Alpenrod, nördlich des Ortes",Alpenrod,1909,"villenartiges Hauptgebäude, 1909 als Jagdhaus errichtet, mit bauzeitlicher und wenig jüngerer Ausstattung, 1934 großer Terrassenanbau; Gesamtanlage mit Verwalterhaus, einem Ziegelbau mit Fachwerk, und Nebengebäuden, alle von 1919, sowie kastaniengesäumter Auffahrtsallee",Kein Bild vorhanden,50.642421,7.862801
Gemeindebackhaus,"Dehlingen, Kirchweg, bei Nr. 13",Alpenrod,1800!erste Hälfte des 19. Jahrhunderts,"Bruchsteinbau, teilweise Fachwerk mit Ziegelausfachung, wohl aus der ersten Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.644185,7.874358
Brunnen,"Dehlingen, Kirchweg, bei Nr. 13",Alpenrod,1881,"gusseisernes Becken eines Laufbrunnens, bezeichnet 1881",Kein Bild vorhanden,50.644112,7.87434
Quereinhaus,"Hirtscheid, Büdinger Straße 13",Alpenrod,1700!18. Jahrhundert,"Fachwerk-Quereinhaus, teilweise massiv, verkleidet, wohl aus dem 18. Jahrhundert",,50.634828,7.890604
Brunnen,"Burgstraße, bei Nr. 1",Alsbach (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts; daneben älteres, steinernes Brunnenbecken",Kein Bild vorhanden,50.463316,7.65992
Evangelische Pfarrkirche,Hauptstraße,Alsbach (Westerwald),"","romanischer Turm, 1750 erhöht, neuromanisches Schiff, 1853/54",Kein Bild vorhanden,50.46402,7.662487
Fachwerkhaus,Hauptstraße 17,Alsbach (Westerwald),1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.464586,7.662709
Haus,Hauptstraße 31,Alsbach (Westerwald),1900!um 1900,"Bruchsteinbau, um 1900",Kein Bild vorhanden,50.465589,7.663416
Fachwerkhaus,Hauptstraße 33,Alsbach (Westerwald),1700!18. Jahrhundert,"Fachwerkhaus, teilweise verkleidet, eventuell noch aus dem 18. Jahrhundert",Kein Bild vorhanden,50.465833,7.663742
Fachwerkhaus,Hauptstraße 45,Alsbach (Westerwald),1700!18. Jahrhundert,"Fachwerk-Wohnhaus, teilweise massiv und verkleidet, 18. Jahrhundert",Kein Bild vorhanden,50.465556,7.66437
Fachwerkhaus,Hauptstraße 14,Arnshöfen,1800!erste Hälfte des 19. Jahrhunderts,"Fachwerkhaus, teilweise verputzt, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.540073,7.86928
Quereinhaus,Alte Dorfstraße 15,Astert,1850!zweite Hälfte des 19. Jahrhunderts,"Fachwerk-Quereinhaus, teilweise massiv, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.693679,7.779816
Wegekapelle,Hauptstraße,Astert,1909,"Wegekapelle, Backsteinbau, bezeichnet 1909",,nope,nope
Quereinhaus,Flurstraße 2,Atzelgift,1750!zweite Hälfte des 18. Jahrhunderts,"Fachwerk-Quereinhaus, teilweise massiv und verkleidet, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.69644,7.825682
Brunnen,Marienstätter Straße,Atzelgift,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",,nope,nope
Fachwerkhaus,"Bad Marienberg, Bismarckstraße 4",Bad Marienberg (Westerwald),1650!zweite Hälfte des 17. Jahrhunderts,"Fachwerkhaus, zweite Hälfte des 17. Jahrhunderts",Kein Bild vorhanden,50.650818,7.951847
Fachwerkhaus,"Bad Marienberg, Bismarckstraße 64",Bad Marienberg (Westerwald),1890!um 1890,"langgestrecktes Fachwerkhaus, teilweise massiv und verschiefert, um 1890",Kein Bild vorhanden,50.645502,7.940439
Villa,"Bad Marienberg, Europastraße 6",Bad Marienberg (Westerwald),1909,"ursprünglich Wohn- und Dienstgebäude des Landrats, jetzt „Europa-Villa“ des Europa Hauses Marienberg; eingeschossige Mansarddach-Villa, Einfluss der Reformarchitektur, 1909; jüngerer Terrassenanbau",//commons.wikimedia.org/wiki/Category:Evangelische_Pfarrkirche_(Bad_Marienberg),50.652651,7.954376
Evangelische Pfarrkirche,"Bad Marienberg, Kirchstraße 6",Bad Marienberg (Westerwald),1819!1819 ff.,"querrechteckiger klassizistischer Saal, 1819 ff.",Kein Bild vorhanden,50.650251,7.957241
Brücke,"Bad Marienberg, Langenbacher Straße",Bad Marienberg (Westerwald),1800!19. Jahrhundert,"einbogige Steinbrücke, wohl aus dem 19. Jahrhundert",Kein Bild vorhanden,50.647075,7.952883
Katholische Pfarrkirche Mariä Himmelfahrt,"Bad Marienberg, Nassauische Straße 17a",Bad Marienberg (Westerwald),1931,"Saal mit Turmvorbau, bezeichnet 1931, Architekt Dominikus Böhm",Kein Bild vorhanden,50.648555,7.957196
Hofanlage,"Bad Marienberg, Ringstraße 11",Bad Marienberg (Westerwald),1600!17. Jahrhundert,"Streckhof; Fachwerkbau, 17. Jahrhundert, Scheune, im Kern aus dem 18. Jahrhundert oder älter",Kein Bild vorhanden,50.650634,7.958062
Pfarrhaus,"Bad Marienberg, Wilhelmstraße 4",Bad Marienberg (Westerwald),1859!1859–61,"ehemaliges Evangelisches Pfarrhaus II; klassizistischer Putzbau, 1859–61",Kein Bild vorhanden,50.651406,7.955841
Kurverwaltung,"Bad Marienberg, Wilhelmstraße 10",Bad Marienberg (Westerwald),1788,"ehemals Evangelisches Pfarrhaus I; Fachwerkbau, teilweise massiv, bezeichnet 1788",Kein Bild vorhanden,50.651427,7.953936
Brücke,"Bad Marienberg, südlich des Ortes",Bad Marienberg (Westerwald),1907!um 1907,"Eisenbahnbrücke, dreibogige Talbrücke der Strecke Bad Marienberg–Rennerod über die Schwarze Nister, um 1907",Kein Bild vorhanden,50.644669,7.951266
Quereinhaus,"Langenbach, An der Schmiede 7",Bad Marienberg (Westerwald),1800!um 1800,"kleines Quereinhaus mit Niederlass, um 1800, Wirtschaftsteil im 19. Jahrhundert verlängert",Kein Bild vorhanden,50.635683,7.948991
Bahnhof,"Langenbach, Bahnhofstraße 15",Bad Marienberg (Westerwald),1905!1905/06,"Empfangsgebäude des Bahnhofs Marienberg-Langenbach; Walmdachbau, Quadermauerwerk, 1905/06",Kein Bild vorhanden,50.644232,7.943367
Dorfgemeinschaftshaus,"Langenbach, Schulstraße 15",Bad Marienberg (Westerwald),1912,"ehemalige Schule; Typenbau der Heimatschutzbewegung, bezeichnet 1912",Kein Bild vorhanden,50.636813,7.948243
Quereinhaus,"Langenbach, Westerburger Straße 14",Bad Marienberg (Westerwald),1800!erste Hälfte des 19. Jahrhunderts,"Wohnteil eines Fachwerk-Quereinhauses, Ständerbau, wohl aus der ersten Hälfte des 19. Jahrhunderts",,50.636565,7.947431
Quereinhaus,"Langenbach, Westerburger Straße 26a",Bad Marienberg (Westerwald),1684,"Fachwerk-Quereinhaus mit Niederlass, Ständerbau, bezeichnet 1684; Gesamtanlage mit Schuppenanbau, um 1900, gepflastertem Hof, Hausgarten",,50.634798,7.949569
Kindergarten,"Zinhain, Bismarckstraße 88",Bad Marienberg (Westerwald),1899,"ehemalige Schule; kleiner Typenbau, Ziegelmauerwerk, bezeichnet 1899",,50.644772,7.930739
Fachwerkhaus,Kirchstraße 1,Bannberscheid,1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv und verputzt, im Kern aus dem 18. Jahrhundert",Kein Bild vorhanden,50.471626,7.837598
Brunnen,"Bergstraße, bei Nr. 13",Bellingen (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseisernes Becken eines Laufbrunnens, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.594118,7.907152
Quereinhaus,Hauptstraße 11a,Bellingen (Westerwald),1637,"Wohnteil eines ehemaligen Fachwerk-Quereinhauses, bezeichnet 1637, in der ersten Hälfte des 19. Jahrhunderts verlängert",Kein Bild vorhanden,50.59223,7.905433
Quereinhaus,Hauptstraße 12,Bellingen (Westerwald),1600!17. oder 18. Jahrhundert,"Fachwerk-Quereinhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.592106,7.905361
Brunnen,"Schulstraße, bei Nr. 7",Bellingen (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.589407,7.905897
Katholische Pfarrkirche St. Aegidius,Kirchstraße 12,Berod bei Wallmerod,"","romanischer Westturm, barockes Schiff, 1728–30, Architekt wohl Hofbaumeister Paul Kurz, Trier, neuromanisch erweitert 1898–1900",Kein Bild vorhanden,50.482845,7.935361
Fachwerkhaus,Kirchstraße 20,Berod bei Wallmerod,1688,"Fachwerkhaus, bezeichnet 1688, um 1900 um Stallteil erweitert",Kein Bild vorhanden,50.482052,7.934887
Fachwerkhaus,Oberdorf 2,Berod bei Wallmerod,1700!um 1700,"Fachwerkhaus mit Niederlass, um 1700",Kein Bild vorhanden,50.482348,7.936827
Scheune,Bahnhofstraße,Berzhahn,1700!18. Jahrhundert,"Fachwerkscheune, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.539079,8.004579
Fachwerkhaus,Hauptstraße 2,Berzhahn,1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.538158,8.004997
Kriegerdenkmal,"Lindenstraße, auf dem Friedhof",Berzhahn,"",Kriegerdenkmal des Ersten und Zweiten Weltkriegs,Kein Bild vorhanden,50.54019,8.002238
Schulhaus,Waldstraße 11,Berzhahn,1900!20. Jahrhundert,"ehemalige Schule, Backsteinmauerwerk, teilweise Putzflächen, 20. Jahrhundert",Kein Bild vorhanden,50.537752,8.003349
Fachwerkhaus,Am Fockensteinchen 1,Bilkheim,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.497017,7.948268
Backhaus,Am Fockensteinchen 2,Bilkheim,1788,"Backhaus; eingeschossiger Fachwerkbau, teilweise massiv, angeblich von 1788",Kein Bild vorhanden,50.496944,7.947922
Kreuz,"Am Fockensteinchen, bei Nr. 2",Bilkheim,1888,"Kruzifix, bezeichnet 1888",Kein Bild vorhanden,50.496968,7.947748
Schulhaus,Hauptstraße 4,Bilkheim,1901,"ehemalige Schule; Backstein-Typenbau, 1901, Ausstattung; zugehörig Fachwerkschuppen, gusseiserne Schwengelpumpe und Zisterne",Kein Bild vorhanden,50.497845,7.950183
Fachwerkhaus,Hauptstraße 20,Bilkheim,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, verputzt und verkleidet, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.497398,7.947659
Fachwerkhaus,Hauptstraße 23,Bilkheim,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.497107,7.947049
Wohnhaus,St.-Barbarastraße 5,Bilkheim,1700!um 1700,"Hälfte eines geteilten Wohnhauses; Fachwerkbau, teilweise massiv, um 1700",Kein Bild vorhanden,50.497149,7.948479
Hofgut Neuroth,nordöstlich des Ortes,Bilkheim,1664,"Wasserschlösschen auf nahezu quadratischem Grundriss, turmartig erhöht, Mansarddächer, bezeichnet 1664",//commons.wikimedia.org/wiki/Category:Hof_Neuroth,50.501414,7.95308
Wegekapelle,nördlich des Ortes an der K 96,Bilkheim,1750!zweite Hälfte des 18. Jahrhunderts,"Massivbau mit Fachwerkgiebel, wohl aus der zweiten Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.503351,7.95215
Heiligenhäuschen,nördlich des Ortes an der L 316,Bilkheim,1800!19. Jahrhundert,"Heiligenhäuschen; Mauerblock mit spitzgiebliger Nische, 19. Jahrhundert",Kein Bild vorhanden,50.506999,7.948071
Katholische Kirche Mariä Himmelfahrt,Hauptstraße 27,Boden (Westerwald),1915!1915/16,"neugotischer Bruchsteinsaal, 1915/16",Kein Bild vorhanden,50.473854,7.858788
Schulhaus,Lindenstraße 12,Bölsberg,1906,"ehemalige Schule; Typenbau, Ziegelmauerwerk, teilweise Putzflächen, bezeichnet 1906; Schulhof, straßenseitige Stützmauer und Zaun",Kein Bild vorhanden,50.667172,7.912971
Wohnstallhaus,Forstweg 8,Brandscheid (Westerwald),1672,"Wohnstallhaus mit Niederlass, Fachwerk, teilweise massiv, bezeichnet 1672",Kein Bild vorhanden,50.56043,7.916823
Katholische Pfarrkirche St. Georg,Hauptstraße,Breitenau (Westerwald),"","romanischer Westturm, klassizistischer Saalbau, 1809; Gesamtanlage mit Pfarrhaus (Hauptstraße 20), um 1870; steinernes Kreuz (Zeitstellung unklar)",Kein Bild vorhanden,50.497306,7.689632
Fachwerkhaus,Hirzener Straße 16,Breitenau (Westerwald),1700!erste Hälfte des 18. Jahrhunderts,"Fachwerkhaus, teilweise verputzt, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.50261,7.693834
Kapelle,Hirzener Straße 19,Breitenau (Westerwald),1775!spätes 18. Jahrhundert,"Kapelle, eventuell noch aus dem 18. Jahrhundert, Eingangsseite um 1920",Kein Bild vorhanden,50.501679,7.692359
Wegekapelle,Nauorter Straße,Breitenau (Westerwald),1900!um 1900,"Wegekapelle, Kalksandsteinmauerwerk, um 1900",Kein Bild vorhanden,50.503338,7.696955
Hof Adenroth,südwestlich des Ortes im Saynbachtal,Breitenau (Westerwald),1268!ab 1268,"ehemaliger Hof des Klosters Schönstatt, im 19. Jahrhundert umgebaut, gotische Kapelle von 1268 mit barockem Dachreiter",Kein Bild vorhanden,50.492561,7.678093
Brunnen,Brunnenstraße,Bretthausen,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.670449,8.072715
Dorfgemeinschaftshaus,Hauptstraße 6,Bretthausen,1920!um 1920/30,"ehemalige Schule; Heimatschutzbewegung, um 1920/30",Kein Bild vorhanden,50.672107,8.074149
Kriegerdenkmal,"Hauptstraße, bei Nr. 1",Daubach (Westerwald),"",Kriegerdenkmal 1914/18; Säule mit bekrönendem Eisernen Kreuz,Kein Bild vorhanden,50.392544,7.846027
Fachwerkhaus,Hauptstraße 23,Daubach (Westerwald),1600!17. oder 18. Jahrhundert,"Fachwerkhaus, 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.391108,7.846508
Stall,"Hauptstraße, zu Nr. 32",Daubach (Westerwald),1700!18. oder Anfang des 19. Jahrhunderts,"Viehstall; Fachwerkbau, 18. oder Anfang des 19. Jahrhunderts",Kein Bild vorhanden,50.391364,7.847414
Quereinhaus,Mittelstraße 11,Deesen,1700!18. Jahrhundert,"Fachwerk-Quereinhaus, teilweise massiv, 18. Jahrhundert, Bruchstein-Wirtschaftsteil um 1900",Kein Bild vorhanden,50.509904,7.698078
