Adenau,,
,"Ev. Erlöserkirche, Dr. Creutz-Platz 5","Saalbau, Krüppelwalmdach, Einflüsse der Heimatschutzbewegung, 1913/14, Architekt Franz von Schwechten, Berlin"
"Saalbau, Krüppelwalmdach, Einflüsse der Heimatschutzbewegung, 1913/14, Architekt Franz von Schwechten, Berlin",,
,,
,,
,"Kath. Kirche St. Johannes d. Täufer, Kirchstraße 1","mittelalterlicher Ostchorturm, neugotischer Hallenchor, Langhaus 1969, Architekt Otto Vogel; Grabkreuze, 18. Jh.; Kreuz, 19. Jh.; am Chor 3 Kreuze, bez. 1786, 1787, 1788"
"mittelalterlicher Ostchorturm, neugotischer Hallenchor, Langhaus 1969, Architekt Otto Vogel; Grabkreuze, 18. Jh.; Kreuz, 19. Jh.; am Chor 3 Kreuze, bez. 1786, 1787, 1788",,
,,
,,
,,
,,
,Hauptstraße 20,"Marienkapelle, neugotischer Zentralbau, 1893/95, Architekt Clemens Pickel, Düsseldorf"
"Marienkapelle, neugotischer Zentralbau, 1893/95, Architekt Clemens Pickel, Düsseldorf",,
,,
,Hauptstraße 86,"Wohn- und Geschäftshaus; dreigeschossiges Fachwerkhaus,16./17. Jh., im 18./19. Jh. aufgestockt und verändert"
"Wohn- und Geschäftshaus; dreigeschossiges Fachwerkhaus,16./17. Jh., im 18./19. Jh. aufgestockt und verändert",,
,,
,,
,Hauptstraße 108,"Fachwerkhaus, bez. 1637, wohl eher 18. Jh., im 19. Jh. erweitert"
"Fachwerkhaus, bez. 1637, wohl eher 18. Jh., im 19. Jh. erweitert",,
,,
,Hauptstraße 116,"Fachwerkhaus, Krüppelwalmdach, bez. 1734"
,,
,Hauptstraße 128,"Fachwerkhaus, tlw. massiv, um 1900/10"
,,
,(an) Hauptstraße 175,"in Wand eingelassen Wegekreuz, 18. Jh."
,,
,Hauptstraße 250,"Fachwerkhaus, tlw. massiv, bez. 1775"
,,
Hauptstraße 251,Hauptstraße 251,"Fachwerkhaus, tlw. massiv, Firstständer, 16. Jh."
,,
Hauptstraße 253,Hauptstraße 253,"Fachwerkhaus, evtl. 16. Jh."
,,
Hauptstraße 280,Hauptstraße 280,"Fachwerkhaus, tlw. massiv, bez. 1712; Backofen bez. 1705"
"Fachwerkhaus, tlw. massiv, bez. 1712; Backofen bez. 1705",,
,,
Hauptstraße 286,Hauptstraße 286,"sog. Burghaus, Bruchsteinbau, Pyramidaldach, im Kern 14./15. Jh., Umbau 17. Jh."
"sog. Burghaus, Bruchsteinbau, Pyramidaldach, im Kern 14./15. Jh., Umbau 17. Jh.",,
,,
Hauptstraße / Ecke Mittelbachstraße,Hauptstraße / Ecke Mittelbachstraße,"sog. Buttermarktkapelle St. Michael, kleiner Saalbau, Fachwerkgiebel, um 1800"
"sog. Buttermarktkapelle St. Michael, kleiner Saalbau, Fachwerkgiebel, um 1800",,
,,
Kirchstraße 4,Kirchstraße 4,"Kath. Pfarramt, späthistoristischer Backsteinbau, Walmdach"
"Kath. Pfarramt, späthistoristischer Backsteinbau, Walmdach",,
,,
(an) Kirchstraße 5,(an) Kirchstraße 5,Türblatt
,,
Kirchstraße 6,Kirchstraße 6,"ehem. Johanniterkomturei, siebenachsiger Mansardwalmdachbau, bez. 1743, tlw. mittelalterliche Bausubstanz"
"ehem. Johanniterkomturei, siebenachsiger Mansardwalmdachbau, bez. 1743, tlw. mittelalterliche Bausubstanz",,
,,
,,
Kirchstraße 19,Kirchstraße 19,"Amtsgericht, dreigeschossiger Putzbau, 1920er Jahre"
"Amtsgericht, dreigeschossiger Putzbau, 1920er Jahre",,
,,
(bei) Kirchstraße 19,(bei) Kirchstraße 19,"Denkmal zur Erinnerung an den Separatisten- Abwehrkampf, Stele, 1923"
"Denkmal zur Erinnerung an den Separatisten- Abwehrkampf, Stele, 1923",,
,,
Markt 4 / 5,Markt 4 / 5,"Hotel Blaue Ecke, dreigeschossiges Fachwerkhaus, 2. OG evtl. später, Erkertürmchen bez. 1682, Fahne bez. 1578 (wohl eher nicht)"
"Hotel Blaue Ecke, dreigeschossiges Fachwerkhaus, 2. OG evtl. später, Erkertürmchen bez. 1682, Fahne bez. 1578 (wohl eher nicht)",,
,,
,,
,,
Markt 7,Markt 7,"dreigeschossiges Fachwerkhaus, tlw. massiv, verputzt, 18. Jh."
"dreigeschossiges Fachwerkhaus, tlw. massiv, verputzt, 18. Jh.",,
,,
Markt 8,Markt 8,"viergeschossiges Fachwerkhaus, Rähmbau, bez. 1630"
"viergeschossiges Fachwerkhaus, Rähmbau, bez. 1630",,
,,
Markt 9,Markt 9,"dreigeschossiges Fachwerkhaus, tlw. massiv bzw. verschiefert, 16./17. Jh."
"dreigeschossiges Fachwerkhaus, tlw. massiv bzw. verschiefert, 16./17. Jh.",,
,,
Mühlenstraße 21,Mühlenstraße 21,"ehem. Winterschule, Putzbau, tlw. Fachwerk, Krüppelwalmdach, um 1900"
"ehem. Winterschule, Putzbau, tlw. Fachwerk, Krüppelwalmdach, um 1900",,
,,
Pferdemarkt 10,Pferdemarkt 10,"Fachwerkhaus, tlw. massiv bzw. verschiefert, 18./19. Jh."
"Fachwerkhaus, tlw. massiv bzw. verschiefert, 18./19. Jh.",,
,,
Schulstraße 18,Schulstraße 18,"Alte Schule, Backsteinbau, dreiachsiges Giebelrisalit, um 1900"
"Alte Schule, Backsteinbau, dreiachsiges Giebelrisalit, um 1900",,
,,
Wimbachstraße/ Ecke Bertrothstraße,Wimbachstraße/ Ecke Bertrothstraße,"Wegekapelle des Hl. Josef, um 1900"
