original address|latitude|longitude
Ehem. Kaiserpfalz und Casimirschloss, Willy- Brandt-Platz 2, Kaiserslautern|49.44597|7.76838
Ev. Apostelkirche, Pariser Straße 22, Kaiserslautern|49.44438|7.76151
Ev. Pauluskirche, Hahnenbalz 38, Kaiserslautern|49.43215|7.76696
Ev. Pfarrkirche, Marktstraße 13, Kaiserslautern|49.44456|7.77103
Kath. Minoritenkirche und -kloster Maria Schutz, Bismarckstraße 63, Kaiserslautern|49.44233|7.78276
Kath. Pfarrkirche St. Marien, St.-Marien-Platz 1, Kaiserslautern|49.441737|7.761275
Adolph-Kolping-Platz 1-6 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Albertstraße 16-26 (gerade Nrn.), Steinmetzstraße 11 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Altenwoogstraße 43-59 (ungerade Nrn.), Barbarossaring 1, Mannheimer Straße 94-108 (gerade Nrn.), "Grüner Block" (Denkmalzone), Kaiserslautern|49.440066|7.749126
Am Altenhof, Kaiserslautern|49.444416|7.768637
Am Altenhof 6, Kaiserslautern|49.444778|7.768781
Am Hammerweiher 1, Kaiserslautern|49.45202|7.73954
Am Langen Stein 1, Kaiserslautern|49.45473|7.76266
(vor) Am Schmiedeturm 7 , 9, Kaiserslautern|49.44719|7.77606
Am Vogelgesang 10, Kaiserslautern|49.45071|7.77324
Am Vogelgesang 44, Kaiserslautern|49.45129|7.77168
Am Vogelgesang 1-33 (ungerade Nrn.), Benzinoring 15-51 (ungerade Nrn.), Buchfinkstraße 1-23, Hackstraße 5-19 (ungerade Nrn.), 12-24 (gerade Nrn.), Haspelstraße 17-21 (ungerade Nrn.), Ottostraße 13-19 (ungerade Nrn.), 18-26 (gerade Nrn.), Villenstraße 11-17 (ungerade Nrn.), 16, 18, 21 (Denkmalzone), Kaiserslautern||
Amselstraße 52, Kaiserslautern|49.451934|7.776184
Auf dem Bännjerrück 2-14 (gerade Nrn.) (Denkmalzone), Kaiserslautern|49.440066|7.749126
Bahnheim 2a, 2b, 3, 4a, 4b, 4c, 4-27, 28a, 28b, 29- 39, 41-49, 51-54, 56, 60-80 (gerade Nrn.), "Wohnsiedlung Bahnheim" (Denkmalzone), Kaiserslautern|49.440066|7.749126
Bahnhofstraße 26, Kaiserslautern|49.43669|7.76912
Bahnhofstraße 28, Kaiserslautern|49.43669|7.76912
Barbarossastraße 50, Kaiserslautern|49.439725|7.78002
Benzinoring 2, Kaiserslautern|49.447565|7.768149
Benzinoring 4, Kaiserslautern|49.4487|7.77101
Benzinoring 6, Kaiserslautern|49.448905|7.771393
Benzinoring 25, Kaiserslautern|49.44957|7.77332
Bismarckstraße 18 a, 20, Kaiserslautern|49.443359|7.775623
Bismarckstraße 26 a/26 b, Kaiserslautern|49.443099|7.776632
Blechhammerweg, Kaiserslautern|49.451411|7.747278
Blücherstraße 6-36 (gerade Nrn.), Pollichstraße 3, 5, 6, 8 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Brahmsstraße 9, Kaiserslautern|49.439399|7.76634
Bremerstraße, Kaiserslautern|49.426145|7.768903
Eisenbahnstraße 56, Kaiserslautern|49.43902|7.77174
Eisenbahnstraße 62, Kaiserslautern|49.43847|7.77186
Eisenbahnstraße 66, Kaiserslautern|49.43834|7.77188
Eisenbahnstraße 67 a, Kaiserslautern|49.43811|7.77244
Eisenbahnstraße 73, Kaiserslautern|49.43731|7.77262
Eisenbahnstraße 74, Kaiserslautern|49.43723|7.77224
Eselsfürth 11, Kaiserslautern|49.460125|7.822183
Eselsfürth 12, Kaiserslautern|49.45984|7.82296
Eselsfürth 22, Kaiserslautern|49.46056|7.82619
(an) Fackelstraße 13, Kaiserslautern|49.44373|7.76761
Fackelstraße 29, Kaiserslautern|49.444272|7.766345
Fischerstraße 11, Kaiserslautern|49.44483|7.77443
Fischerstraße 15-37 (ungerade Nrn.), 16-28 (gerade Nrn.), Bismarckstraße 27, 29, 31, 37c, Friedrichstraße 13, 15, 17, 19, Kanalstraße 34-46 (gerade Nrn.), Wilhelmstraße 2, 4, 6 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Forellenstraße 2, Kaiserslautern|49.4469|7.75439
Friedenstraße, Kaiserslautern|49.450443|7.789126
Friedenstraße 42, Kaiserslautern|49.44789|7.78389
Friedrich-Karl-Straße 27, Kaiserslautern|49.438989|7.758497
Friedrichstraße 75, Kaiserslautern|49.43984|7.77707
Fruchthallstraße, Kaiserslautern|49.445271|7.768552
Fruchthallstraße, Kaiserslautern|49.445271|7.768552
Fruchthallstraße 1, Marktstraße 2, Kaiserslautern|49.44547|7.77114
Fruchthallstraße 10, Kaiserslautern|49.445596|7.769649
Gasstraße 24, Kaiserslautern|49.442614|7.775371
Gaustraße 1, Kaiserslautern|49.44603|7.77467
Gaustraße 2, Kaiserslautern|49.44585|7.77488
Gaustraße 5, Kaiserslautern|49.44616|7.77509
Gaustraße 9, Kaiserslautern|49.44623|7.77521
Gaustraße 15, Kaiserslautern|49.44646|7.77558
Gaustraße 27, Kaiserslautern|49.44696|7.77644
Gaustraße 37, Kaiserslautern|49.44737|7.77713
Gersweilerweg 2, Kaiserslautern|49.4489|7.77755
Glockenstraße 4, Kaiserslautern|49.441489|7.767699
Glockenstraße 43, Kaiserslautern|49.43992|7.76937
Glockenstraße 74, Kaiserslautern|49.43762|7.76976
Goethestraße 35, Kaiserslautern|49.44083|7.75433
Hackstraße 14, Kaiserslautern|49.44974|7.77329
Hellmut-Hartert-Sraße 1, Kaiserslautern|49.44161|7.75688
Herzog-von-Weimar-Straße 30-148 (gerade Nrn.), "Herzog von Weimar Straße" (Denkmalzone), Kaiserslautern|49.440066|7.749126
Hummelstraße 1 , 3, 5, Kaiserslautern|49.440066|7.749126
Hummelstraße 6, Kaiserslautern|49.44157|7.77754
Im Einsiedlerhof 18 , 20, 22, 24, Kaiserslautern|49.42988|7.66107
Jägerstraße 10 , 12, Kaiserslautern|49.441693|7.764147
Jägerstraße 14, Kaiserslautern|49.44162|7.763734
Kammgarnstraße 17, Kaiserslautern|49.444887|7.755607
Kanalstraße 1, Kaiserslautern|49.44558|7.77374
Kanalstraße 4, Kaiserslautern|49.44519|7.77361
Karcherstraße 16 , 18, Kaiserslautern|49.436412|7.76031
Karl-Marx-Straße 1 /3, Kaiserslautern|49.44378|7.77283
Kerststraße 24, Kaiserslautern|49.44228|7.76774
Klosterstraße 1, Kaiserslautern|49.44599|7.77227
Klosterstraße 3 , 5, Kaiserslautern|49.4461|7.7725
Klosterstraße 6, Kaiserslautern|49.4461|7.773141
(an) Klosterstraße 13, Kaiserslautern|49.44621|7.77339
