Burg Altleiningen,Burgstraße,Altleiningen,1100!um 1100/20,"um 1100/20 gegründete Spornanlage, nach Zerstörung im Bauernkrieg seit 1532 schlossartiger Wiederaufbau; im Südwesten staufische Buckelquadermauer, wohl Rest des Bergfrieds, 13. Jahrhundert, am dreigeschossigen Nordflügel Mauersubstanz des 16. und 17. Jahrhunderts; landschaftsprägend",//commons.wikimedia.org/wiki/Category:Burg_Altleiningen,49.511434,8.08245
Türsturz,"Hauptstraße, an Nr. 27",Altleiningen,,"Türsturz, bezeichnet 1788",Kein Bild vorhanden,49.50982,8.078992
Hakenhof,Hauptstraße 35,Altleiningen,1800!frühes 19. Jahrhundert,"Hakenhof, frühes 19. Jahrhundert; eingeschossiges Wohnhaus, teilweise Fachwerk, bezeichnet 1826",Kein Bild vorhanden,49.509635,8.078286
Protestantische Pfarrkirche,Hauptstraße 36,Altleiningen,1716,"barocker Saalbau, bezeichnet 1716, Erweiterung mit wuchtigem Dachreiter 1923, Architekt Karl Latteyer, Ludwigshafen; Ausstattung",Kein Bild vorhanden,49.509474,8.078171
Protestantisches Pfarrhaus,Hauptstraße 40,Altleiningen,1855,"spätklassizistischer Walmdachbau, 1855; straßenbildprägend",Kein Bild vorhanden,49.509363,8.077577
Kriegerdenkmal 1866 und 1870/71,"Hauptstraße, zwischen Nr. 46 und 48",Altleiningen,1903!,"pfeilerartiger Aufbau, Bronzerelief, bekrönender Löwe, bezeichnet 1903",Kein Bild vorhanden,49.509127,8.076831
Inschrifttafel,"Hauptstraße, zwischen Nr. 46 und 48",Altleiningen,1855,"Inschrifttafel am Zwanzigröhrenbrunnen; Sandsteinplatte, bezeichnet 1855",Kein Bild vorhanden,49.5091,8.076863
Schul- und Gemeindehaus,Hauptstraße 50,Altleiningen,1886,"Schulhaus und ehemaliges Gemeindehaus; repräsentativer Sandsteinquaderbau, bezeichnet 1886",Kein Bild vorhanden,49.508967,8.076491
Mennonitische Kirche,Hauptstraße 65,Altleiningen,1811,"kleiner Winkelbau, 1811, reiches Portal der ersten Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.508258,8.074753
Wohnhäuser,Obere Bahnhofstraße 4–7,Altleiningen,1908!1908–1911,"Zeilenbauten nach einheitlichem Entwurf mit variierenden Details, Nr. 4 bezeichnet 1911, Nr. 7 bezeichnet 1908",Kein Bild vorhanden,49.50722,8.075984
ehemalige Schlossmühle,Schlossmühle 2,Altleiningen,1700!18. und 19. Jahrhundert,"stattlicher Dreiseithof, 18. und 19. Jahrhundert; im Kern spätbarocker Krüppelwalmdachbau, rückwärtig bezeichnet 1852; katholische Kirche St. Michael (ehemalige Scheune), Mansarddachbau, 1933, bauzeitliche Glasfenster und Figuren, Spolie bezeichnet 1762",Kein Bild vorhanden,49.510895,8.08441
ehemaliges Glockentürmchen,Schulstraße,Altleiningen,1902,"Sandsteinquaderbau, 1902",Kein Bild vorhanden,49.508448,8.076983
ehemalige Talschule,Talstraße 31,Altleiningen,1910,"eingeschossiger Walmdachbau auf Bossenquadersockel, Reformarchitektur, 1910",Kein Bild vorhanden,49.512693,8.088275
Kilometerstein,"Talstraße, gegenüber Nr. 39",Altleiningen,1872!um 1872,"Kilometerstein Nr. 5, um 1872",Kein Bild vorhanden,49.512314,8.086629
Gartenhof,"Gartenhof 1, nordwestlich der Burg Altleiningen am Fahrweg ins Amseltal",Altleiningen,,"in den Gartenmauern zur Burg gehörige Spolien, unzer anderem rundbogiger Sturz, diamantiertes Postament, Friesfragment; am Wohnhaus nachbarockes Portal, bezeichnet 1801",Kein Bild vorhanden,49.513587,8.078171
Villa Waldheim,Waldheim 1 und 2; südwestlich oberhalb der Ortslage,Altleiningen,1904!1904–1906,"stattlicher zweiteiliger Bau, Neurenaissance- und Landhausstilmotive, 1906, Architekt Gustav Walter, Wiesbaden; zugehörig das Forsthaus von 1904",Kein Bild vorhanden,49.504574,8.066048
Ehemaliges Augustiner-Chorherren-Kloster St. Peter,"Höninger Hauptstraße, Hintergasse, Klosterstraße",Altleiningen,1120,"1120 gegründet, mit Resten von Klosterkirche (1255/70 erweitert, 1451/54 wiederhergestellt, 1769 abgebrannt), Konventsgebäuden, äußerem (frühes 13. Jahrhundert) und innerem Klostertor",//commons.wikimedia.org/wiki/Category:Kloster_H%C3%B6ningen,49.491195,8.077595
Wohnhaus,An der Eiche 7,Altleiningen,1900,"malerisches villenartiges Wohnhaus mit Fachwerkkniestock, 1900, Architekt eventuell Philipp Weber, Frankenthal",Kein Bild vorhanden,49.489654,8.075875
Aufsatz eines Bildstocks,"Höninger Hauptstraße, an Nr. 19",Altleiningen,1300!14. oder 15. Jahrhundert,"Aufsatz eines Bildstocks, Sandsteinrelief, wohl aus dem 14. oder 15. Jahrhundert",,49.49116,8.076797
Protestantische Jakobskirche,Höninger Hauptstraße 24,Altleiningen,1100!12. oder frühes 13. Jahrhundert,"Saalbau mit Rechteckchor, 12. oder frühes 13. Jahrhundert; mittelalterliche Ausstattung; an der Außenmauer Grabsteine, 18. Jahrhundert, auf dem umfriedeten Friedhof Grabsteine des 17. bis 19. Jahrhunderts",,49.490601,8.077391
Denkmalzone Friedhof,Friedhofstraße,Bad Dürkheim,1572,"südlicher ummauerter Bereich des 1572 angelegten, mehrfach erweiterten Friedhofs; Friedhofskapelle St. Salvator, neubarocker Saalbau, 1948–52, Architekt Funk, Bad Dürkheim; Leichenhalle, eingeschossiger Walmdachbau mit Eckrisaliten, 1838/39, Architekt August von Voit; am Außenbau drei barocke Grabsteine; vor der Friedhofshalle des 19. Jahrhunderts zwei barocke Grabmäler; Kriegerdenkmal 1870/71, Findling; Kriegerdenkmal 1939/45, Beton, 1960, Architekt Franz Lind, Freinsheim; Grabmäler: Familie Engel-Hoffmann, Galvanoplastik; Familie Fitz, Sandstein; A. M. Schott († 1910), signiert C. M. Geiling 1908; Familie Carl Henel, Gusseisen, letztes Viertel des 19. Jahrhunderts; Ch. Kienlin († 1871), Marmor; F. Becker († 1836), Sandstein; Familie Esswein, 1920er Jahre; an und in der Friedhofsmauer barockzeitliche Grabplatten; Teile der Friedhofsmauer (1572, 1833)",Kein Bild vorhanden,49.459264,8.162249
Denkmalzone Gründungskern,"Eichstraße, Kirchgasse, Römerstraße, Römerplatz, Rote-Kreuz-Straße, Schulgasse, Weinstraße Nord",Bad Dürkheim,,"mittelalterlicher Gründungskern um den Römerplatz und die im 10. Jahrhundert beurkundete Kirche mit der mittelalterlichen Wegeführung, Feingliederung seit dem frühen 19. Jahrhundert erhalten geblieben, Bausubstanz des 18. und frühen 19. Jahrhunderts",Kein Bild vorhanden,49.461029,8.167838
Denkmalzone Kurbrunnenstraße,"Kurbrunnenstraße 20, 22, 23, 24, 26",Bad Dürkheim,1900!um 1900,"villenartige spätgründerzeitliche Wohnhäusern, um 1900",Kein Bild vorhanden,49.465071,8.17133
Denkmalzone Kurparkerweiterung,"Schlossgartenstraße 2, Salinenstraße 7",Bad Dürkheim,,"in den 1930er Jahren angelegte Kurparkerweiterung mit geometrischer Wegeführung und Bepflanzung, Brunnenhalle, 1933/34, Architekt Joseph Müller, Neustadt an der Weinstraße, und Traubenkuranstalt",Kein Bild vorhanden,49.463491,8.173054
Denkmalzone Schwarzviertel,"Weinstraße Nord 21, 25–37 (ungerade Nummern), 34 und 38–46 (gerade Nummern), Mühlgasse 1, 3 und 2–14 (gerade Nummern), Gerberstraße 1",Bad Dürkheim,,"Teil der ehemaligen, 1562 erstmals erwähnten Paradiesvorstadt; ein- und zweigeschossige Wohnhäuser sowie kleinteilige Hofanlagen, 18. und 19. Jahrhundert, sowie Kellereimühle und dreigeschossige spätklassizistische Blockrandbebauung",Kein Bild vorhanden,49.463528,8.168141
Denkmalzone Westliche Vorstadt,"Kaiserslauterer Straße 1–33, 35, Friedhofstraße 1, 2, 3, 4, Eichstraße 22",Bad Dürkheim,,"im Mittelalter entstandene westlich Vorstadt entlang der Verbindungsstraße zu den heutigen westlichen Stadtteilen, im Ursprung bäuerlicher Siedlungsbereich, überwiegend zweigeschossige Blockrandbebauung, 18. und 19. Jahrhundert",Kein Bild vorhanden,49.459748,8.163449
Stadtmauer,"Burgstraße, in Nr. 16",Bad Dürkheim,1300!14. Jahrhundert,in einer rückwärtigen Mauer erhaltener Teil der Stadtbefestigung des 14. Jahrhunderts,Kein Bild vorhanden,49.459112,8.167749
Wohnhaus,Eichstraße 7,Bad Dürkheim,1769,"spätbarocker Putzbau, bezeichnet 1769, Aufstockung 1835",Kein Bild vorhanden,49.461698,8.166079
Kleinbauernhof,Eichstraße 10,Bad Dürkheim,1775!spätes 18. Jahrhundert,"Kleinbauernhof, spätes 18. Jahrhundert; eingeschossiges spätbarockes Wohnhaus, teilweise Veränderung der Nebengebäude im 19. Jahrhundert",Kein Bild vorhanden,49.461262,8.165651
Eichhaus,Eichstraße 12,Bad Dürkheim,1838,"ehemalige Fasseiche; spätklassizistischer Putzbau, 1838",Kein Bild vorhanden,49.461375,8.165442
Wohnhaus,Eichstraße 14,Bad Dürkheim,1816,"Wohnhaus einer ehemaligen Gerberei, großvolumiger nachbarocker Krüppelwalmdachbau, bezeichnet 1816",Kein Bild vorhanden,49.461309,8.165314
Wohnhaus,Eichstraße 16,Bad Dürkheim,1717,"Wohnhaus eines ehemaligen Bauernhofs, barockes Fachwerkhaus, bezeichnet 1717, Steinerneuerungen des frühen 18. Jahrhunderts",Kein Bild vorhanden,49.461205,8.165406
„Graf’sches Haus“ oder „Altes Museum“,Eichstraße 22,Bad Dürkheim,1802!nach 1802,"nördliches Wohnhaus: vierzehnachsiger klassizistischer Massivbau mit Mezzanin, nach 1802; südliches Wohnhaus: um 1815, Erweiterung und Aufstockung 1876",Kein Bild vorhanden,49.460632,8.165452
Winzerhof,Gerberstraße 13,Bad Dürkheim,1812,"ehemaliger Winzerhof, eingeschossiger Putzbau, 1812, Rokoko-Portal wohl um 1770",Kein Bild vorhanden,49.461412,8.164819
ehemalige Gerberei,Gerberstraße 16,Bad Dürkheim,1700!18. und 19. Jahrhundert,"ehemalige Gerberei; langgestreckte, geknickte Anlage, 18. und 19. Jahrhundert; Putzbau mit geknicktem Satteldach, 1830er Jahre, Verbindungstrakt und eingeschossiges Giebelhaus, 18. Jahrhundert",Kein Bild vorhanden,49.461251,8.164024
Dreiseithof,Hinterbergstraße 20,Bad Dürkheim,1700!18. Jahrhundert,"Dreiseithof; barockes Wohnhaus, teilweise Zierfachwerk, 18. Jahrhundert, Scheune, ehemaliger Stall, Torpfeiler (Spolie) bezeichnet 1770, Ökonomie 19. Jahrhundert",Kein Bild vorhanden,49.463393,8.165469
Dürkheimer Haus,Kaiserslauterer Straße 1,Bad Dürkheim,1835!1835/36,"Hausgaststätte der Winzergenossenschaft „Vier Jahreszeiten“; großvolumiger Zweiflügelbau, 1835/36, Balkon um 1870, rückwärtiger Flügel 1864 und 1875 erneuert",Kein Bild vorhanden,49.46007,8.165129
Gaststätte „Pfälzer Hof“,Kaiserslauterer Straße 2,Bad Dürkheim,1830!um 1830,"Putzbau über tonnengewölbtem Keller und Saalbau mit Walmdach, um 1830, Überformung der hofseitigen Fassade des Saals um 1870",Kein Bild vorhanden,49.460177,8.16527
Hofanlage,Kaiserslauterer Straße 3,Bad Dürkheim,1775!Ende des 18. Jahrhunderts,"spätbarocke Hofanlage; eingeschossiger Putzbau mit Torfahrt und Bruchsteinscheune, Ende des 18. Jahrhunderts, rückwärtiger Nebentrakt um 1900 über älteren Resten erneuert, Treppenaufgang um 1900; straßenbildprägend mit Nr. 5",Kein Bild vorhanden,49.460039,8.164927
Winzerhof,Kaiserslauterer Straße 5,Bad Dürkheim,1750!zweite Hälfte des 18. Jahrhunderts,"barocker Winzerhof, zweite Hälfte des 18. Jahrhunderts; Putzbau mit Torfahrt, rückwärtig gewölbte Halle, um 1800; straßenbildprägend mit Nr. 3",Kein Bild vorhanden,49.459961,8.164666
Wohnhaus,Kaiserslauterer Straße 8,Bad Dürkheim,1798,"spätbarocker Putzbau mit Torfahrt, bezeichnet 1798",Kein Bild vorhanden,49.460128,8.16494
Winzerhof,Kaiserslauterer Straße 16,Bad Dürkheim,1700!18. Jahrhundert,"spätbarocker Winzerhof, 18. Jahrhundert; Putzbau, wohl aus der Mitte des 18. Jahrhunderts, eingeschossiger Mansardwalmdach-Anbau, spätes 18. Jahrhundert; Nebengebäude 18. Jahrhundert, Aufstockung 19. Jahrhundert, im Garten Holzpavillon mit Pagodendach, 1900",Kein Bild vorhanden,49.459823,8.163732
Torfahrt,"Kaiserslauterer Straße, an Nr. 17",Bad Dürkheim,1700!18. Jahrhundert,"spätbarocke Torfahrt, 18. Jahrhundert",Kein Bild vorhanden,49.459741,8.163816
Hof „Zum Roßtäuscher“,Kaiserslauterer Straße 30,Bad Dürkheim,1500!16. und 18. Jahrhundert,"ehemaliger Winzerhof, vormals Hof „Zum Roßtäuscher“; zwei Wohnhäuser, 16. und 18. Jahrhundert: Krüppelwalmdachbau, teilweise Fachwerk, Treppenturm, teilweise Fachwerk, bezeichnet 1591, Kellerabgang bezeichnet 1559, zweites Wohnhaus, Putzbau bezeichnet 1718, Torfahrt um 1600",Kein Bild vorhanden,49.460062,8.162383
Kellerabgang und Torfahrt,"Kaiserslauterer Straße, an Nr. 32",Bad Dürkheim,1611,"Kellerabgang, bezeichnet 1611, Torfahrt wohl gleichzeitig",Kein Bild vorhanden,49.460055,8.162204
Weingut Gebrüder Bart,Kaiserslauterer Straße 42,Bad Dürkheim,1910!um 1910,"dreiseithofartige Anlage, um 1910; barockisierendes Wohnhaus, eingeschossiges Nebengebäude, zweigeschossiger Nebentrakt, Hofmauer mit Torfahrt",Kein Bild vorhanden,49.460263,8.159856
Weingut Zumstein,Kaiserslauterer Straße 45,Bad Dürkheim,1787!um 1787,"drei spätbarocke Gebäude, um 1787, Veränderungen im 19. und 20. Jahrhundert; Stundentafel, um 1840; anspruchsvolles Wohnhaus, zweieinhalbgeschossiger spätklassizistischer Walmdachbau, bezeichnet 1863 und 1865, 1858/59, Architekt Theodor Brofft, Frankfurt; ortsbildprägend",Kein Bild vorhanden,49.459983,8.160921
Wohnhaus,Kirchgasse 9,Bad Dürkheim,1820!um 1820,"großvolumiger nachbarocker Krüppelwalmdachbau, um 1820; platzbildprägend",//commons.wikimedia.org/wiki/Category:Schlosskirche_Bad_D%C3%BCrkheim,49.461313,8.166912
