Denkmalzone Jüdischer Friedhof,"Gewann Am Judenfriedhof, nördlich des Ortes",Albisheim (Pfrimm),1800,"1800 (um 1870 ?) angelegt, Umfassungsmauer, über 30 Grabsteine ab der ersten Hälfte des 19. Jahrhunderts bis 1938",//commons.wikimedia.org/wiki/Category:J%C3%BCdischer_Friedhof_(Albisheim),49.653719,8.092366
Rat- und ehemaliges Schulhaus,Hauptstraße 40,Albisheim (Pfrimm),1832,"stattlicher spätklassizistischer Walmdachbau, Turmaufbau über Mittalrisalit, 1832, Architekt Ferdinand Beyschlag, Kaiserslautern",//commons.wikimedia.org/wiki/Category:Rathaus_(Albisheim),49.649746,8.095861
Wohnhaus,Hauptstraße 42,Albisheim (Pfrimm),1700!erste Hälfte des 18. Jahrhunderts,"im Kern barockes Wohnhaus, teilweise Fachwerk",//commons.wikimedia.org/wiki/Category:Hauptstra%C3%9Fe_51_(Albisheim),49.649672,8.095555
Wohnhaus,Hauptstraße 51,Albisheim (Pfrimm),1700!erste Hälfte des 18. Jahrhunderts,"barockes Wohnhaus, reiches Zierfachwerk, erste Hälfte des 18. Jahrhunderts, Umbau (?) bezeichnet 1774, Toranlage, bezeichnet 1784",//commons.wikimedia.org/wiki/Category:Hauptstra%C3%9Fe_59_(Albisheim),49.649087,8.094443
Wohnhaus,Hauptstraße 59,Albisheim (Pfrimm),1851,"anspruchsvolles spätklassizistisches Wohnhaus, 1851, im Scheunentrakt dreischiffiger kreuzgratgewölbter Stall, um 1850; straßenbildprägend",//commons.wikimedia.org/wiki/Category:Evangelische_Kirche_(Albisheim),49.648835,8.093759
Protestantische Peterskirche,Kirchgasse 14,Albisheim (Pfrimm),1792,"klassizistischer Walmdachbau, bezeichnet 1792, spätgotisches Westportal, gotischer Turmunterbau (13. Jahrhundert ?), Glockenstube 1840–43; Orgelprospekt, um 1760, Architekt Johann Michael Stumm, Rhaunen; Kriegerdenkmal 1914/18, 1928 von Heinrich Schuler, Kirchheimbolanden, nach 1945 erweitert; auf dem Friedhof Grabsteine des 19. und frühen 20. Jahrhunderts sowie aufwändige gründerzeitliche Sandsteinstelen; an der Umfassungsmauer 10 historisierende Grabsteine, zwischen 1850 und 1880; außerdem Grabsteine für Johannes Schloßstein († 1901), David Hahn († 1906)",//commons.wikimedia.org/wiki/Category:Wartturm_(Albisheim),49.650001,8.095861
Obere Schmelzmühle,Obere Mühlgasse 15,Albisheim (Pfrimm),1700!18. bis frühes 20. Jahrhundert,"geschlossene Hofanlage, 18. bis frühes 20. Jahrhundert; Wohnhaus in barockisierendem Heimatstil, bezeichnet 1908, Mahlmühle 1888, Bruchstein-Lohmühle vor 1743, Wasserhaus mit Wasserrad, Scheune mit Fachwerkspeicher, bezeichnet 1804, Knechtwohnung 19. Jahrhundert, Stall 1902, barocke Zehntscheune, 18. Jahrhundert",,49.64826,8.090318
ehemaliger Wartturm,"Gewann An der Warte, auf dem Rücken des Wartberges zwischen Pfrimm- und Leiselbachtal",Albisheim (Pfrimm),1400!15. oder 16. Jahrhundert,"spätgotischer Rundturm, Bruchkalkstein, 15. oder 16. Jahrhundert, neugotischer Zinnenkranz und Tür, 1862",,49.652151,8.084541
Denkmalzone Jüdischer Friedhof,"Bergstraße, südlich des Ortskerns in Hanglange",Alsenz,1700!um 1700,"wohl um 1700 angelegt, 1905 erweitert; 121 Grabsteine von 1710 bis 1963",Kein Bild vorhanden,49.719628,7.811555
Denkmalzone Ortskern,"Rathausplatz 3–7, 14, Brückenstraße 7–13 (ungerade Nummern), Marktplatz 1, 22",Alsenz,1500!16. Jahrhundert,"Rathaus mit seit dem 16. Jahrhundert gewachsener Umgebung zwischen Alsenzbrücke und Marktplatz sowie einem Teil des Nordarms des Rathausplatzes, überwiegend aus dem 18. und 19. Jahrhundert",Kein Bild vorhanden,49.723053,7.813076
Nassau-weilburgisches Amtshaus,Amthof 1,Alsenz,1785,"stattlicher spätbarocker Krüppelwalmdachbau, rückwärtig Laubengang, 1785; zwei Wirtschaftsgebäude, Bruchstein, erste Hälfte des 19. Jahrhunderts; später bis 1970 Bürgermeisteramt; Geburtshaus des nationalsozialistischen Innenministers Wilhelm Frick (1877–1946)",Kein Bild vorhanden,49.722233,7.811698
Nassau-weilburgisches Amtsgericht mit Gefängnis,Amthof 2,Alsenz,1776,"spätbarocker Mansardwalmdachbau, bezeichnet 1776; Remise mit Krüppelwalmdach, teilweise Fachwerk, von 1801 bis 1859 Gendarmerie, dann Berufsschule, Volksschule und Lehrerwohnung",Kein Bild vorhanden,49.722021,7.811718
Villa,Bahnhofstraße 14,Alsenz,1887,"anspruchsvolle Neurenaissance-Villa, kubischer Zeltdachbau, bezeichnet 1887",Kein Bild vorhanden,49.726593,7.816398
Oberlichtportal,"Brückenstraße, an Nr. 13",Alsenz,1786,"Oberlichtportal, bezeichnet 1786, Türblatt, Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.722925,7.813109
Klinkerbau,Brühlstraße 1,Alsenz,1901,"sandsteingegliederter Klinkerbau mit Mansardwalmdach, bezeichnet 1901; straßenbildprägend",Kein Bild vorhanden,49.723177,7.814751
Wohnhaus,Brühlstraße 7,Alsenz,1856,"anspruchsvolles Wohnhaus, klassizierender Rundbogenstil",Kein Bild vorhanden,49.722732,7.814913
Wohnhaus,Gartenstraße 1,Alsenz,1600!um 1600,"Wohnhaus, teilweise Fachwerk (verputzt), Renaissancemotive",Kein Bild vorhanden,49.721851,7.812695
Villa,Industriestraße 57,Alsenz,1905,"anspruchsvolle Villa, eineinhalbgeschossiger Sandsteinquaderbau",Kein Bild vorhanden,49.726475,7.817277
Katholische Kirche St. Maria und St. Maximin,Industriestraße 59,Alsenz,1930!1930/31,"Saalbau mit Dachreiter über Laterne, 1930/31, Architekt Winfried Blum, Neustadt an der Weinstraße",Kein Bild vorhanden,49.7252,7.817391
Synagoge,Kirchberg 1,Alsenz,1765,"spätbarocker Walmdachbau, 1765, Architekt eventuell Johann Friedrich von Sckell; straßenbildprägend",Kein Bild vorhanden,49.722809,7.811523
Wohnhaus,Kirchberg 18,Alsenz,1700!frühes 18. Jahrhundert,"spätbarockes Wohnhaus, teilweise Fachwerk, frühes 18. Jahrhundert, im Kern eventuell älter, nach 1756 nassau-weilburgisches Forstamt",Kein Bild vorhanden,49.722809,7.811099
Haustür,"Kirchberg, an Nr. 20",Alsenz,1830!um 1830,Haustür,Kein Bild vorhanden,49.722555,7.81081
Protestantische Pfarrkirche,Kirchberg 42,Alsenz,1450!zweite Hälfte des 15. Jahrhunderts,"spätgotischer Chor, zweite Hälfte des 15. Jahrhunderts, Westturm 1954, Architekt Hansgeorg Fiebiger, Kaiserslautern, Saalbau 1962–67, Architekt Fritz Waldherr, Dreisen; ortsbildprägend; Wappenschlussstein Johannes Ecke, um 1400, sechs Renaissance- und Barock-Epitaphien; Friedhof 1833, 1870, 1892, 1931 und jüngst erweitert; Kriegerdenkmal 1870/71 von 1897; Ehrengräberfeld Veteranen 1914/18",Kein Bild vorhanden,49.721923,7.81062
ehemaliges Wohnhaus,Marktplatz 4,Alsenz,1575!spätes 16. oder frühes 17. Jahrhundert,"ehemaliges Wohnhaus, Renaissance-Fachwerkobergeschoss, Krüppelwalm, spätes 16. oder frühes 17. Jahrhundert; platzbildprägend, seit 1995 Pfälzisches Steinhauermuseum",Kein Bild vorhanden,49.722597,7.812926
Wohnhaus,Marktplatz 20,Alsenz,1752,"barockes Wohnhaus, teilweise Fachwerk (verputzt), bezeichnet 1752 und 1822",Kein Bild vorhanden,49.722881,7.812469
Fachwerkhaus,Marktplatz 21,Alsenz,1700!frühes 18. Jahrhundert,"Fachwerkhaus, teilweise massiv; mit Ausstattung",Kein Bild vorhanden,49.722876,7.812631
Wohnhaus,Mühlstraße 9,Alsenz,1575!spätes 16. Jahrhundert,"Wohnhaus mit Torfahrt, wohl aus dem späten 16. Jahrhundert",Kein Bild vorhanden,49.721657,7.812089
Wohnhaus,Mühlstraße 19,Alsenz,1500!16. Jahrhundert,"verputztes Wohnhaus, teilweise Fachwerk, wohl aus dem 16. Jahrhundert, rückwärtig bezeichnet 1810, Treppenturmreste",Kein Bild vorhanden,49.721608,7.811977
Giebelhaus,Pitzstraße 21,Alsenz,1700!erste Hälfte des 18. Jahrhunderts,"Giebelhaus, teilweise Fachwerk, erste Hälfte des 18. Jahrhunderts, Stallanbau mit Fachwerkspeicher, wohl Anfang des 19. Jahrhunderts",Kein Bild vorhanden,49.723604,7.813863
Rathaus,Rathausplatz 3,Alsenz,1578,"repräsentativer Renaissancebau mit Laube, teilweise Fachwerk, bezeichnet 1578, Krüppelwalmdach mit barockem Dachreiter; platzbildprägend; Eichmaße von 1714",,49.723165,7.81325
Katholische Pfarrkirche St. Josef,"Bayerfeld, Hauptstraße 20",Bayerfeld-Steckweiler,1767,"spätbarocker Saalbau, bezeichnet 1767; Pietà, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.678749,7.798181
Katholisches Pfarrhaus,"Bayerfeld, Hauptstraße 31",Bayerfeld-Steckweiler,1845,Walmdachbau,Kein Bild vorhanden,49.678644,7.798433
Wohnhaus,"Bayerfeld, Schlossbergstraße 2",Bayerfeld-Steckweiler,1600!17. Jahrhundert,"Wohnhaus, 17. Jahrhundert; Bruchsteinbau, teilweise Fachwerk, bezeichnet 1781 (wohl Umbau) und 1829",Kein Bild vorhanden,49.677553,7.79844
Hakenhof,"Bayerfeld, Schlossbergstraße 8",Bayerfeld-Steckweiler,1760,"spätbarocker Hakenhof; Wohnhaus, teilweise Fachwerk (verputzt), bezeichnet 1760, Krüppelwalmdach-Scheune",Kein Bild vorhanden,49.678386,7.79882
ehemaliges Schulhaus,"Steckweiler, Schulstraße 2",Bayerfeld-Steckweiler,1863!1863/64,"spätklassizistischer Putzbau, 1863/64, Umbau 1902; ortsbildprägend",Kein Bild vorhanden,49.67517,7.804116
Brücke,"Steckweiler, Talstraße",Bayerfeld-Steckweiler,1890!um 1890,dreibogige Sandsteinbrücke,Kein Bild vorhanden,49.674953,7.802627
Mühlenanlage,"Steckweiler, Talstraße 14/16",Bayerfeld-Steckweiler,1761,"spätbarocke Mühlenanlage; Mansarddachbau, bezeichnet 1761 und 1920 (wohl Umbau), rückwärtig Backsteinbau, um 1900, Scheune und Ställe 19. Jahrhundert",Kein Bild vorhanden,49.674163,7.803838
Doppelwohnhaus,"Stolzenbergerhof, Stolzenbergerhof 6/7",Bayerfeld-Steckweiler,1700!frühes 18. Jahrhundert,"barockes Doppelwohnhaus, teilweise Fachwerk, wohl aus dem frühen 18. Jahrhundert, Scheune 19. Jahrhundert",Kein Bild vorhanden,49.682606,7.808129
Wohnhaus,"Stolzenbergerhof, Stolzenbergerhof 8a",Bayerfeld-Steckweiler,1600!17. Jahrhundert,"Wohnhaus, teilweise Fachwerk, 17. Jahrhundert, Scheune 19. Jahrhundert",Kein Bild vorhanden,49.682514,7.808192
Fürstlich nassau-weilburgisches Jägerhaus,Hauptstraße 5,Bennhausen,1711,"barockes Wohnhaus, teilweise Fachwerk, bezeichnet 1711; straßenbildprägend",Kein Bild vorhanden,49.622944,7.977908
Denkmalzone Ortskern,"Hauptstraße 24–28, 34–54 (gerade Nummern), 21–29, 39–45 (ungerade Nummern)",Biedesheim,1700!18. und 19. Jahrhundert,"dichte Abfolge von (großteils Vierseit-)Höfen mit Toranlagen und -durchfahrten, 18. und 19. Jahrhundert mit rückwärtigem Scheunenkranz",Kein Bild vorhanden,49.604021,8.105622
Reliefstein,"Hauptstraße, an Nr. 12",Biedesheim,1833,"klassizistischer Reliefstein, bezeichnet 1833",Kein Bild vorhanden,49.60491,8.107391
Pfarrhaus,Hauptstraße 18,Biedesheim,1824,"Putzbau, 1824, Toranlage, Scheune bezeichnet 1822; straßenbildprägend",Kein Bild vorhanden,49.604778,8.107115
Lehrerwohnung und Gemeindeglockenturm,Hauptstraße 20,Biedesheim,1850!nach 1850,"Lehrerwohnung: Putzbau, nach 1850, Architekt C. Blehsmann, Kaiserslautern; Gemeindeglockenturm: Sandsteinquaderbau, bezeichnet 1857/58; ortsbildprägend",Kein Bild vorhanden,49.604704,8.106916
Gehöft,Hauptstraße 27,Biedesheim,,"Gehöft, Wohnhaus mit Fachwerkobergeschoss",Kein Bild vorhanden,49.604182,8.106067
Burgmauer,"Östlicher Burggraben, bei Nr. 8",Biedesheim,1423,"Bruchkalksteinmauer mit Ziegeleinschluss, einziger oberirdisch sichtbarer Rest einer mittelalterlichen Niederungsburg im Westen des Kreisgebietes",Kein Bild vorhanden,49.603763,8.102824
Protestantische Kirche,Ottersheimer Straße 3,Biedesheim,1000!11. Jahrhundert,"im Kern romanischer Saalbau, wohl aus dem 11. Jahrhundert, spätgotisch und barock überformt, Südportal bezeichnet 1458; Glocke 1708 von Andreas Schneidewind, Frankfurt; Wandmalereien des 13. bis 15. Jahrhunderts, Walcker-Orgel von 1874",,49.606217,8.109713
Friedhof,"Ottersheimer Straße, bei Nr. 3",Biedesheim,1800!erste Hälfte des 19. Jahrhunderts,"spätklassizistische und gründerzeitliche Grabstelen sowie drei weitere Grabsteine, erste Hälfte des 19. Jahrhunderts; darunter ein Denkstein für einen Veteranen der napoleonischen Kriege",,49.606439,8.109987
Protestantische Kirche,"Bischheim, Flörsheimer Straße 2",Bischheim (Donnersberg),1100!12. Jahrhundert,"romanisches Turmuntergeschoss (12. Jahrhundert ?), Obergeschosse 18. Jahrhundert; gotischer Chor; spätbarocker Saa;, neubarocke Vorhalle mit Walmdach, 1910, Architekt Johann Christoph Schreiber, Kirchheimbolanden; Spolien; Glocke, bezeichnet 1791 von Georg Friedrich Schrader, Frankenthal",Kein Bild vorhanden,49.671468,8.03119
Kriegerdenkmal,"Bischheim, Flörsheimer Straße, bei Nr. 2",Bischheim (Donnersberg),1931,"Kriegerdenkmal 1914/18, 1931 von Heinrich Schuler, Kirchheimbolanden",Kein Bild vorhanden,49.671379,8.031191
ehemaliges protestantisches Pfarrhaus,"Bischheim, Hauptstraße 2",Bischheim (Donnersberg),1719,"barocker Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1719, Fachwerkscheune 18. Jahrhundert",Kein Bild vorhanden,49.671306,8.030919
ehemaliges Schulhaus,"Bischheim, Hauptstraße 4",Bischheim (Donnersberg),1821,klassizistischer Putzbau,Kein Bild vorhanden,49.671084,8.031315
Ringmauer,Heubergerhof,Bischheim (Donnersberg),,"Überreste der Ringmauer, stattlicher, wohl spätmittelalterlicher Kalkbruchstein-Mauerzug",Kein Bild vorhanden,49.683045,8.027782
ehemaliges Hofhaus,"Heubergerhof, Heubergerhof 1/2",Bischheim (Donnersberg),1604,"eingeschossiges Doppelwohnhaus, bezeichnet 1604, Nr. 1 mit Wirtschaftsgebäuden",Kein Bild vorhanden,49.683292,8.028248
Wirtschaftsgebäude,"Heubergerhof, Heubergerhof 4",Bischheim (Donnersberg),1700!18. Jahrhundert,"Wirtschaftsgebäude, Krüppelwalmdachbau, 18. Jahrhundert; eineinhalbgeschossiges vierteiliges Speicherhaus",Kein Bild vorhanden,49.683357,8.027998
Denkmalzone Ortskern,"Hauptstraße 47, 49, 58–64 (gerade Nummern), Friedhofstraße 1",Bisterschied,1800!19. Jahrhundert,ortstypisches Straßenbild des 19. Jahrhunderts mit unterschiedlichen Hofanlagen,Kein Bild vorhanden,49.647343,7.748088
Hofanlage,Hauptstraße 23,Bisterschied,1875,"Hofanlage; eineinhalbgeschossiges historistisches Wohnhaus, 1875, Stall-Scheune bezeichnet 1919",Kein Bild vorhanden,49.645129,7.749414
Hofanlage,Hauptstraße 42,Bisterschied,1600!17. Jahrhundert,"Hofanlage; schmales Wohnhaus, teilweise Fachwerk (verputzt), wohl aus dem 17. Jahrhundert, Scheune bezeichnet 1823",Kein Bild vorhanden,49.645589,7.749515
Schulhaus,Kirchstraße 2,Bisterschied,1908,"Heimatstilbau, bezeichnet 1908, Architekt Peter Seeberger, Rockenhausen",Kein Bild vorhanden,49.646001,7.74865
Protestantische Kirche,Kirchstraße 4,Bisterschied,1759,"spätbarocker Saalbau, bezeichnet 1759 und 1760, Architekt Philipp Heinrich Hellermann",Kein Bild vorhanden,49.645855,7.748039
Denkmalzone Burg Neubolanden,"Bolanden, auf der Kuppe des Schloßbergs nächst den alten Heer- und Handelsstraßen von Mainz und Worms nach Kaiserslautern",Bolanden,1206!um 1206,"um 1206 von Werner III. und Philipp II. von Bolanden gegründet, 1525 zerstört, Wiederaufbau im 16. Jahrhundert, 1689 zerstört, seit dem frühen 19. Jahrhundert Steinbruch, ehemals eine der stattlichsten pfälzischen Burgen; spärliche Überreste von Vor- und Hauptburg: Halsgraben, Reste eines Rundturms, Reste der Umfassungsmauer, Ansätze zweier Rechtecktürme, Mauerreste eines Torturms",//commons.wikimedia.org/wiki/Category:Burg_Neubolanden,49.639302,8.013766
Denkmalzone ehemaliges Prämonstratenserinnenkloster Hane,"Bolanden, Klosterhof 1–4",Bolanden,1487,"vor 1129 als Augustinerchorherrenstift gegründet, nach 1135 Doppelkloster der Prämonstratenser, seit 1418 Vogtei der pfälzischen Kurfürsten, 1525 verwüstet, 1564 aufgelöst und in Wirtschaftshof umgewandelt, nach erneuter Zerstörung im Dreißigjährigen Krieg und 1689 seit 1706 Besitz der Grafen von Nassau-Weilburg, ab 1816 bayerisches Staatseigentum, seit 1821 Privatbesitz; selten geschlossenes historisches Erscheinungsbild mit ehemaliger Klosterkirche St. Maria, zweischiffige spätgotische Halle, nach 1487, mit Resten des romanischen Vorgängers; auf dem ehemaligen Friedhof (heute Park) einige spätbarocke und klassizistische Grabsteine; von den Konventsgebäuden („Unterer Klosterhof“, Klosterhof 2) erhalten zwei im Kern romanische Flügel mit Überformungen des 15. bis 20. Jahrhunderts; ehemaliger Wirtschaftshof („Oberer Klosterhof“, Klosterhof 1, 4), heutiges Erscheinungsbild aus dem 18. und 19. Jahrhundert mit mittelalterlichem Kern; im Park der Kirche Sakramentshäuschen (Spolie vom Kloster Münsterdreisen)",//commons.wikimedia.org/wiki/Category:Kloster_Hane,49.643788,8.01371
Protestantische Kirche,"Bolanden, Am Schützenpfad 2",Bolanden,1926,"barockisierender Walmdachbau, 1926, Architekten Karl Latteyer und Hans Schneider, Ludwigshafen; ortsbildprägend",//commons.wikimedia.org/wiki/Category:Hauptstra%C3%9Fe_26_(Bolanden),49.641349,8.009669
Wohnhaus,"Bolanden, Hauptstraße 10",Bolanden,1722,"im Kern barockes Wohnhaus, bezeichnet 1722 und 1853 (Überformung), Backhaus bezeichnet 1911",//commons.wikimedia.org/wiki/Category:Katholische_Kirche_Bolanden,49.640125,8.011348
Eckwohnhaus,"Bolanden, Hauptstraße 26",Bolanden,1858,"spätklassizistisches Eckwohnhaus, bezeichnet 1858; straßenbildprägend",//commons.wikimedia.org/wiki/Category:Gymnasium_Weierhof,49.63966,8.01149
Rat- und protestantisches Schulhaus,"Bolanden, Hauptstraße 28",Bolanden,1829,"hoheitlicher spätklassizistischer Eckbau mit Dachreiter, 1829; straßenbildprägend",//commons.wikimedia.org/wiki/Category:Crayenb%C3%BChlstra%C3%9Fe_13_(Weierhof),49.639492,8.011576
Schulhaus,"Bolanden, Marnheimer Straße 9",Bolanden,1897!1897/98,"zweieinhalbgeschossiger Gründerzeitbau, 1897/98, Architekt Bezirksbaumeister Ginand, Kirchheimbolanden; straßenbildprägend; seit 1982 Bürgerhaus",//commons.wikimedia.org/wiki/Category:Mennonite_church_(Weierhof),49.638472,8.012085
Schulhaus mit Lehrerwohnungen,"Bolanden, Marnheimer Straße 13",Bolanden,1821,"klassizistischer Walmdachbau, 1821, beiderseits Torfahrten; straßenbildprägend",//commons.wikimedia.org/wiki/Category:M%C3%BChlgasse_7_(Weierhof),49.638397,8.011769
Katholische Kirche,"Bolanden, Weitersweiler Weg 1",Bolanden,1929!1929/30,"romanisierender Saalbau, 1929/30, Architekten Kilian Höllrigl und Karl Renner, Kirchheimbolanden",//commons.wikimedia.org/wiki/Category:M%C3%BChlgasse_9_(Weierhof),49.636859,8.012625
Vierseithof,"Bolanderhof, Bolanderhof 2",Bolanden,1700!18. und 19. Jahrhundert,"Vierseithof, 18. und 19. Jahrhundert; barockes Wohnhaus, teilweise Fachwerk, wohl vom Anfang des 18. Jahrhunderts, Scheune bezeichnet 1820, Gesindehaus 1817, Fachwerk-Toranlage bezeichnet 1825",,49.64763,8.027151
