Bahnhof,Bahnhofstraße ohne Nummer,Bellheim,1870!um 1870,"Typenbau, Backstein, um 1870 (?)",//commons.wikimedia.org/wiki/Category:Bahnhof_Bellheim,49.188274,8.294214
Wasserturm,"Bahnhofstraße, neben Nr. 12",Bellheim,1900!Anfang des 20. Jahrhunderts,Anfang des 20. Jahrhunderts,Kein Bild vorhanden,49.18767,8.293657
Fachwerkhaus,Blumenstraße 9a,Bellheim,1700!erste Hälfte des 18. Jahrhunderts,"Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts (angeblich bezeichnet 1745)",Kein Bild vorhanden,49.191403,8.284409
Fachwerkhaus,Blumenstraße 13,Bellheim,1700!erste Hälfte des 18. Jahrhunderts,"Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.191654,8.284512
Wohnhaus der Fortmühle,Fortmühlstraße 18,Bellheim,1900!Anfang des 20. Jahrhunderts,"späthistoristischer villenartiger Bau, Anfang des 20. Jahrhunderts",Kein Bild vorhanden,49.192811,8.292307
Wasserturm,"Fortmühlstraße, zu Nr. 18",Bellheim,,Wasserturm der Fortmühle,Kein Bild vorhanden,49.192759,8.293024
Friedhofskreuz und -kapelle,"Friedhofstraße, auf dem Friedhof",Bellheim,1803!ab 1803,"Friedhofskreuz, Sandstein, bezeichnet 1803 und 1816, renoviert 1837; alte Friedhofskapelle, zweiachsiger Saalbau, bezeichnet 1906",Kein Bild vorhanden,49.188364,8.280405
Fachwerkhaus,Große Kirchstraße 4,Bellheim,1800!um 1800,"stattliches Fachwerkhaus, teilweise massiv, um 1800; Sandsteintorpfosten bezeichnet 1818",Kein Bild vorhanden,49.192086,8.27978
Hofanlage,Hammerstraße 14,Bellheim,1775!spätes 18. Jahrhundert,"kleine Hofanlage, spätes 18. Jahrhundert; eingeschossiges Fachwerkhaus, Fachwerkscheune",Kein Bild vorhanden,49.192193,8.285975
Fachwerkhaus,Hauptstraße 44,Bellheim,1700!um 1700,"Fachwerkhaus, teilweise massiv, um 1700, um 1800 verlängert und überformt",Kein Bild vorhanden,49.191509,8.275174
Fachwerkhaus,Hauptstraße 58,Bellheim,1800!um 1800,"stattliches Fachwerkhaus, teilweise massiv, um 1800",Kein Bild vorhanden,49.191441,8.276394
Hofanlage,Hauptstraße 63,Bellheim,1700!18. Jahrhundert,"langgestrecktes Fachwerkhaus, teilweise massiv, 18. Jahrhundert; überdachtes Tor; eingeschossiges Auszugshaus, 19. Jahrhundert",Kein Bild vorhanden,49.191434,8.276747
