Gaststätte „Gliggermühle“,Ludwigstraße 7,Altrip,1732,"Fachwerkhaus, teilweise massiv, 1732",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Altrip,49.433225,8.502774
Wohnhaus,Ludwigstraße 9,Altrip,1750!zweite Hälfte des 18. Jahrhunderts,"eingeschossiges Wohnhaus mit Kniestock, teilweise Fachwerk, zweite Hälfte des 18. Jahrhunderts",//commons.wikimedia.org/wiki/Category:St._Peter_und_Paul_(Altrip),49.433193,8.502595
Protestantische Pfarrkirche,Ludwigstraße 13,Altrip,1200!ab dem 13. Jahrhundert,"spätromanischer Bruchsteinturm, frühes 13. Jahrhundert; Schiff 1751–54, Architekt Johann Georg Hotter, Speyer",Kein Bild vorhanden,49.433036,8.5023
Regino-Denkmal,"Ludwigstraße, vor Nr. 13",Altrip,1911,"Regino-Denkmal, 1911 von Friedrich Kurz, Mannheim",//commons.wikimedia.org/wiki/Category:Wasserturm_(Altrip),49.433112,8.502387
Protestantisches Pfarrhaus,Ludwigstraße 15,Altrip,1782!1782–84,"Walmdachbau, 1782–84; platzbildprägend",,49.432835,8.501845
Kriegerdenkmal,"Ludwigstraße, Ecke Ludwigsplatz",Altrip,1901,"Kriegerdenkmal 1870/71, Marmorobelisk, Reichsadler und -apfel, Zinkguss, 1901 von W. Sommer, Schriesheim",,49.432634,8.501526
Maxschule,Maxstraße 20,Altrip,1904,"Schulhaus, späthistoristischer Mansardwalmdachbau, 1904, Architekt Schaich, Aufstockung 1915; straßenbildprägend",,49.432247,8.499003
Wohnhaus,Moltkestraße 2,Altrip,1925,"barockisierender Putzbau, 1925",,49.432581,8.501089
Katholische Pfarrkirche St. Peter und Paul,Parkstraße 34,Altrip,1954!1954/55,"großdimensionierter Satteldachbau, Turm mit Zeltdach, 1954/55, Architekt Ludwig Ihm, Speyer; spätbarocke Holzskulptur, zweite Hälfte des 18. Jahrhunderts; Kreuzigungsgruppe, zweite Hälfte des 19. Jahrhunderts",,49.434576,8.496894
Fachwerkhaus,Römerstraße 1,Altrip,1660,"Fachwerkhaus, teilweise massiv, bezeichnet 1660",,49.433549,8.503068
Kriegerdenkmal und Grabmal,"Speyerer Straße, auf dem Friedhof",Altrip,1914!ab 1914,"Kriegerdenkmal 1914/18, 1926/27 von Theobald Hauck, Maxdorf; Grablege Familie Michael Baumann († 1914), hohe Nischenarchitektur",,49.428193,8.491749
