Quereinhaus,Hauptstraße 5,Arbach,1766,"Wohnteil eines Fachwerk-Quereinhauses, teilweise verschiefert, angeblich von 1766",Kein Bild vorhanden,50.283605,7.045796
Fachwerkhaus,Hauptstraße 9,Arbach,1900!um 1900,"Fachwerkhaus, teilweise massiv",Kein Bild vorhanden,50.283654,7.045287
Katholische Kirche St. Apollinaris,Wiesenweg,Arbach,1952!um 1952,"um 1952 wiederaufgebauter Saalbau, im Kern eventuell mit Teilen des Vorgängers von 1766",Kein Bild vorhanden,50.284603,7.046863
Wegekreuz,"südwestlich der Ortslage, an der Gemarkungsgrenze zu Retterath",Arbach,1839,"Balkenkreuz, bezeichnet 1839",,50.27883,7.021303
Streckhof,Am Katzenberg 7,Basberg,1800!19. Jahrhundert,Streckhof,Kein Bild vorhanden,50.294822,6.60697
Wohnhaus,Aueler Straße 5/7,Basberg,1750!Mitte des 18. Jahrhunderts,"Wohnhaus einer ehemaligen Hofanlage, wohl aus der Mitte des 18. Jahrhunderts, am Anfang des 20. Jahrhunderts vergrößert",Kein Bild vorhanden,50.293602,6.605922
Hofanlage,Oberbettinger Straße 4,Basberg,,"stattliche Hofanlage mit mehreren, um einen Hof gruppierten Gebäuden",Kein Bild vorhanden,50.294357,6.606958
Katholische Filialkirche St. Eligius,Lissendorfer Straße 3,Basberg,1846,kleiner klassizistischer Saalbau,Kein Bild vorhanden,50.294399,6.60511
Wegekreuz,"nördlich der Ortslage, an einem Feldweg",Basberg,1693,"Schaftkreuz, Sandstein, bezeichnet 1693, neues Abschlusskreuz",Kein Bild vorhanden,50.302852,6.601831
Fachwerkhaus,Bergstraße 2,Beinhausen,,"Fachwerkhaus, teilweise massiv",Kein Bild vorhanden,50.267326,6.884213
Katholische Kirche St. Quirinus,Dorfstraße 11,Bereborn,1777,"zweiachsiger Saalbau, bezeichnet 1777",//commons.wikimedia.org/wiki/Category:St._Quirinus_(Bereborn),50.281063,6.972178
Katholische Kirche,Bergfrieden 16,Berenbach,1933!1933/40,"Saalbau, Basalt",Kein Bild vorhanden,50.233993,6.955549
Furthermühle,"Furthermühle, südlich der Ortslage am Ueßbach",Berenbach,,"Furthermühle; offenbar historischer Bestand; nicht zugänglich, da weiträumig abgesperrt",Kein Bild vorhanden,50.226818,6.957978
Wohnhaus,In der Ramm 2,Berlingen (Eifel),1808,"sechsachsiges Wohnhaus einer Hofanlage, integriertes Backhaus mit Altenteil, bezeichnet 1808",Kein Bild vorhanden,50.238718,6.720036
Katholische Kirche St. Quirinus,Mühlenstraße 10,Berlingen (Eifel),1883,"Saalbau, Basaltstein",Kein Bild vorhanden,50.238639,6.718186
Unterstallhaus,Beulerstraße 10,Berndorf (Eifel),1875,"kleines Unterstallhaus, Backofenvorbau, bezeichnet 1875",Kein Bild vorhanden,50.30641,6.697844
Wohnhaus,Beulerstraße 16,Berndorf (Eifel),1892,"Wohnhaus, angeblich von 1892",Kein Bild vorhanden,50.306666,6.69844
Quereinhaus,Hillesheimer Straße 20,Berndorf (Eifel),1866,"Quereinhaus, bezeichnet 1866, Backofenvorbau",Kein Bild vorhanden,50.30516,6.692984
ehemalige katholische Pfarrkirche St. Peter,Kiefernstraße 4,Berndorf (Eifel),1513!1513–15,"heute Friedhofskapelle, kleiner Saalbau, 1513–15, Westturm 1545; Kirchhof mit Umfassungsmauer; Kriegerdenkmal 1914/18; 14 Kreuzwegstationen, 1898",//commons.wikimedia.org/wiki/Category:Alt_St._Peter_(Berndorf),50.303691,6.699326
Katholische Pfarrkirche St. Peter,Kirchstraße 1,Berndorf (Eifel),1927,"Saalbau, expressionistischer Einfluss",//commons.wikimedia.org/wiki/Category:St._Peter_(Berndorf),50.304397,6.699000
ehemalige Schule oder Pfarrhaus (?),Kirchstraße 4,Berndorf (Eifel),1850!Mitte oder zweite Hälfte des 19. Jahrhunderts,fünfachsiger Massivbau,Kein Bild vorhanden,50.304569,6.700101
Quereinhaus,Pastor-Fuhrmann-Straße 17,Berndorf (Eifel),1850!zweite Hälfte des 19. Jahrhunderts,"stattliches Quereinhaus, Krüppelwalmdach",Kein Bild vorhanden,50.300233,6.693386
Ablaßkreuz,südlich der Ortslage,Berndorf (Eifel),1500!16. Jahrhundert,"Nischenkreuz, Sandstein, wohl noch aus dem 16. Jahrhundert",Kein Bild vorhanden,nope,nope
Katholische Filialkirche St. Apollonia,Auf dem Höffchen 2,Betteldorf,1700!18. Jahrhundert,"Saalbau, 18. Jahrhundert, um 1895 und nach 1945 erweitert",Kein Bild vorhanden,50.252205,6.750921
Putzbau,Hauptstraße 20,Betteldorf,1799,"Putzbau, angeblich von 1799",Kein Bild vorhanden,50.252466,6.753574
Kriegerdenkmal 1914/18,"Hauptstraße, Ecke Auf dem Höffchen",Betteldorf,,Kriegerdenkmal 1914/18; Pfeiler mit Erzengel Michael,Kein Bild vorhanden,50.252258,6.751206
Quereinhaus,Bahnhofstraße 12,Birgel,1882,"Quereinhaus, bezeichnet 1882",Kein Bild vorhanden,50.320072,6.618437
Winkelhof,Dorfstraße 1,Birgel,1808,"Winkelhof; Wohnhaus, bezeichnet 1808, jüngere Wirtschaftsgebäude, altes Hofpflaster",Kein Bild vorhanden,50.320739,6.622959
Katholische Filialkirche St. Hubertus,Hauptstraße,Birgel,1500!frühes 16. Jahrhundert,Saalbau,Kein Bild vorhanden,50.320721,6.621598
Wohnhaus,Bahnhofstraße 10,Birresborn,1849,"klassizistisches Wohnhaus, bezeichnet 1849",Kein Bild vorhanden,50.175619,6.626197
Wohnhaus,Bahnhofstraße 14,Birresborn,1899,"Wohnhaus, bezeichnet 1899",Kein Bild vorhanden,50.175422,6.626469
Hofanlage,Fischbachstraße 6,Birresborn,1800!19. Jahrhundert,"Hofanlage, 19. Jahrhundert; Wohnhaus mit Kniestock, ehemaliges Altenteil und Backhaus, etwas jünger (?), langgestrecktes Wirtschaftsgebäude",Kein Bild vorhanden,50.175511,6.623858
Putzbau,Fischbachstraße 16/18,Birresborn,,"Putzbau, teilweise verkleidet, Backofenvorbau",Kein Bild vorhanden,50.173974,6.623722
Quereinhaus,Gerolsteiner Straße 21,Birresborn,1873,"Quereinhaus, bezeichnet 1873",Kein Bild vorhanden,50.177902,6.6264
Wohnhaus,Grabenstraße 3,Birresborn,1846,"Wohnhaus, bezeichnet 1846",Kein Bild vorhanden,50.174537,6.62514
Kirchturm,Kopper Straße 2,Birresborn,6.624904,"Kirchturm der Katholischen Kirche St. Nikolaus: klassizistischer Ostturm, 1828; Kriegerdenkmal, 1866, 1870/71, 1914/18, Pfeiler mit Erzengel Michael auf reliefiertem Sockel",//commons.wikimedia.org/wiki/Category:St._Nikolaus_(Birresborn),50.17449,6.62493
Wegekreuz,"Mürlenbacher Straße, Ecke Grabenstraße",Birresborn,1684,"Schaftkreuz, Sandstein, bezeichnet 1684",Kein Bild vorhanden,50.172307,6.62938
Wegekreuz,"Salmer Straße, am südöstlichen Ortsausgang",Birresborn,1750!zweite Hälfte des 18. Jahrhunderts,"Balkenkreuz, Sandstein",Kein Bild vorhanden,50.193096,6.635468
Lindenquelle,nördlich der Ortslage an der L 24,Birresborn,1834,Quellpavillon der Lindenquelle; angeblich von 1834,//commons.wikimedia.org/wiki/Category:Lindenquelle_(Birresborn),50.191613,6.632811
Wegekreuz,"nordwestlich des Ortes, nahe der K 77",Birresborn,,altertümliches Balkenkreuz,Kein Bild vorhanden,nope,nope
"Rheinische Basalt- und Lavawerke, Werk Birresborn","nördlich des Ortes, westlich der L 24",Birresborn,,"Rheinische Basalt- und Lavawerke, Werk Birresborn",,nope,nope
Quereinhaus,Alte Poststraße 4,Bleckhausen,1870,"Quereinhaus, angeblich von 1870",Kein Bild vorhanden,50.123743,6.776812
Brunnenhaus,Brunnenstraße 2a (gegenüber),Bleckhausen,1800!19. Jahrhundert,"Brunnenhaus, wohl aus dem 19. Jahrhundert",Kein Bild vorhanden,50.125583,6.776718
